beat,district,area_sq_mi,placename,population,offense_type,nibrs_class,total19,total20,total21,total22,NA,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
8C20,8,3.36154214,"Houston Gardens, Rosewood and Homestead",7000,"Murder, non-negligent",09A,3,2,2,1,NA,NA,7,2.3,-33.3,NA,NA,NA,42.9,28.6,28.6,NA,32.9
8C30,8,4.6258259,"Parkhurst, East Houston and Clairmont Place",11000,"Murder, non-negligent",09A,2,3,3,3,NA,NA,8,2.7,50,NA,NA,NA,18.2,27.3,27.3,NA,24.5
8C40,8,4.97945551,"Lake Houston, Greenriver, Knoll and Lake Forest",8000,"Murder, non-negligent",09A,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,NA,NA
8C50,8,3.31739498,"Park North, Forest Green, Kentshire Place, Glenwood Forest and Dorchester",8000,"Murder, non-negligent",09A,2,3,2,1,NA,NA,7,2.3,0,NA,NA,NA,25,37.5,25,NA,28.8
8C60,8,5.79693312,"Edgeworth, Northwood Manor and Scenic Woods",19000,"Murder, non-negligent",09A,1,NA,3,2,NA,NA,NA,NA,200,NA,NA,NA,5.3,NA,15.8,NA,NA
9C10,9,5.21185619,"Port of Houston, Clinton Park, Pleasantville and Fidelity Manor",6000,"Murder, non-negligent",09A,1,4,6,NA,NA,NA,11,3.7,500,NA,NA,NA,16.7,66.7,100,NA,61.7
9C20,9,7.5383173,Denver Harbor and Houston Harbor,16000,"Murder, non-negligent",09A,2,6,4,1,NA,NA,12,4,100,NA,NA,NA,12.5,37.5,25,NA,25
9C30,9,8.13353768,"City Park East, Wynnewood Acres and Wallisville Gardens",9000,"Murder, non-negligent",09A,1,3,4,2,NA,NA,8,2.7,300,NA,NA,NA,11.1,33.3,44.4,NA,30
9C40,9,10.42549456,"Greens Bayou Estates, Shady Brook, Northshore",23000,"Murder, non-negligent",09A,7,4,6,3,NA,NA,17,5.7,-14.3,NA,NA,NA,30.4,17.4,26.1,NA,24.8
10H10,10,2.81830654,Oak Lawn and Ranger,11000,"Murder, non-negligent",09A,1,2,2,NA,NA,NA,5,1.7,100,NA,NA,NA,9.1,18.2,18.2,NA,15.5
10H20,10,1.75743169,Eastwood and Broadmoor,10000,"Murder, non-negligent",09A,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
10H30,10,1.02691154,Near East End,4000,"Murder, non-negligent",09A,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA
10H40,10,0.99627062,Midtown,8000,"Murder, non-negligent",09A,NA,7,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.5,137.5,NA,NA
10H50,10,2.30843079,the University of Houston area,13000,"Murder, non-negligent",09A,5,9,6,6,NA,NA,20,6.7,20,NA,NA,NA,38.5,69.2,46.2,NA,51.5
10H60,10,3.08931006,"University Oaks, Riverside Terrace and the Texas Southern University area",20000,"Murder, non-negligent",09A,5,4,5,2,NA,NA,14,4.7,0,NA,NA,NA,25,20,25,NA,23.5
10H70,10,3.52217952,"Texas Medical Center, Hermann Park, Houston Zoo and Miller Outdoor Theatre",16000,"Murder, non-negligent",09A,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8,NA,NA,NA
10H80,10,2.73862779,"Southampton, Rice University area, Shadow Lawn and Broad Acres",19000,"Murder, non-negligent",09A,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA
11H10,11,5.31502815,"Mason Park, Forest Hill, Sunnyland and Central Park",28000,"Murder, non-negligent",09A,9,5,3,3,NA,NA,17,5.7,-66.7,NA,NA,NA,32.1,17.9,10.7,NA,20.4
11H20,11,3.9311161,"Harrisburg, Manchester and Pecan Park",18000,"Murder, non-negligent",09A,1,2,4,2,NA,NA,7,2.3,300,NA,NA,NA,5.6,11.1,22.2,NA,12.8
11H30,11,2.84278059,Meadow Brook and Park Place,15000,"Murder, non-negligent",09A,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,6.7,NA,NA
11H40,11,6.14001938,Allendale and Oak Meadows,8000,"Murder, non-negligent",09A,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,NA,NA,NA
11H50,11,2.09534157,"Meadow Creek, Ferndale Addition and Glenbrook Industrial",8000,"Murder, non-negligent",09A,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,12.5,NA,NA,NA,NA
12D10,12,8.55384717,"Almeda Mall, Southridge, Edgebrook and South Houston Gardens",44000,"Murder, non-negligent",09A,7,7,16,6,NA,NA,30,10,128.6,NA,NA,NA,15.9,15.9,36.4,NA,22.7
12D20,12,3.83700574,Sage,22000,"Murder, non-negligent",09A,1,2,2,1,NA,NA,5,1.7,100,NA,NA,NA,4.5,9.1,9.1,NA,7.7
12D30,12,3.99301158,Gulf Palms and Beamer,15000,"Murder, non-negligent",09A,1,1,4,NA,NA,NA,6,2,300,NA,NA,NA,6.7,6.7,26.7,NA,13.3
12D40,12,9.68663455,Scarsdale and Ellington Field,11000,"Murder, non-negligent",09A,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2,NA,NA,NA
12D50,12,8.93327581,"Bay Glen, Bay Oaks, Brook Forest and Bay Forest",26000,"Murder, non-negligent",09A,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA
12D60,12,6.35832041,"NASA's Johnson Space Center, Meadow Green, Oakbrook West and Camino South",22000,"Murder, non-negligent",09A,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA
12D70,12,5.39156317,Baybrook Mall and Sterling Knoll,12000,"Murder, non-negligent",09A,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7,8.3,NA,NA
13D10,13,5.2433708,"Gulfgate Mall, Bay Forest, Riverview, Hampshire, Golfcrest and Barnett Stadium",23000,"Murder, non-negligent",09A,2,4,6,5,NA,NA,12,4,200,NA,NA,NA,8.7,17.4,26.1,NA,17.4
