beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
23J50,23,2.12389492,Intercontinental Airport,0,Auto Theft,19,14,32,17,36,65,21.7,68.4,89.5,12.5,66,NA,NA,NA,NA,NA
1A10,1,1.74646692,Downtown Central Business District,17000,Auto Theft,155,146,237,134,269,538,179.3,52.9,73.5,13.5,50,911.8,858.8,1394.1,1582.4,1054.7
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Auto Theft,179,199,264,174,308,642,214,47.5,72.1,16.7,44,663,737,977.8,1140.7,792.6
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Auto Theft,66,97,121,64,134,284,94.7,83.3,103,10.7,41,244.4,359.3,448.1,496.3,350.7
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Auto Theft,10,13,14,8,19,37,12.3,40,90,35.7,54,142.9,185.7,200,271.4,175.7
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Auto Theft,140,205,236,157,281,581,193.7,68.6,100.7,19.1,45,538.5,788.5,907.7,1080.8,745
2A10,2,3.30928608,Irvington and Ryon,18000,Auto Theft,70,104,151,51,133,325,108.3,115.7,90,-11.9,23,388.9,577.8,838.9,738.9,601.7
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Auto Theft,58,64,81,42,81,203,67.7,39.7,39.7,0,20,527.3,581.8,736.4,736.4,615.5
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Auto Theft,128,142,178,116,197,448,149.3,39.1,53.9,10.7,32,412.9,458.1,574.2,635.5,481.6
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Auto Theft,48,56,72,40,83,176,58.7,50,72.9,15.3,41,600,700,900,1037.5,733.8
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Auto Theft,126,158,212,142,240,496,165.3,68.3,90.5,13.2,45,434.5,544.8,731,827.6,570
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Auto Theft,157,223,195,93,186,575,191.7,24.2,18.5,-4.6,-3,747.6,1061.9,928.6,885.7,912.9
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",34000,Auto Theft,360,327,326,188,349,1013,337.7,-9.4,-3.1,7.1,3,1058.8,961.8,958.8,1026.5,993.2
3B30,3,5.310372,"White Oak Acres, Brook Hollow, Oak Forest, Garden Oaks and Shepherd Park Plaza",23000,Auto Theft,55,68,55,45,76,178,59.3,0,38.2,38.2,28,239.1,295.7,239.1,330.4,257.8
3B40,3,3.40013561,"Independence Heights, Melrose and Graceland",13000,Auto Theft,118,130,149,63,147,397,132.3,26.3,24.6,-1.3,11,907.7,1000,1146.2,1130.8,1017.7
3B50,3,3.85259517,"Northline Mall, Stratton Place, Oakwood, Colonial Gardens, Lindale and Junction City",20000,Auto Theft,209,196,247,125,255,652,217.3,18.2,22,3.2,17,1045,980,1235,1275,1086.5
5F10,5,3.25978513,Afton Village and Pine Terrace,14000,Auto Theft,100,112,94,48,102,306,102,-6,2,8.5,0,714.3,800,671.4,728.6,728.6
5F30,5,8.70689439,"Fairbanks, Carverdale, Fawndale and Northwest Crossing",17000,Auto Theft,293,317,289,144,301,899,299.7,-1.4,2.7,4.2,0,1723.5,1864.7,1700,1770.6,1762.9
6B10,6,5.50084827,"York Plaza, Pembrook Place and Hawthorne Place",33000,Auto Theft,306,354,304,120,271,964,321.3,-0.7,-11.4,-10.9,-16,927.3,1072.7,921.2,821.2,973.6
6B20,6,6.12869477,"Highland Heights, Oakdale and Melrose Gardens",18000,Auto Theft,127,110,104,68,127,341,113.7,-18.1,0,22.1,12,705.6,611.1,577.8,705.6,631.7
6B30,6,7.2300685,"Woodland Trails, Oaks of Inwood, Bayou Bend, Cole Creek Manor and Inwood Forest",38000,Auto Theft,184,171,165,77,151,520,173.3,-10.3,-17.9,-8.5,-13,484.2,450,434.2,397.4,456.1
6B40,6,5.544689,"Highland Gardens, Highland Heights and North Plaza",20000,Auto Theft,194,148,169,75,177,511,170.3,-12.9,-8.8,4.7,4,970,740,845,885,851.5
22B30,22,2.8264671,Aldine and Imperial Valley,19000,Auto Theft,246,263,279,139,277,788,262.7,13.4,12.6,-0.7,5,1294.7,1384.2,1468.4,1457.9,1382.6
22B20,22,4.61158268,Greenspoint,24000,Auto Theft,321,304,346,150,323,971,323.7,7.8,0.6,-6.6,-0,1337.5,1266.7,1441.7,1345.8,1348.8
7C10,7,3.47828324,"Fifth Ward, North Park and Pinecrest",13000,Auto Theft,92,101,70,57,84,263,87.7,-23.9,-8.7,20,-4,707.7,776.9,538.5,646.2,674.6
7C20,7,7.08575157,"Huntington Place, Willshire Place, Kashmere Gardens and Liberty Gardens",21000,Auto Theft,171,159,184,86,183,514,171.3,7.6,7,-0.5,7,814.3,757.1,876.2,871.4,815.7
7C30,7,4.51719841,"Camden Woods, Archers Acres and Croyden Gardens",18000,Auto Theft,146,154,145,88,168,445,148.3,-0.7,15.1,15.9,13,811.1,855.6,805.6,933.3,823.9
7C40,7,3.36786526,Keith-Weiss Park and Farrington Place,8000,Auto Theft,106,114,109,73,125,329,109.7,2.8,17.9,14.7,14,1325,1425,1362.5,1562.5,1371.2
22B40,22,13.03325001,"Intercontinental Airport, Northwood, Lakeview Park and Glen Lee",11000,Auto Theft,192,253,265,169,293,710,236.7,38,52.6,10.6,24,1745.5,2300,2409.1,2663.6,2151.8
8C10,8,3.69037316,"Tidwell Park, Shady Oak and Buckingham Place",12000,Auto Theft,83,93,100,55,102,276,92,20.5,22.9,2,11,691.7,775,833.3,850,766.7
8C20,8,3.36154214,"Houston Gardens, Rosewood and Homestead",7000,Auto Theft,46,62,54,38,65,162,54,17.4,41.3,20.4,20,657.1,885.7,771.4,928.6,771.4
8C30,8,4.6258259,"Parkhurst, East Houston and Clairmont Place",11000,Auto Theft,77,78,92,58,104,247,82.3,19.5,35.1,13,26,700,709.1,836.4,945.5,748.2
8C40,8,4.97945551,"Lake Houston, Greenriver, Knoll and Lake Forest",8000,Auto Theft,42,32,42,21,39,116,38.7,0,-7.1,-7.1,1,525,400,525,487.5,483.8
8C50,8,3.31739498,"Park North, Forest Green, Kentshire Place, Glenwood Forest and Dorchester",8000,Auto Theft,43,57,61,36,61,161,53.7,41.9,41.9,0,14,537.5,712.5,762.5,762.5,671.3
8C60,8,5.79693312,"Edgeworth, Northwood Manor and Scenic Woods",19000,Auto Theft,80,131,101,50,89,312,104,26.2,11.2,-11.9,-14,421.1,689.5,531.6,468.4,547.4
9C10,9,5.21185619,"Port of Houston, Clinton Park, Pleasantville and Fidelity Manor",6000,Auto Theft,37,45,35,13,30,117,39,-5.4,-18.9,-14.3,-23,616.7,750,583.3,500,650
