offense_type,nibrs_class,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Negligent manslaughter,09B,9,13,3,2,2,25,8.3,-66.7,-77.8,-33.3,-76,0.4,0.6,0.1,0.1,0.4
Peeping tom,90H,0,29,14,1,4,43,14.3,NA,NA,-71.4,-72,0,1.3,0.6,0.2,0.6
Pocket-picking,23A,282,232,189,116,200,703,234.3,-33,-29.1,5.8,-15,12.2,10.1,8.2,8.7,10.2
"Pornographs, obscene material",370,305,414,371,204,356,1090,363.3,21.6,16.7,-4,-2,13.2,18,16.1,15.4,15.8
Promoting gambling,39B,10,4,5,2,4,19,6.3,-50,-60,-20,-37,0.4,0.2,0.2,0.2,0.3
Prostitution,40A,684,363,417,334,478,1464,488,-39,-30.1,14.6,-2,29.7,15.8,18.1,20.7,21.2
Purchasing prostitution,40C,309,252,390,236,453,951,317,26.2,46.6,16.2,43,13.4,10.9,16.9,19.7,13.8
Purse-snatching,23B,516,348,314,168,287,1178,392.7,-39.1,-44.4,-8.6,-27,22.4,15.1,13.6,12.5,17
Robbery,120,9200,8816,7802,4297,7471,25818,8606,-15.2,-18.8,-4.2,-13,399.2,382.5,338.5,324.2,373.4
Runaway,90I,0,13,7,0,3,20,6.7,NA,NA,-57.1,-55,0,0.6,0.3,0.1,0.3
Sexual assault with an object,11C,14,76,23,5,12,113,37.7,64.3,-14.3,-47.8,-68,0.6,3.3,1,0.5,1.6
Shoplifting,23C,10789,11841,9958,6033,10140,32588,10862.7,-7.7,-6,1.8,-7,468.2,513.8,432.1,440,471.4
Simple assault,13B,31001,29033,26736,15562,26682,86770,28923.3,-13.8,-13.9,-0.2,-8,1345.2,1259.8,1160.1,1157.8,1255
Statutory rape,36B,113,83,87,32,57,283,94.3,-23,-49.6,-34.5,-40,4.9,3.6,3.8,2.5,4.1
Stolen property offenses,280,376,336,365,196,344,1077,359,-2.9,-8.5,-5.8,-4,16.3,14.6,15.8,14.9,15.6
Theft from building,23D,3557,2869,2364,1191,2149,8790,2930,-33.5,-39.6,-9.1,-27,154.3,124.5,102.6,93.2,127.1
Theft from motor vehicle,23F,33084,27720,23580,15049,25489,84384,28128,-28.7,-23,8.1,-9,1435.6,1202.8,1023.2,1106,1220.5
Theft of motor vehicle parts or accessory,23G,5871,7353,13390,10668,16964,26614,8871.3,128.1,188.9,26.7,91,254.8,319.1,581,736.1,384.9
Trespass of real property,90J,0,5418,6127,4200,6919,11545,3848.3,NA,NA,12.9,80,0,235.1,265.9,300.2,167
Weapon law violations,520,2148,2930,3781,2398,3961,8859,2953,76,84.4,4.8,34,93.2,127.1,164.1,171.9,128.1
Welfare fraud,26D,6,20,26,18,21,52,17.3,333.3,250,-19.2,21,0.3,0.9,1.1,0.9,0.8
Wire fraud,26E,54,37,54,54,72,145,48.3,0,33.3,33.3,49,2.3,1.6,2.3,3.1,2.1
