beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
8C20,8,3.36154214,"Houston Gardens, Rosewood and Homestead",7000,Theft,144,173,156,61,148,473,157.7,8.3,2.8,-5.1,-6,2057.1,2471.4,2228.6,2114.3,2252.9
8C30,8,4.6258259,"Parkhurst, East Houston and Clairmont Place",11000,Theft,240,284,251,121,266,775,258.3,4.6,10.8,6,3,2181.8,2581.8,2281.8,2418.2,2348.2
8C40,8,4.97945551,"Lake Houston, Greenriver, Knoll and Lake Forest",8000,Theft,108,103,117,59,120,328,109.3,8.3,11.1,2.6,10,1350,1287.5,1462.5,1500,1366.2
8C50,8,3.31739498,"Park North, Forest Green, Kentshire Place, Glenwood Forest and Dorchester",8000,Theft,250,209,215,64,190,674,224.7,-14,-24,-11.6,-15,3125,2612.5,2687.5,2375,2808.8
8C60,8,5.79693312,"Edgeworth, Northwood Manor and Scenic Woods",19000,Theft,340,374,281,105,265,995,331.7,-17.4,-22.1,-5.7,-20,1789.5,1968.4,1478.9,1394.7,1745.8
9C10,9,5.21185619,"Port of Houston, Clinton Park, Pleasantville and Fidelity Manor",6000,Theft,90,76,86,49,95,252,84,-4.4,5.6,10.5,13,1500,1266.7,1433.3,1583.3,1400
9C20,9,7.5383173,Denver Harbor and Houston Harbor,16000,Theft,304,359,267,161,311,930,310,-12.2,2.3,16.5,0,1900,2243.8,1668.8,1943.8,1937.5
9C30,9,8.13353768,"City Park East, Wynnewood Acres and Wallisville Gardens",9000,Theft,521,434,392,203,456,1347,449,-24.8,-12.5,16.3,2,5788.9,4822.2,4355.6,5066.7,4988.9
9C40,9,10.42549456,"Greens Bayou Estates, Shady Brook, Northshore",23000,Theft,745,826,773,322,801,2344,781.3,3.8,7.5,3.6,3,3239.1,3591.3,3360.9,3482.6,3397
10H10,10,2.81830654,Oak Lawn and Ranger,11000,Theft,216,240,230,133,280,686,228.7,6.5,29.6,21.7,22,1963.6,2181.8,2090.9,2545.5,2079.1
10H20,10,1.75743169,Eastwood and Broadmoor,10000,Theft,290,257,202,94,212,749,249.7,-30.3,-26.9,5,-15,2900,2570,2020,2120,2497
10H30,10,1.02691154,Near East End,4000,Theft,674,430,498,264,600,1602,534,-26.1,-11,20.5,12,16850,10750,12450,15000,13350
10H40,10,0.99627062,Midtown,8000,Theft,1288,819,766,440,926,2873,957.7,-40.5,-28.1,20.9,-3,16100,10237.5,9575,11575,11971.2
10H50,10,2.30843079,the University of Houston area,13000,Theft,570,534,497,262,559,1601,533.7,-12.8,-1.9,12.5,5,4384.6,4107.7,3823.1,4300,4105.4
10H60,10,3.08931006,"University Oaks, Riverside Terrace and the Texas Southern University area",20000,Theft,555,559,665,250,655,1779,593,19.8,18,-1.5,10,2775,2795,3325,3275,2965
10H70,10,3.52217952,"Texas Medical Center, Hermann Park, Houston Zoo and Miller Outdoor Theatre",16000,Theft,1036,975,862,472,997,2873,957.7,-16.8,-3.8,15.7,4,6475,6093.8,5387.5,6231.2,5985.6
10H80,10,2.73862779,"Southampton, Rice University area, Shadow Lawn and Broad Acres",19000,Theft,700,515,501,279,582,1716,572,-28.4,-16.9,16.2,2,3684.2,2710.5,2636.8,3063.2,3010.5
11H10,11,5.31502815,"Mason Park, Forest Hill, Sunnyland and Central Park",28000,Theft,686,727,585,264,600,1998,666,-14.7,-12.5,2.6,-10,2450,2596.4,2089.3,2142.9,2378.6
11H20,11,3.9311161,"Harrisburg, Manchester and Pecan Park",18000,Theft,243,272,261,106,258,776,258.7,7.4,6.2,-1.1,-0,1350,1511.1,1450,1433.3,1437.2
11H30,11,2.84278059,Meadow Brook and Park Place,15000,Theft,396,509,293,132,285,1198,399.3,-26,-28,-2.7,-29,2640,3393.3,1953.3,1900,2662
11H40,11,6.14001938,Allendale and Oak Meadows,8000,Theft,98,130,102,33,78,330,110,4.1,-20.4,-23.5,-29,1225,1625,1275,975,1375
11H50,11,2.09534157,"Meadow Creek, Ferndale Addition and Glenbrook Industrial",8000,Theft,175,195,208,93,217,578,192.7,18.9,24,4.3,13,2187.5,2437.5,2600,2712.5,2408.8
12D10,12,8.55384717,"Almeda Mall, Southridge, Edgebrook and South Houston Gardens",44000,Theft,1182,1300,1224,572,1273,3706,1235.3,3.6,7.7,4,3,2686.4,2954.5,2781.8,2893.2,2807.5
12D20,12,3.83700574,Sage,22000,Theft,551,540,495,242,524,1586,528.7,-10.2,-4.9,5.9,-1,2504.5,2454.5,2250,2381.8,2403.2
12D30,12,3.99301158,Gulf Palms and Beamer,15000,Theft,245,245,222,109,228,712,237.3,-9.4,-6.9,2.7,-4,1633.3,1633.3,1480,1520,1582
12D40,12,9.68663455,Scarsdale and Ellington Field,11000,Theft,171,197,170,100,200,538,179.3,-0.6,17,17.6,12,1554.5,1790.9,1545.5,1818.2,1630
12D50,12,8.93327581,"Bay Glen, Bay Oaks, Brook Forest and Bay Forest",26000,Theft,177,136,120,46,120,433,144.3,-32.2,-32.2,0,-17,680.8,523.1,461.5,461.5,555
12D60,12,6.35832041,"NASA's Johnson Space Center, Meadow Green, Oakbrook West and Camino South",22000,Theft,237,265,234,102,244,736,245.3,-1.3,3,4.3,-1,1077.3,1204.5,1063.6,1109.1,1115
12D70,12,5.39156317,Baybrook Mall and Sterling Knoll,12000,Theft,934,863,901,418,991,2698,899.3,-3.5,6.1,10,10,7783.3,7191.7,7508.3,8258.3,7494.2
13D10,13,5.2433708,"Gulfgate Mall, Bay Forest, Riverview, Hampshire, Golfcrest and Barnett Stadium",23000,Theft,572,615,614,258,598,1801,600.3,7.3,4.5,-2.6,-0,2487,2673.9,2669.6,2600,2610
13D20,13,6.66870859,"Fairlawn, Garden Villas, Glenbrook Valley and Santa Rosa",36000,Theft,937,872,878,357,846,2687,895.7,-6.3,-9.7,-3.6,-6,2602.8,2422.2,2438.9,2350,2488.1
13D30,13,3.07402543,"Allen Farms, Airport Gardens and the Hobby Airport area",2000,Theft,52,71,59,29,67,182,60.7,13.5,28.8,13.6,10,2600,3550,2950,3350,3035
13D40,13,5.0688163,"Val Verde East, Gulf Meadows and Houston Skyscraper Shadows",13000,Theft,253,249,252,100,240,754,251.3,-0.4,-5.1,-4.8,-4,1946.2,1915.4,1938.5,1846.2,1933.1
14D10,14,3.66057918,McGregor Terrace and Riverside Terrace,17000,Theft,708,543,501,209,490,1752,584,-29.2,-30.8,-2.2,-16,4164.7,3194.1,2947.1,2882.4,3435.3
14D20,14,7.25646368,"Blueridge, Sunnyside, Brook Haven and Bayou Estates",28000,Theft,802,731,547,303,607,2080,693.3,-31.8,-24.3,11,-12,2864.3,2610.7,1953.6,2167.9,2476.1
14D30,14,4.20537595,"Crestmont, Edgewood, Bellfort Park, Inwood Terrace and Southpark",21000,Theft,334,319,268,104,258,921,307,-19.8,-22.8,-3.7,-16,1590.5,1519,1276.2,1228.6,1461.9
14D40,14,6.61224595,"South Acres, Shamrock Manor, Hillwood and Cloverland",21000,Theft,376,358,317,112,307,1051,350.3,-15.7,-18.4,-3.2,-12,1790.5,1704.8,1509.5,1461.9,1668.1
14D50,14,8.69627992,"Golden Glade Estates, Langston and Almeda Genoa",9000,Theft,186,173,144,73,148,503,167.7,-22.6,-20.4,2.8,-12,2066.7,1922.2,1600,1644.4,1863.3
15E10,15,4.34996776,"Meyerland Plaza, Robindell, Meyerland, Braeburn Terrace and Maplewood South",24000,Theft,654,680,524,228,529,1858,619.3,-19.9,-19.1,1,-15,2725,2833.3,2183.3,2204.2,2580.4
15E20,15,3.58384499,"Westbury, Park West and Willow Creek",18000,Theft,319,439,349,139,313,1107,369,9.4,-1.9,-10.3,-15,1772.2,2438.9,1938.9,1738.9,2050
15E30,15,6.29133294,"Meyer Park, Post Oak Manor, Westwood, Willow Bend and Linkwood",34000,Theft,997,873,763,366,803,2633,877.7,-23.5,-19.5,5.2,-9,2932.4,2567.6,2244.1,2361.8,2581.5
15E40,15,10.0079174,"The Astrodome, Six Flags Astroworld, Lakes at 610 and Plaza del Oro",30000,Theft,1639,1402,1560,902,1849,4601,1533.7,-4.8,12.8,18.5,21,5463.3,4673.3,5200,6163.3,5112.3
16E10,16,5.38940818,Canterbury Village and Monarch Estates,15000,Theft,315,228,209,109,253,752,250.7,-33.7,-19.7,21.1,1,2100,1520,1393.3,1686.7,1671.3
16E20,16,8.15202134,"Almeda Plaza, South Glen, Dumbarton Oaks and Briarwick",35000,Theft,579,453,529,261,587,1561,520.3,-8.6,1.4,11,13,1654.3,1294.3,1511.4,1677.1,1486.6
16E30,16,7.00932789,"Greenpark, Southwest Crossing and Windsor Village",22000,Theft,449,460,430,199,433,1339,446.3,-4.2,-3.6,0.7,-3,2040.9,2090.9,1954.5,1968.2,2028.6
16E40,16,7.49721482,"Chasewood, Willowpark, Briarwick, Ridgemont and Quail Run",35000,Theft,440,383,427,185,406,1250,416.7,-3,-7.7,-4.9,-3,1257.1,1094.3,1220,1160,1190.6
