beat,district,area_sq_mi,placename,population,type,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
23J40,23,3.03933481,Intercontinental Airport,0,Property,4,2,2,1,2,8,2.7,-50,-50,0,-26,NA,NA,NA,NA,NA
23J50,23,2.12389492,Intercontinental Airport,0,Property,135,71,117,81,138,323,107.7,-13.3,2.2,17.9,28,NA,NA,NA,NA,NA
1A10,1,1.74646692,Downtown Central Business District,17000,Property,1740,1112,1255,955,1559,4107,1369,-27.9,-10.4,24.2,14,10235.3,6541.2,7382.4,9170.6,8052.9
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Property,2893,2564,2712,1582,2676,8169,2723,-6.3,-7.5,-1.3,-2,10714.8,9496.3,10044.4,9911.1,10085.2
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Property,2224,1600,1429,968,1591,5253,1751,-35.7,-28.5,11.3,-9,8237,5925.9,5292.6,5892.6,6485.2
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Property,193,186,175,111,187,554,184.7,-9.3,-3.1,6.9,1,2757.1,2657.1,2500,2671.4,2638.6
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Property,1898,1835,1747,1280,2006,5480,1826.7,-8,5.7,14.8,10,7300,7057.7,6719.2,7715.4,7025.8
2A10,2,3.30928608,Irvington and Ryon,18000,Property,709,748,710,526,828,2167,722.3,0.1,16.8,16.6,15,3938.9,4155.6,3944.4,4600,4012.8
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Property,432,429,453,268,438,1314,438,4.9,1.4,-3.3,0,3927.3,3900,4118.2,3981.8,3981.8
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Property,1611,1164,1278,846,1430,4053,1351,-20.7,-11.2,11.9,6,5196.8,3754.8,4122.6,4612.9,4358.1
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Property,676,659,660,382,682,1995,665,-2.4,0.9,3.3,3,8450,8237.5,8250,8525,8312.5
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Property,2052,1682,1690,1122,1926,5424,1808,-17.6,-6.1,14,7,7075.9,5800,5827.6,6641.4,6234.5
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Property,1062,1117,1152,750,1213,3331,1110.3,8.5,14.2,5.3,9,5057.1,5319,5485.7,5776.2,5287.1
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",34000,Property,1970,1939,2024,1428,2362,5933,1977.7,2.7,19.9,16.7,19,5794.1,5702.9,5952.9,6947.1,5816.8
3B30,3,5.310372,"White Oak Acres, Brook Hollow, Oak Forest, Garden Oaks and Shepherd Park Plaza",23000,Property,845,719,684,422,713,2248,749.3,-19.1,-15.6,4.2,-5,3673.9,3126.1,2973.9,3100,3257.8
3B40,3,3.40013561,"Independence Heights, Melrose and Graceland",13000,Property,800,812,814,478,824,2426,808.7,1.8,3,1.2,2,6153.8,6246.2,6261.5,6338.5,6220.8
3B50,3,3.85259517,"Northline Mall, Stratton Place, Oakwood, Colonial Gardens, Lindale and Junction City",20000,Property,1689,1633,1252,724,1197,4574,1524.7,-25.9,-29.1,-4.4,-21,8445,8165,6260,5985,7623.5
5F10,5,3.25978513,Afton Village and Pine Terrace,14000,Property,765,854,768,502,866,2387,795.7,0.4,13.2,12.8,9,5464.3,6100,5485.7,6185.7,5683.6
5F30,5,8.70689439,"Fairbanks, Carverdale, Fawndale and Northwest Crossing",17000,Property,2236,2013,2019,1189,2087,6268,2089.3,-9.7,-6.7,3.4,-0,13152.9,11841.2,11876.5,12276.5,12290
6B10,6,5.50084827,"York Plaza, Pembrook Place and Hawthorne Place",33000,Property,1213,1311,1121,689,1127,3645,1215,-7.6,-7.1,0.5,-7,3675.8,3972.7,3397,3415.2,3681.8
6B20,6,6.12869477,"Highland Heights, Oakdale and Melrose Gardens",18000,Property,785,759,664,483,771,2208,736,-15.4,-1.8,16.1,5,4361.1,4216.7,3688.9,4283.3,4088.9
6B30,6,7.2300685,"Woodland Trails, Oaks of Inwood, Bayou Bend, Cole Creek Manor and Inwood Forest",38000,Property,1078,1066,923,574,988,3067,1022.3,-14.4,-8.3,7,-3,2836.8,2805.3,2428.9,2600,2690.3
6B40,6,5.544689,"Highland Gardens, Highland Heights and North Plaza",20000,Property,915,879,832,509,917,2626,875.3,-9.1,0.2,10.2,5,4575,4395,4160,4585,4376.5
22B30,22,2.8264671,Aldine and Imperial Valley,19000,Property,902,1042,987,602,999,2931,977,9.4,10.8,1.2,2,4747.4,5484.2,5194.7,5257.9,5142.1
22B20,22,4.61158268,Greenspoint,24000,Property,1650,1754,1966,1190,2109,5370,1790,19.2,27.8,7.3,18,6875,7308.3,8191.7,8787.5,7458.3
7C10,7,3.47828324,"Fifth Ward, North Park and Pinecrest",13000,Property,646,615,573,387,627,1834,611.3,-11.3,-2.9,9.4,3,4969.2,4730.8,4407.7,4823.1,4702.3
7C20,7,7.08575157,"Huntington Place, Willshire Place, Kashmere Gardens and Liberty Gardens",21000,Property,1043,1026,1052,599,1075,3121,1040.3,0.9,3.1,2.2,3,4966.7,4885.7,5009.5,5119,4953.8
7C30,7,4.51719841,"Camden Woods, Archers Acres and Croyden Gardens",18000,Property,708,765,741,446,742,2214,738,4.7,4.8,0.1,1,3933.3,4250,4116.7,4122.2,4100
7C40,7,3.36786526,Keith-Weiss Park and Farrington Place,8000,Property,381,345,355,241,406,1081,360.3,-6.8,6.6,14.4,13,4762.5,4312.5,4437.5,5075,4503.8
22B40,22,13.03325001,"Intercontinental Airport, Northwood, Lakeview Park and Glen Lee",11000,Property,1063,1098,1464,1093,1776,3625,1208.3,37.7,67.1,21.3,47,9663.6,9981.8,13309.1,16145.5,10984.5
8C10,8,3.69037316,"Tidwell Park, Shady Oak and Buckingham Place",12000,Property,778,668,597,335,595,2043,681,-23.3,-23.5,-0.3,-13,6483.3,5566.7,4975,4958.3,5675
8C20,8,3.36154214,"Houston Gardens, Rosewood and Homestead",7000,Property,265,291,279,176,290,835,278.3,5.3,9.4,3.9,4,3785.7,4157.1,3985.7,4142.9,3975.7
8C30,8,4.6258259,"Parkhurst, East Houston and Clairmont Place",11000,Property,437,454,438,300,481,1329,443,0.2,10.1,9.8,9,3972.7,4127.3,3981.8,4372.7,4027.3
8C40,8,4.97945551,"Lake Houston, Greenriver, Knoll and Lake Forest",8000,Property,207,168,193,138,191,568,189.3,-6.8,-7.7,-1,1,2587.5,2100,2412.5,2387.5,2366.3
8C50,8,3.31739498,"Park North, Forest Green, Kentshire Place, Glenwood Forest and Dorchester",8000,Property,389,330,340,172,316,1059,353,-12.6,-18.8,-7.1,-10,4862.5,4125,4250,3950,4412.5
8C60,8,5.79693312,"Edgeworth, Northwood Manor and Scenic Woods",19000,Property,563,617,501,306,487,1681,560.3,-11,-13.5,-2.8,-13,2963.2,3247.4,2636.8,2563.2,2948.9
9C10,9,5.21185619,"Port of Houston, Clinton Park, Pleasantville and Fidelity Manor",6000,Property,167,156,165,111,175,488,162.7,-1.2,4.8,6.1,8,2783.3,2600,2750,2916.7,2711.7
9C20,9,7.5383173,Denver Harbor and Houston Harbor,16000,Property,526,559,431,332,513,1516,505.3,-18.1,-2.5,19,2,3287.5,3493.8,2693.8,3206.2,3158.1
9C30,9,8.13353768,"City Park East, Wynnewood Acres and Wallisville Gardens",9000,Property,682,659,550,360,607,1891,630.3,-19.4,-11,10.4,-4,7577.8,7322.2,6111.1,6744.4,7003.3
9C40,9,10.42549456,"Greens Bayou Estates, Shady Brook, Northshore",23000,Property,1172,1332,1189,785,1328,3693,1231,1.5,13.3,11.7,8,5095.7,5791.3,5169.6,5773.9,5352.2
10H10,10,2.81830654,Oak Lawn and Ranger,11000,Property,320,387,357,268,411,1064,354.7,11.6,28.4,15.1,16,2909.1,3518.2,3245.5,3736.4,3224.5
10H20,10,1.75743169,Eastwood and Broadmoor,10000,Property,395,400,311,202,327,1106,368.7,-21.3,-17.2,5.1,-11,3950,4000,3110,3270,3687
10H30,10,1.02691154,Near East End,4000,Property,780,529,631,496,781,1940,646.7,-19.1,0.1,23.8,21,19500,13225,15775,19525,16167.5
10H40,10,0.99627062,Midtown,8000,Property,1518,1050,981,761,1206,3549,1183,-35.4,-20.6,22.9,2,18975,13125,12262.5,15075,14787.5
10H50,10,2.30843079,the University of Houston area,13000,Property,833,781,729,513,814,2343,781,-12.5,-2.3,11.7,4,6407.7,6007.7,5607.7,6261.5,6007.7
10H60,10,3.08931006,"University Oaks, Riverside Terrace and the Texas Southern University area",20000,Property,772,763,900,550,926,2435,811.7,16.6,19.9,2.9,14,3860,3815,4500,4630,4058.5
10H70,10,3.52217952,"Texas Medical Center, Hermann Park, Houston Zoo and Miller Outdoor Theatre",16000,Property,1285,1215,1089,884,1370,3589,1196.3,-15.3,6.6,25.8,15,8031.2,7593.8,6806.2,8562.5,7476.9
10H80,10,2.73862779,"Southampton, Rice University area, Shadow Lawn and Broad Acres",19000,Property,871,663,668,476,763,2202,734,-23.3,-12.4,14.2,4,4584.2,3489.5,3515.8,4015.8,3863.2
11H10,11,5.31502815,"Mason Park, Forest Hill, Sunnyland and Central Park",28000,Property,1087,1115,950,566,978,3152,1050.7,-12.6,-10,2.9,-7,3882.1,3982.1,3392.9,3492.9,3752.5
11H20,11,3.9311161,"Harrisburg, Manchester and Pecan Park",18000,Property,387,450,465,233,415,1302,434,20.2,7.2,-10.8,-4,2150,2500,2583.3,2305.6,2411.1
11H30,11,2.84278059,Meadow Brook and Park Place,15000,Property,644,747,558,298,500,1949,649.7,-13.4,-22.4,-10.4,-23,4293.3,4980,3720,3333.3,4331.3
11H40,11,6.14001938,Allendale and Oak Meadows,8000,Property,178,202,168,87,150,548,182.7,-5.6,-15.7,-10.7,-18,2225,2525,2100,1875,2283.8
11H50,11,2.09534157,"Meadow Creek, Ferndale Addition and Glenbrook Industrial",8000,Property,264,306,348,210,344,918,306,31.8,30.3,-1.1,12,3300,3825,4350,4300,3825
12D10,12,8.55384717,"Almeda Mall, Southridge, Edgebrook and South Houston Gardens",44000,Property,1898,2044,2007,1306,2182,5949,1983,5.7,15,8.7,10,4313.6,4645.5,4561.4,4959.1,4506.8
12D20,12,3.83700574,Sage,22000,Property,835,821,835,567,937,2491,830.3,0,12.2,12.2,13,3795.5,3731.8,3795.5,4259.1,3774.1
12D30,12,3.99301158,Gulf Palms and Beamer,15000,Property,379,418,365,266,400,1162,387.3,-3.7,5.5,9.6,3,2526.7,2786.7,2433.3,2666.7,2582
12D40,12,9.68663455,Scarsdale and Ellington Field,11000,Property,322,359,335,236,356,1016,338.7,4,10.6,6.3,5,2927.3,3263.6,3045.5,3236.4,3079.1
12D50,12,8.93327581,"Bay Glen, Bay Oaks, Brook Forest and Bay Forest",26000,Property,224,179,165,102,171,568,189.3,-26.3,-23.7,3.6,-10,861.5,688.5,634.6,657.7,728.1
12D60,12,6.35832041,"NASA's Johnson Space Center, Meadow Green, Oakbrook West and Camino South",22000,Property,343,402,377,210,388,1122,374,9.9,13.1,2.9,4,1559.1,1827.3,1713.6,1763.6,1700
12D70,12,5.39156317,Baybrook Mall and Sterling Knoll,12000,Property,1128,1084,1214,733,1308,3426,1142,7.6,16,7.7,15,9400,9033.3,10116.7,10900,9516.7
13D10,13,5.2433708,"Gulfgate Mall, Bay Forest, Riverview, Hampshire, Golfcrest and Barnett Stadium",23000,Property,1031,1072,1008,585,1021,3111,1037,-2.2,-1,1.3,-2,4482.6,4660.9,4382.6,4439.1,4508.7
13D20,13,6.66870859,"Fairlawn, Garden Villas, Glenbrook Valley and Santa Rosa",36000,Property,1538,1486,1447,860,1450,4471,1490.3,-5.9,-5.7,0.2,-3,4272.2,4127.8,4019.4,4027.8,4139.7
13D30,13,3.07402543,"Allen Farms, Airport Gardens and the Hobby Airport area",2000,Property,129,122,141,64,121,392,130.7,9.3,-6.2,-14.2,-7,6450,6100,7050,6050,6535
13D40,13,5.0688163,"Val Verde East, Gulf Meadows and Houston Skyscraper Shadows",13000,Property,388,417,385,240,408,1190,396.7,-0.8,5.2,6,3,2984.6,3207.7,2961.5,3138.5,3051.5
14D10,14,3.66057918,McGregor Terrace and Riverside Terrace,17000,Property,1081,854,742,450,761,2677,892.3,-31.4,-29.6,2.6,-15,6358.8,5023.5,4364.7,4476.5,5248.8
14D20,14,7.25646368,"Blueridge, Sunnyside, Brook Haven and Bayou Estates",28000,Property,1388,1194,974,689,1074,3556,1185.3,-29.8,-22.6,10.3,-9,4957.1,4264.3,3478.6,3835.7,4233.2
14D30,14,4.20537595,"Crestmont, Edgewood, Bellfort Park, Inwood Terrace and Southpark",21000,Property,601,584,487,304,512,1672,557.3,-19,-14.8,5.1,-8,2861.9,2781,2319,2438.1,2653.8
14D40,14,6.61224595,"South Acres, Shamrock Manor, Hillwood and Cloverland",21000,Property,574,560,496,300,519,1630,543.3,-13.6,-9.6,4.6,-4,2733.3,2666.7,2361.9,2471.4,2587.1
14D50,14,8.69627992,"Golden Glade Estates, Langston and Almeda Genoa",9000,Property,328,274,272,172,270,874,291.3,-17.1,-17.7,-0.7,-7,3644.4,3044.4,3022.2,3000,3236.7
15E10,15,4.34996776,"Meyerland Plaza, Robindell, Meyerland, Braeburn Terrace and Maplewood South",24000,Property,929,845,711,457,760,2485,828.3,-23.5,-18.2,6.9,-8,3870.8,3520.8,2962.5,3166.7,3451.2
15E20,15,3.58384499,"Westbury, Park West and Willow Creek",18000,Property,488,560,498,266,460,1546,515.3,2,-5.7,-7.6,-11,2711.1,3111.1,2766.7,2555.6,2862.8
15E30,15,6.29133294,"Meyer Park, Post Oak Manor, Westwood, Willow Bend and Linkwood",34000,Property,1380,1245,1059,707,1136,3684,1228,-23.3,-17.7,7.3,-7,4058.8,3661.8,3114.7,3341.2,3611.8
15E40,15,10.0079174,"The Astrodome, Six Flags Astroworld, Lakes at 610 and Plaza del Oro",30000,Property,2240,1983,2046,1698,2635,6269,2089.7,-8.7,17.6,28.8,26,7466.7,6610,6820,8783.3,6965.7
16E10,16,5.38940818,Canterbury Village and Monarch Estates,15000,Property,450,352,330,229,393,1132,377.3,-26.7,-12.7,19.1,4,3000,2346.7,2200,2620,2515.3
16E20,16,8.15202134,"Almeda Plaza, South Glen, Dumbarton Oaks and Briarwick",35000,Property,826,687,775,500,852,2288,762.7,-6.2,3.1,9.9,12,2360,1962.9,2214.3,2434.3,2179.1
16E30,16,7.00932789,"Greenpark, Southwest Crossing and Windsor Village",22000,Property,629,675,606,353,599,1910,636.7,-3.7,-4.8,-1.2,-6,2859.1,3068.2,2754.5,2722.7,2894.1
16E40,16,7.49721482,"Chasewood, Willowpark, Briarwick, Ridgemont and Quail Run",35000,Property,663,591,644,364,636,1898,632.7,-2.9,-4.1,-1.2,1,1894.3,1688.6,1840,1817.1,1807.7
17E10,17,3.3104034,"Southwest Memorial Hospital, Burnett Bayland Park and Westmoreland",51000,Property,1929,1706,1787,1040,1862,5422,1807.3,-7.4,-3.5,4.2,3,3782.4,3345.1,3503.9,3651,3543.7
17E20,17,3.92767309,the Houston Baptist University area and Maplewood West,27000,Property,784,762,677,416,693,2223,741,-13.6,-11.6,2.4,-6,2903.7,2822.2,2507.4,2566.7,2744.4
17E30,17,3.8060455,Braeburn Valley West and Glenshire,21000,Property,804,1058,861,535,846,2723,907.7,7.1,5.2,-1.7,-7,3828.6,5038.1,4100,4028.6,4322.4
17E40,17,4.70920035,"Creekbend, Southwood and Fondren Southwest",46000,Property,1473,1462,1375,746,1306,4310,1436.7,-6.7,-11.3,-5,-9,3202.2,3178.3,2989.1,2839.1,3123.3
18F10,18,1.95881352,"Saddlebrook, Bayou Woods and Sherwood Forest",7000,Property,249,265,273,177,288,787,262.3,9.6,15.7,5.5,10,3557.1,3785.7,3900,4114.3,3747.1
18F20,18,3.51641691,"The Galleria, Tanglewood, Riverway and Post Oak",24000,Property,2284,2283,2508,1659,2752,7075,2358.3,9.8,20.5,9.7,17,9516.7,9512.5,10450,11466.7,9826.2
18F30,18,3.80008564,"The Richmond Strip, Briargrove, Post Oak Estates and Westhaven",36000,Property,1812,1682,1952,1199,2008,5446,1815.3,7.7,10.8,2.9,11,5033.3,4672.2,5422.2,5577.8,5042.5
18F40,18,2.9060249,"Rosewood General Hospital, Woodlake and Briarmeadow",35000,Property,1948,2121,2127,1244,2100,6196,2065.3,9.2,7.8,-1.3,2,5565.7,6060,6077.1,6000,5900.9
18F50,18,2.96939217,"Tanglewild, Sharpstown Mall and Regency Square",20000,Property,1408,1429,1606,994,1665,4443,1481,14.1,18.3,3.7,12,7040,7145,8030,8325,7405
18F60,18,3.62528697,Sharpstown Country Club and Southway Center,28000,Property,991,1007,1001,583,1060,2999,999.7,1,7,5.9,6,3539.3,3596.4,3575,3785.7,3570.4
19G10,19,2.74020376,Concourse South and Westwood Mall,31000,Property,1576,1807,1756,1057,1769,5139,1713,11.4,12.2,0.7,3,5083.9,5829,5664.5,5706.5,5525.8
19G20,19,3.29219023,"Catalina Square, Bellaire West, Imperial Point",25000,Property,843,821,682,421,693,2346,782,-19.1,-17.8,1.6,-11,3372,3284,2728,2772,3128
19G30,19,2.49064202,"Rodeo Square, Wildflower Green, Braewood Glen",18000,Property,492,512,424,187,343,1428,476,-13.8,-30.3,-19.1,-28,2733.3,2844.4,2355.6,1905.6,2644.4
19G40,19,4.56425364,"Huntington Village, Wellington Park, Leawood, Keegans Glen",37000,Property,1017,1010,859,506,898,2886,962,-15.5,-11.7,4.5,-7,2748.6,2729.7,2321.6,2427,2600
19G50,19,2.30578624,"Forum Park, Stancliff and Southwest Park",18000,Property,673,905,834,421,757,2412,804,23.9,12.5,-9.2,-6,3738.9,5027.8,4633.3,4205.6,4466.7
20G10,20,3.06600809,"Westchase, Woodchase Village and Point West",29000,Property,1354,1406,1427,850,1501,4187,1395.7,5.4,10.9,5.2,8,4669,4848.3,4920.7,5175.9,4812.8
20G20,20,3.27621655,"Lakeside Estates, City West Place, Rivercrest and Briargrove Park",18000,Property,575,594,510,315,523,1679,559.7,-11.3,-9,2.5,-7,3194.4,3300,2833.3,2905.6,3109.4
20G30,20,3.97953501,"West Houston Medical Center, Andrau Airport, Westchase and Westchase Mall",26000,Property,1685,1518,1497,875,1512,4700,1566.7,-11.2,-10.3,1,-3,6480.8,5838.5,5757.7,5815.4,6025.8
20G40,20,4.16594899,"Lakeview Forest, Lakeside Place, Ashford Village and Southlake",28000,Property,1093,1057,925,554,962,3075,1025,-15.4,-12,4,-6,3903.6,3775,3303.6,3435.7,3660.7
20G70,20,2.38283582,Westpark Village and Ashford Point,21000,Property,583,644,666,349,620,1893,631,14.2,6.3,-6.9,-2,2776.2,3066.7,3171.4,2952.4,3004.8
20G80,20,25.33626534,City Limits,37000,Property,1319,1283,1332,820,1407,3934,1311.3,1,6.7,5.6,7,3564.9,3467.6,3600,3802.7,3544.1
21I10,21,0.00549966,Hobby Airport,0,Property,258,141,185,120,190,584,194.7,-28.3,-26.4,2.7,-2,NA,NA,NA,NA,NA
21I20,21,0.01205019,Hobby Airport,0,Property,3,0,9,3,6,12,4,200,100,-33.3,50,NA,NA,NA,NA,NA
21I30,21,0.01180375,Hobby Airport,0,Property,7,2,2,0,2,11,3.7,-71.4,-71.4,0,-46,NA,NA,NA,NA,NA
21I40,21,0.00923163,Hobby Airport,0,Property,15,6,2,3,4,23,7.7,-86.7,-73.3,100,-48,NA,NA,NA,NA,NA
