beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,NA,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Auto Theft,66,97,121,64,0,0,284,94.7,83.3,-100,-100,-100,244.4,359.3,448.1,0,350.7
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Burglary,236,205,182,64,0,0,623,207.7,-22.9,-100,-100,-100,874.1,759.3,674.1,0,769.3
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Drug Offenses,68,74,50,28,0,0,192,64,-26.5,-100,-100,-100,251.9,274.1,185.2,0,237
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Kidnapping,3,1,4,2,0,0,8,2.7,33.3,-100,-100,-100,11.1,3.7,14.8,0,10
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Murder,0,3,1,1,0,0,4,1.3,NA,NA,-100,-100,0,11.1,3.7,0,4.8
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Other,447,833,745,421,0,0,2025,675,66.7,-100,-100,-100,1655.6,3085.2,2759.3,0,2500
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Robbery,71,56,41,20,0,0,168,56,-42.3,-100,-100,-100,263,207.4,151.9,0,207.4
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Sexual Assault,16,21,14,4,0,0,51,17,-12.5,-100,-100,-100,59.3,77.8,51.9,0,63
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Theft,1920,1295,1122,713,0,0,4337,1445.7,-41.6,-100,-100,-100,7111.1,4796.3,4155.6,0,5354.4
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Assault,37,31,42,18,0,0,110,36.7,13.5,-100,-100,-100,528.6,442.9,600,0,524.3
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Auto Theft,10,13,14,8,0,0,37,12.3,40,-100,-100,-100,142.9,185.7,200,0,175.7
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Burglary,31,29,20,4,0,0,80,26.7,-35.5,-100,-100,-100,442.9,414.3,285.7,0,381.4
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Drug Offenses,7,8,4,3,0,0,19,6.3,-42.9,-100,-100,-100,100,114.3,57.1,0,90
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Murder,0,0,1,0,0,0,1,0.3,NA,NA,-100,-100,0,0,14.3,0,4.3
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Other,65,122,138,48,0,0,325,108.3,112.3,-100,-100,-100,928.6,1742.9,1971.4,0,1547.1
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Robbery,3,6,8,2,0,0,17,5.7,166.7,-100,-100,-100,42.9,85.7,114.3,0,81.4
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Sexual Assault,2,1,0,1,0,0,3,1,-100,-100,NA,-100,28.6,14.3,0,0,14.3
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Theft,152,144,141,76,0,0,437,145.7,-7.2,-100,-100,-100,2171.4,2057.1,2014.3,0,2081.4
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Arson,1,0,1,0,0,0,2,0.7,0,-100,-100,-100,3.8,0,3.8,0,2.7
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Assault,322,435,458,233,0,0,1215,405,42.2,-100,-100,-100,1238.5,1673.1,1761.5,0,1557.7
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Auto Theft,140,205,236,157,0,0,581,193.7,68.6,-100,-100,-100,538.5,788.5,907.7,0,745
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Burglary,240,212,142,95,0,0,594,198,-40.8,-100,-100,-100,923.1,815.4,546.2,0,761.5
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Drug Offenses,38,41,45,27,0,0,124,41.3,18.4,-100,-100,-100,146.2,157.7,173.1,0,158.8
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Kidnapping,1,2,2,1,0,0,5,1.7,100,-100,-100,-100,3.8,7.7,7.7,0,6.5
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Murder,0,0,5,3,0,0,5,1.7,NA,NA,-100,-100,0,0,19.2,0,6.5
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Other,485,710,722,352,0,0,1917,639,48.9,-100,-100,-100,1865.4,2730.8,2776.9,0,2457.7
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Robbery,50,53,83,16,0,0,186,62,66,-100,-100,-100,192.3,203.8,319.2,0,238.5
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Sexual Assault,10,13,13,6,0,0,36,12,30,-100,-100,-100,38.5,50,50,0,46.2
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Theft,1517,1418,1368,870,0,0,4303,1434.3,-9.8,-100,-100,-100,5834.6,5453.8,5261.5,0,5516.5
2A10,2,3.30928608,Irvington and Ryon,18000,Arson,10,12,6,4,0,0,28,9.3,-40,-100,-100,-100,55.6,66.7,33.3,0,51.7
2A10,2,3.30928608,Irvington and Ryon,18000,Assault,802,792,714,331,0,0,2308,769.3,-11,-100,-100,-100,4455.6,4400,3966.7,0,4273.9
2A10,2,3.30928608,Irvington and Ryon,18000,Auto Theft,70,104,151,51,0,0,325,108.3,115.7,-100,-100,-100,388.9,577.8,838.9,0,601.7
2A10,2,3.30928608,Irvington and Ryon,18000,Burglary,131,116,118,94,0,0,365,121.7,-9.9,-100,-100,-100,727.8,644.4,655.6,0,676.1
2A10,2,3.30928608,Irvington and Ryon,18000,Drug Offenses,220,157,124,57,0,0,501,167,-43.6,-100,-100,-100,1222.2,872.2,688.9,0,927.8
2A10,2,3.30928608,Irvington and Ryon,18000,Kidnapping,2,2,2,0,0,0,6,2,0,-100,-100,-100,11.1,11.1,11.1,0,11.1
2A10,2,3.30928608,Irvington and Ryon,18000,Murder,6,4,3,4,0,0,13,4.3,-50,-100,-100,-100,33.3,22.2,16.7,0,23.9
2A10,2,3.30928608,Irvington and Ryon,18000,Other,334,753,725,381,0,0,1812,604,117.1,-100,-100,-100,1855.6,4183.3,4027.8,0,3355.6
2A10,2,3.30928608,Irvington and Ryon,18000,Robbery,112,100,71,47,0,0,283,94.3,-36.6,-100,-100,-100,622.2,555.6,394.4,0,523.9
2A10,2,3.30928608,Irvington and Ryon,18000,Sexual Assault,13,18,21,7,0,0,52,17.3,61.5,-100,-100,-100,72.2,100,116.7,0,96.1
2A10,2,3.30928608,Irvington and Ryon,18000,Theft,498,516,435,308,0,0,1449,483,-12.7,-100,-100,-100,2766.7,2866.7,2416.7,0,2683.3
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Arson,3,2,1,1,0,0,6,2,-66.7,-100,-100,-100,27.3,18.2,9.1,0,18.2
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Assault,296,349,294,113,0,0,939,313,-0.7,-100,-100,-100,2690.9,3172.7,2672.7,0,2845.5
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Auto Theft,58,64,81,42,0,0,203,67.7,39.7,-100,-100,-100,527.3,581.8,736.4,0,615.5
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Burglary,94,77,80,31,0,0,251,83.7,-14.9,-100,-100,-100,854.5,700,727.3,0,760.9
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Drug Offenses,116,71,71,26,0,0,258,86,-38.8,-100,-100,-100,1054.5,645.5,645.5,0,781.8
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Kidnapping,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Murder,0,2,1,2,0,0,3,1,NA,NA,-100,-100,0,18.2,9.1,0,9.1
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Other,191,319,370,202,0,0,880,293.3,93.7,-100,-100,-100,1736.4,2900,3363.6,0,2666.4
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Robbery,63,54,29,20,0,0,146,48.7,-54,-100,-100,-100,572.7,490.9,263.6,0,442.7
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Sexual Assault,5,5,5,4,0,0,15,5,0,-100,-100,-100,45.5,45.5,45.5,0,45.5
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Theft,277,286,291,155,0,0,854,284.7,5.1,-100,-100,-100,2518.2,2600,2645.5,0,2588.2
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Arson,7,14,3,1,0,0,24,8,-57.1,-100,-100,-100,22.6,45.2,9.7,0,25.8
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Assault,341,311,320,144,0,0,972,324,-6.2,-100,-100,-100,1100,1003.2,1032.3,0,1045.2
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Auto Theft,128,142,178,116,0,0,448,149.3,39.1,-100,-100,-100,412.9,458.1,574.2,0,481.6
