beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
23J50,23,2.12389492,Intercontinental Airport,0,Drug Offenses,23,23,22,27,36,68,22.7,-4.3,56.5,63.6,59,NA,NA,NA,NA,NA
1A10,1,1.74646692,Downtown Central Business District,17000,Drug Offenses,116,133,217,91,188,466,155.3,87.1,62.1,-13.4,21,682.4,782.4,1276.5,1105.9,913.5
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Drug Offenses,106,88,72,52,85,266,88.7,-32.1,-19.8,18.1,-4,392.6,325.9,266.7,314.8,328.5
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Drug Offenses,68,74,50,30,51,192,64,-26.5,-25,2,-20,251.9,274.1,185.2,188.9,237
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Drug Offenses,7,8,4,3,4,19,6.3,-42.9,-42.9,0,-37,100,114.3,57.1,57.1,90
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Drug Offenses,38,41,45,32,53,124,41.3,18.4,39.5,17.8,28,146.2,157.7,173.1,203.8,158.8
2A10,2,3.30928608,Irvington and Ryon,18000,Drug Offenses,220,157,124,74,126,501,167,-43.6,-42.7,1.6,-25,1222.2,872.2,688.9,700,927.8
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Drug Offenses,116,71,71,29,55,258,86,-38.8,-52.6,-22.5,-36,1054.5,645.5,645.5,500,781.8
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Drug Offenses,52,51,38,22,38,141,47,-26.9,-26.9,0,-19,167.7,164.5,122.6,122.6,151.6
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Drug Offenses,39,29,23,23,30,91,30.3,-41,-23.1,30.4,-1,487.5,362.5,287.5,375,378.8
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Drug Offenses,63,40,52,32,48,155,51.7,-17.5,-23.8,-7.7,-7,217.2,137.9,179.3,165.5,178.3
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Drug Offenses,32,28,34,28,44,94,31.3,6.2,37.5,29.4,41,152.4,133.3,161.9,209.5,149
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",34000,Drug Offenses,176,196,193,106,175,565,188.3,9.7,-0.6,-9.3,-7,517.6,576.5,567.6,514.7,553.8
3B30,3,5.310372,"White Oak Acres, Brook Hollow, Oak Forest, Garden Oaks and Shepherd Park Plaza",23000,Drug Offenses,35,37,35,24,40,107,35.7,0,14.3,14.3,12,152.2,160.9,152.2,173.9,155.2
3B40,3,3.40013561,"Independence Heights, Melrose and Graceland",13000,Drug Offenses,168,171,167,78,149,506,168.7,-0.6,-11.3,-10.8,-12,1292.3,1315.4,1284.6,1146.2,1297.7
3B50,3,3.85259517,"Northline Mall, Stratton Place, Oakwood, Colonial Gardens, Lindale and Junction City",20000,Drug Offenses,133,146,149,94,147,428,142.7,12,10.5,-1.3,3,665,730,745,735,713.5
5F10,5,3.25978513,Afton Village and Pine Terrace,14000,Drug Offenses,78,63,43,26,42,184,61.3,-44.9,-46.2,-2.3,-31,557.1,450,307.1,300,437.9
5F30,5,8.70689439,"Fairbanks, Carverdale, Fawndale and Northwest Crossing",17000,Drug Offenses,132,143,137,77,131,412,137.3,3.8,-0.8,-4.4,-5,776.5,841.2,805.9,770.6,807.6
6B10,6,5.50084827,"York Plaza, Pembrook Place and Hawthorne Place",33000,Drug Offenses,138,148,183,113,180,469,156.3,32.6,30.4,-1.6,15,418.2,448.5,554.5,545.5,473.6
6B20,6,6.12869477,"Highland Heights, Oakdale and Melrose Gardens",18000,Drug Offenses,141,119,141,58,109,401,133.7,0,-22.7,-22.7,-18,783.3,661.1,783.3,605.6,742.8
6B30,6,7.2300685,"Woodland Trails, Oaks of Inwood, Bayou Bend, Cole Creek Manor and Inwood Forest",38000,Drug Offenses,111,104,94,44,85,309,103,-15.3,-23.4,-9.6,-17,292.1,273.7,247.4,223.7,271.1
6B40,6,5.544689,"Highland Gardens, Highland Heights and North Plaza",20000,Drug Offenses,164,179,193,94,172,536,178.7,17.7,4.9,-10.9,-4,820,895,965,860,893.5
22B30,22,2.8264671,Aldine and Imperial Valley,19000,Drug Offenses,125,78,62,37,55,265,88.3,-50.4,-56,-11.3,-38,657.9,410.5,326.3,289.5,464.7
22B20,22,4.61158268,Greenspoint,24000,Drug Offenses,336,248,189,150,213,773,257.7,-43.8,-36.6,12.7,-17,1400,1033.3,787.5,887.5,1073.7
7C10,7,3.47828324,"Fifth Ward, North Park and Pinecrest",13000,Drug Offenses,125,79,122,86,134,326,108.7,-2.4,7.2,9.8,23,961.5,607.7,938.5,1030.8,836.2
7C20,7,7.08575157,"Huntington Place, Willshire Place, Kashmere Gardens and Liberty Gardens",21000,Drug Offenses,356,279,262,153,252,897,299,-26.4,-29.2,-3.8,-16,1695.2,1328.6,1247.6,1200,1423.8
7C30,7,4.51719841,"Camden Woods, Archers Acres and Croyden Gardens",18000,Drug Offenses,160,141,149,126,180,450,150,-6.9,12.5,20.8,20,888.9,783.3,827.8,1000,833.3
7C40,7,3.36786526,Keith-Weiss Park and Farrington Place,8000,Drug Offenses,61,45,38,26,38,144,48,-37.7,-37.7,0,-21,762.5,562.5,475,475,600
22B40,22,13.03325001,"Intercontinental Airport, Northwood, Lakeview Park and Glen Lee",11000,Drug Offenses,80,59,105,59,99,244,81.3,31.2,23.8,-5.7,22,727.3,536.4,954.5,900,739.1
8C10,8,3.69037316,"Tidwell Park, Shady Oak and Buckingham Place",12000,Drug Offenses,218,97,210,146,235,525,175,-3.7,7.8,11.9,34,1816.7,808.3,1750,1958.3,1458.3
8C20,8,3.36154214,"Houston Gardens, Rosewood and Homestead",7000,Drug Offenses,57,35,58,23,39,150,50,1.8,-31.6,-32.8,-22,814.3,500,828.6,557.1,714.3
8C30,8,4.6258259,"Parkhurst, East Houston and Clairmont Place",11000,Drug Offenses,68,40,72,33,56,180,60,5.9,-17.6,-22.2,-7,618.2,363.6,654.5,509.1,545.5
8C40,8,4.97945551,"Lake Houston, Greenriver, Knoll and Lake Forest",8000,Drug Offenses,26,10,27,8,24,63,21,3.8,-7.7,-11.1,14,325,125,337.5,300,262.5
8C50,8,3.31739498,"Park North, Forest Green, Kentshire Place, Glenwood Forest and Dorchester",8000,Drug Offenses,54,37,51,26,50,142,47.3,-5.6,-7.4,-2,6,675,462.5,637.5,625,591.2
8C60,8,5.79693312,"Edgeworth, Northwood Manor and Scenic Woods",19000,Drug Offenses,142,78,119,50,97,339,113,-16.2,-31.7,-18.5,-14,747.4,410.5,626.3,510.5,594.7
9C10,9,5.21185619,"Port of Houston, Clinton Park, Pleasantville and Fidelity Manor",6000,Drug Offenses,28,20,34,15,28,82,27.3,21.4,0,-17.6,3,466.7,333.3,566.7,466.7,455
9C20,9,7.5383173,Denver Harbor and Houston Harbor,16000,Drug Offenses,67,38,69,34,57,174,58,3,-14.9,-17.4,-2,418.8,237.5,431.3,356.2,362.5
9C30,9,8.13353768,"City Park East, Wynnewood Acres and Wallisville Gardens",9000,Drug Offenses,38,33,46,22,41,117,39,21.1,7.9,-10.9,5,422.2,366.7,511.1,455.6,433.3
9C40,9,10.42549456,"Greens Bayou Estates, Shady Brook, Northshore",23000,Drug Offenses,83,84,97,58,97,264,88,16.9,16.9,0,10,360.9,365.2,421.7,421.7,382.6
10H10,10,2.81830654,Oak Lawn and Ranger,11000,Drug Offenses,15,19,37,26,35,71,23.7,146.7,133.3,-5.4,48,136.4,172.7,336.4,318.2,215.5
10H20,10,1.75743169,Eastwood and Broadmoor,10000,Drug Offenses,23,20,12,18,20,55,18.3,-47.8,-13,66.7,9,230,200,120,200,183
10H30,10,1.02691154,Near East End,4000,Drug Offenses,35,17,16,14,17,68,22.7,-54.3,-51.4,6.2,-25,875,425,400,425,567.5
10H40,10,0.99627062,Midtown,8000,Drug Offenses,303,196,147,90,141,646,215.3,-51.5,-53.5,-4.1,-35,3787.5,2450,1837.5,1762.5,2691.3
10H50,10,2.30843079,the University of Houston area,13000,Drug Offenses,434,189,168,122,176,791,263.7,-61.3,-59.4,4.8,-33,3338.5,1453.8,1292.3,1353.8,2028.5
10H60,10,3.08931006,"University Oaks, Riverside Terrace and the Texas Southern University area",20000,Drug Offenses,131,93,56,48,64,280,93.3,-57.3,-51.1,14.3,-31,655,465,280,320,466.5
10H70,10,3.52217952,"Texas Medical Center, Hermann Park, Houston Zoo and Miller Outdoor Theatre",16000,Drug Offenses,48,37,51,37,56,136,45.3,6.2,16.7,9.8,24,300,231.2,318.8,350,283.1
10H80,10,2.73862779,"Southampton, Rice University area, Shadow Lawn and Broad Acres",19000,Drug Offenses,12,15,10,7,13,37,12.3,-16.7,8.3,30,6,63.2,78.9,52.6,68.4,64.7
11H10,11,5.31502815,"Mason Park, Forest Hill, Sunnyland and Central Park",28000,Drug Offenses,99,75,148,142,206,322,107.3,49.5,108.1,39.2,92,353.6,267.9,528.6,735.7,383.2
11H20,11,3.9311161,"Harrisburg, Manchester and Pecan Park",18000,Drug Offenses,56,37,66,42,64,159,53,17.9,14.3,-3,21,311.1,205.6,366.7,355.6,294.4
11H30,11,2.84278059,Meadow Brook and Park Place,15000,Drug Offenses,78,72,70,57,87,220,73.3,-10.3,11.5,24.3,19,520,480,466.7,580,488.7
11H40,11,6.14001938,Allendale and Oak Meadows,8000,Drug Offenses,6,15,16,10,17,37,12.3,166.7,183.3,6.2,38,75,187.5,200,212.5,153.8
11H50,11,2.09534157,"Meadow Creek, Ferndale Addition and Glenbrook Industrial",8000,Drug Offenses,11,24,25,18,24,60,20,127.3,118.2,-4,20,137.5,300,312.5,300,250
12D10,12,8.55384717,"Almeda Mall, Southridge, Edgebrook and South Houston Gardens",44000,Drug Offenses,115,178,221,151,233,514,171.3,92.2,102.6,5.4,36,261.4,404.5,502.3,529.5,389.3
12D20,12,3.83700574,Sage,22000,Drug Offenses,44,33,39,32,49,116,38.7,-11.4,11.4,25.6,27,200,150,177.3,222.7,175.9
12D30,12,3.99301158,Gulf Palms and Beamer,15000,Drug Offenses,39,26,21,12,19,86,28.7,-46.2,-51.3,-9.5,-34,260,173.3,140,126.7,191.3
12D40,12,9.68663455,Scarsdale and Ellington Field,11000,Drug Offenses,29,29,26,13,25,84,28,-10.3,-13.8,-3.8,-11,263.6,263.6,236.4,227.3,254.5
12D50,12,8.93327581,"Bay Glen, Bay Oaks, Brook Forest and Bay Forest",26000,Drug Offenses,6,8,6,1,3,20,6.7,0,-50,-50,-55,23.1,30.8,23.1,11.5,25.8
12D60,12,6.35832041,"NASA's Johnson Space Center, Meadow Green, Oakbrook West and Camino South",22000,Drug Offenses,10,20,19,3,16,49,16.3,90,60,-15.8,-2,45.5,90.9,86.4,72.7,74.1
12D70,12,5.39156317,Baybrook Mall and Sterling Knoll,12000,Drug Offenses,27,17,26,18,29,70,23.3,-3.7,7.4,11.5,24,225,141.7,216.7,241.7,194.2
