timeframe,total
Afternoon from 12 p.m. to 5 p.m.,4358
Evening from 5 p.m. to 11 p.m.,3383
Morning from 5 a.m. to 12 p.m.,1152
Overnight from 11 p.m. to 5 a.m.,386
