beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
8C20,8,3.36154214,"Houston Gardens, Rosewood and Homestead",7000,Assault,363,409,403,220,337,1175,391.7,11,-7.2,-16.4,-14,5185.7,5842.9,5757.1,4814.3,5595.7
8C30,8,4.6258259,"Parkhurst, East Houston and Clairmont Place",11000,Assault,501,626,554,351,516,1681,560.3,10.6,3,-6.9,-8,4554.5,5690.9,5036.4,4690.9,5093.6
8C40,8,4.97945551,"Lake Houston, Greenriver, Knoll and Lake Forest",8000,Assault,229,234,235,136,202,698,232.7,2.6,-11.8,-14,-13,2862.5,2925,2937.5,2525,2908.8
8C50,8,3.31739498,"Park North, Forest Green, Kentshire Place, Glenwood Forest and Dorchester",8000,Assault,564,612,571,317,477,1747,582.3,1.2,-15.4,-16.5,-18,7050,7650,7137.5,5962.5,7278.7
8C60,8,5.79693312,"Edgeworth, Northwood Manor and Scenic Woods",19000,Assault,792,926,720,456,678,2438,812.7,-9.1,-14.4,-5.8,-17,4168.4,4873.7,3789.5,3568.4,4277.4
9C10,9,5.21185619,"Port of Houston, Clinton Park, Pleasantville and Fidelity Manor",6000,Assault,215,272,220,125,187,707,235.7,2.3,-13,-15,-21,3583.3,4533.3,3666.7,3116.7,3928.3
9C20,9,7.5383173,Denver Harbor and Houston Harbor,16000,Assault,470,519,499,309,471,1488,496,6.2,0.2,-5.6,-5,2937.5,3243.8,3118.8,2943.8,3100
9C30,9,8.13353768,"City Park East, Wynnewood Acres and Wallisville Gardens",9000,Assault,265,320,326,216,311,911,303.7,23,17.4,-4.6,2,2944.4,3555.6,3622.2,3455.6,3374.4
9C40,9,10.42549456,"Greens Bayou Estates, Shady Brook, Northshore",23000,Assault,821,890,824,466,744,2535,845,0.4,-9.4,-9.7,-12,3569.6,3869.6,3582.6,3234.8,3673.9
10H10,10,2.81830654,Oak Lawn and Ranger,11000,Assault,363,307,319,215,324,989,329.7,-12.1,-10.7,1.6,-2,3300,2790.9,2900,2945.5,2997.3
10H20,10,1.75743169,Eastwood and Broadmoor,10000,Assault,226,261,270,214,301,757,252.3,19.5,33.2,11.5,19,2260,2610,2700,3010,2523
10H30,10,1.02691154,Near East End,4000,Assault,162,190,204,142,214,556,185.3,25.9,32.1,4.9,15,4050,4750,5100,5350,4632.5
10H40,10,0.99627062,Midtown,8000,Assault,677,609,580,409,606,1866,622,-14.3,-10.5,4.5,-3,8462.5,7612.5,7250,7575,7775
10H50,10,2.30843079,the University of Houston area,13000,Assault,838,800,729,494,736,2367,789,-13,-12.2,1,-7,6446.2,6153.8,5607.7,5661.5,6069.2
10H60,10,3.08931006,"University Oaks, Riverside Terrace and the Texas Southern University area",20000,Assault,572,643,621,479,688,1836,612,8.6,20.3,10.8,12,2860,3215,3105,3440,3060
10H70,10,3.52217952,"Texas Medical Center, Hermann Park, Houston Zoo and Miller Outdoor Theatre",16000,Assault,469,512,548,325,505,1529,509.7,16.8,7.7,-7.8,-1,2931.2,3200,3425,3156.2,3185.6
10H80,10,2.73862779,"Southampton, Rice University area, Shadow Lawn and Broad Acres",19000,Assault,115,136,128,96,147,379,126.3,11.3,27.8,14.8,16,605.3,715.8,673.7,773.7,664.7
11H10,11,5.31502815,"Mason Park, Forest Hill, Sunnyland and Central Park",28000,Assault,895,1103,929,677,1003,2927,975.7,3.8,12.1,8,3,3196.4,3939.3,3317.9,3582.1,3484.6
11H20,11,3.9311161,"Harrisburg, Manchester and Pecan Park",18000,Assault,455,511,535,331,505,1501,500.3,17.6,11,-5.6,1,2527.8,2838.9,2972.2,2805.6,2779.4
11H30,11,2.84278059,Meadow Brook and Park Place,15000,Assault,449,566,533,377,563,1548,516,18.7,25.4,5.6,9,2993.3,3773.3,3553.3,3753.3,3440
11H40,11,6.14001938,Allendale and Oak Meadows,8000,Assault,134,200,150,100,152,484,161.3,11.9,13.4,1.3,-6,1675,2500,1875,1900,2016.2
11H50,11,2.09534157,"Meadow Creek, Ferndale Addition and Glenbrook Industrial",8000,Assault,153,210,223,143,209,586,195.3,45.8,36.6,-6.3,7,1912.5,2625,2787.5,2612.5,2441.2
12D10,12,8.55384717,"Almeda Mall, Southridge, Edgebrook and South Houston Gardens",44000,Assault,1166,1553,1713,1067,1702,4432,1477.3,46.9,46,-0.6,15,2650,3529.5,3893.2,3868.2,3357.5
12D20,12,3.83700574,Sage,22000,Assault,410,527,498,320,488,1435,478.3,21.5,19,-2,2,1863.6,2395.5,2263.6,2218.2,2174.1
12D30,12,3.99301158,Gulf Palms and Beamer,15000,Assault,245,278,269,165,249,792,264,9.8,1.6,-7.4,-6,1633.3,1853.3,1793.3,1660,1760
12D40,12,9.68663455,Scarsdale and Ellington Field,11000,Assault,265,315,352,197,310,932,310.7,32.8,17,-11.9,-0,2409.1,2863.6,3200,2818.2,2824.5
12D50,12,8.93327581,"Bay Glen, Bay Oaks, Brook Forest and Bay Forest",26000,Assault,119,127,142,91,129,388,129.3,19.3,8.4,-9.2,-0,457.7,488.5,546.2,496.2,497.3
12D60,12,6.35832041,"NASA's Johnson Space Center, Meadow Green, Oakbrook West and Camino South",22000,Assault,230,362,367,187,310,959,319.7,59.6,34.8,-15.5,-3,1045.5,1645.5,1668.2,1409.1,1453.2
12D70,12,5.39156317,Baybrook Mall and Sterling Knoll,12000,Assault,254,313,304,216,307,871,290.3,19.7,20.9,1,6,2116.7,2608.3,2533.3,2558.3,2419.2
13D10,13,5.2433708,"Gulfgate Mall, Bay Forest, Riverview, Hampshire, Golfcrest and Barnett Stadium",23000,Assault,632,735,660,489,720,2027,675.7,4.4,13.9,9.1,7,2747.8,3195.7,2869.6,3130.4,2937.8
13D20,13,6.66870859,"Fairlawn, Garden Villas, Glenbrook Valley and Santa Rosa",36000,Assault,1173,1252,1012,761,1088,3437,1145.7,-13.7,-7.2,7.5,-5,3258.3,3477.8,2811.1,3022.2,3182.5
13D30,13,3.07402543,"Allen Farms, Airport Gardens and the Hobby Airport area",2000,Assault,49,52,56,30,47,157,52.3,14.3,-4.1,-16.1,-10,2450,2600,2800,2350,2615
13D40,13,5.0688163,"Val Verde East, Gulf Meadows and Houston Skyscraper Shadows",13000,Assault,185,227,204,153,216,616,205.3,10.3,16.8,5.9,5,1423.1,1746.2,1569.2,1661.5,1579.2
14D10,14,3.66057918,McGregor Terrace and Riverside Terrace,17000,Assault,1140,1209,1040,665,1003,3389,1129.7,-8.8,-12,-3.6,-11,6705.9,7111.8,6117.6,5900,6645.3
14D20,14,7.25646368,"Blueridge, Sunnyside, Brook Haven and Bayou Estates",28000,Assault,1828,2056,1856,1204,1744,5740,1913.3,1.5,-4.6,-6,-9,6528.6,7342.9,6628.6,6228.6,6833.2
14D30,14,4.20537595,"Crestmont, Edgewood, Bellfort Park, Inwood Terrace and Southpark",21000,Assault,883,946,876,560,818,2705,901.7,-0.8,-7.4,-6.6,-9,4204.8,4504.8,4171.4,3895.2,4293.8
14D40,14,6.61224595,"South Acres, Shamrock Manor, Hillwood and Cloverland",21000,Assault,715,777,766,511,762,2258,752.7,7.1,6.6,-0.5,1,3404.8,3700,3647.6,3628.6,3584.3
14D50,14,8.69627992,"Golden Glade Estates, Langston and Almeda Genoa",9000,Assault,209,294,299,227,320,802,267.3,43.1,53.1,7,20,2322.2,3266.7,3322.2,3555.6,2970
15E10,15,4.34996776,"Meyerland Plaza, Robindell, Meyerland, Braeburn Terrace and Maplewood South",24000,Assault,395,440,487,273,429,1322,440.7,23.3,8.6,-11.9,-3,1645.8,1833.3,2029.2,1787.5,1836.2
15E20,15,3.58384499,"Westbury, Park West and Willow Creek",18000,Assault,312,350,300,190,274,962,320.7,-3.8,-12.2,-8.7,-15,1733.3,1944.4,1666.7,1522.2,1781.7
15E30,15,6.29133294,"Meyer Park, Post Oak Manor, Westwood, Willow Bend and Linkwood",34000,Assault,475,542,523,348,494,1540,513.3,10.1,4,-5.5,-4,1397.1,1594.1,1538.2,1452.9,1509.7
15E40,15,10.0079174,"The Astrodome, Six Flags Astroworld, Lakes at 610 and Plaza del Oro",30000,Assault,1027,1103,1210,836,1216,3340,1113.3,17.8,18.4,0.5,9,3423.3,3676.7,4033.3,4053.3,3711
16E10,16,5.38940818,Canterbury Village and Monarch Estates,15000,Assault,265,293,250,210,292,808,269.3,-5.7,10.2,16.8,8,1766.7,1953.3,1666.7,1946.7,1795.3
16E20,16,8.15202134,"Almeda Plaza, South Glen, Dumbarton Oaks and Briarwick",35000,Assault,748,890,900,593,880,2538,846,20.3,17.6,-2.2,4,2137.1,2542.9,2571.4,2514.3,2417.1
16E30,16,7.00932789,"Greenpark, Southwest Crossing and Windsor Village",22000,Assault,545,574,553,399,593,1672,557.3,1.5,8.8,7.2,6,2477.3,2609.1,2513.6,2695.5,2533.2
16E40,16,7.49721482,"Chasewood, Willowpark, Briarwick, Ridgemont and Quail Run",35000,Assault,749,821,773,459,692,2343,781,3.2,-7.6,-10.5,-11,2140,2345.7,2208.6,1977.1,2231.4
17E10,17,3.3104034,"Southwest Memorial Hospital, Burnett Bayland Park and Westmoreland",51000,Assault,1287,1512,1542,968,1454,4341,1447,19.8,13,-5.7,0,2523.5,2964.7,3023.5,2851,2837.3
17E20,17,3.92767309,the Houston Baptist University area and Maplewood West,27000,Assault,552,687,653,428,653,1892,630.7,18.3,18.3,0,4,2044.4,2544.4,2418.5,2418.5,2335.9
17E30,17,3.8060455,Braeburn Valley West and Glenshire,21000,Assault,658,810,626,429,629,2094,698,-4.9,-4.4,0.5,-10,3133.3,3857.1,2981,2995.2,3323.8
17E40,17,4.70920035,"Creekbend, Southwood and Fondren Southwest",46000,Assault,1575,1745,1660,1063,1583,4980,1660,5.4,0.5,-4.6,-5,3423.9,3793.5,3608.7,3441.3,3608.7
18F10,18,1.95881352,"Saddlebrook, Bayou Woods and Sherwood Forest",7000,Assault,84,75,97,85,120,256,85.3,15.5,42.9,23.7,41,1200,1071.4,1385.7,1714.3,1218.6
18F20,18,3.51641691,"The Galleria, Tanglewood, Riverway and Post Oak",24000,Assault,516,463,550,445,639,1529,509.7,6.6,23.8,16.2,25,2150,1929.2,2291.7,2662.5,2123.8
18F30,18,3.80008564,"The Richmond Strip, Briargrove, Post Oak Estates and Westhaven",36000,Assault,785,952,913,589,869,2650,883.3,16.3,10.7,-4.8,-2,2180.6,2644.4,2536.1,2413.9,2453.6
18F40,18,2.9060249,"Rosewood General Hospital, Woodlake and Briarmeadow",35000,Assault,975,1137,1176,863,1255,3288,1096,20.6,28.7,6.7,15,2785.7,3248.6,3360,3585.7,3131.4
18F50,18,2.96939217,"Tanglewild, Sharpstown Mall and Regency Square",20000,Assault,687,770,895,614,913,2352,784,30.3,32.9,2,16,3435,3850,4475,4565,3920
18F60,18,3.62528697,Sharpstown Country Club and Southway Center,28000,Assault,510,646,637,356,558,1793,597.7,24.9,9.4,-12.4,-7,1821.4,2307.1,2275,1992.9,2134.6
19G10,19,2.74020376,Concourse South and Westwood Mall,31000,Assault,1223,1299,1308,859,1338,3830,1276.7,7,9.4,2.3,5,3945.2,4190.3,4219.4,4316.1,4118.4
