beat,district,area_sq_mi,placename,population,type,total19,total20,total21,total22,NA,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
23J40,23,3.03933481,Intercontinental Airport,0,Violent,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
23J50,23,2.12389492,Intercontinental Airport,0,Violent,20,18,23,15,0,0,61,20.3,15,-100,-100,-100,NA,NA,NA,NA,NA
1A10,1,1.74646692,Downtown Central Business District,17000,Violent,851,596,697,333,0,0,2144,714.7,-18.1,-100,-100,-100,5005.9,3505.9,4100,0,4204.1
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Violent,647,573,704,356,0,0,1924,641.3,8.8,-100,-100,-100,2396.3,2122.2,2607.4,0,2375.2
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Violent,388,361,302,153,0,0,1051,350.3,-22.2,-100,-100,-100,1437,1337,1118.5,0,1297.4
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Violent,30,23,34,16,0,0,87,29,13.3,-100,-100,-100,428.6,328.6,485.7,0,414.3
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Violent,284,335,363,166,0,0,982,327.3,27.8,-100,-100,-100,1092.3,1288.5,1396.2,0,1258.8
2A10,2,3.30928608,Irvington and Ryon,18000,Violent,743,702,579,276,0,0,2024,674.7,-22.1,-100,-100,-100,4127.8,3900,3216.7,0,3748.3
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Violent,286,309,233,105,0,0,828,276,-18.5,-100,-100,-100,2600,2809.1,2118.2,0,2509.1
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Violent,281,243,232,117,0,0,756,252,-17.4,-100,-100,-100,906.5,783.9,748.4,0,812.9
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Violent,121,126,128,70,0,0,375,125,5.8,-100,-100,-100,1512.5,1575,1600,0,1562.5
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Violent,354,307,413,165,0,0,1074,358,16.7,-100,-100,-100,1220.7,1058.6,1424.1,0,1234.5
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Violent,212,206,241,118,0,0,659,219.7,13.7,-100,-100,-100,1009.5,981,1147.6,0,1046.2
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",34000,Violent,957,1055,1016,508,0,0,3028,1009.3,6.2,-100,-100,-100,2814.7,3102.9,2988.2,0,2968.5
3B30,3,5.310372,"White Oak Acres, Brook Hollow, Oak Forest, Garden Oaks and Shepherd Park Plaza",23000,Violent,221,230,227,111,0,0,678,226,2.7,-100,-100,-100,960.9,1000,987,0,982.6
3B40,3,3.40013561,"Independence Heights, Melrose and Graceland",13000,Violent,651,659,619,252,0,0,1929,643,-4.9,-100,-100,-100,5007.7,5069.2,4761.5,0,4946.2
3B50,3,3.85259517,"Northline Mall, Stratton Place, Oakwood, Colonial Gardens, Lindale and Junction City",20000,Violent,790,782,732,343,0,0,2304,768,-7.3,-100,-100,-100,3950,3910,3660,0,3840
5F10,5,3.25978513,Afton Village and Pine Terrace,14000,Violent,292,248,287,148,0,0,827,275.7,-1.7,-100,-100,-100,2085.7,1771.4,2050,0,1969.3
5F30,5,8.70689439,"Fairbanks, Carverdale, Fawndale and Northwest Crossing",17000,Violent,686,719,737,328,0,0,2142,714,7.4,-100,-100,-100,4035.3,4229.4,4335.3,0,4200
6B10,6,5.50084827,"York Plaza, Pembrook Place and Hawthorne Place",33000,Violent,919,1001,1002,405,0,0,2922,974,9,-100,-100,-100,2784.8,3033.3,3036.4,0,2951.5
6B20,6,6.12869477,"Highland Heights, Oakdale and Melrose Gardens",18000,Violent,783,822,669,301,0,0,2274,758,-14.6,-100,-100,-100,4350,4566.7,3716.7,0,4211.1
6B30,6,7.2300685,"Woodland Trails, Oaks of Inwood, Bayou Bend, Cole Creek Manor and Inwood Forest",38000,Violent,1026,1071,887,406,0,0,2984,994.7,-13.5,-100,-100,-100,2700,2818.4,2334.2,0,2617.6
6B40,6,5.544689,"Highland Gardens, Highland Heights and North Plaza",20000,Violent,914,1025,852,357,0,0,2791,930.3,-6.8,-100,-100,-100,4570,5125,4260,0,4651.5
22B30,22,2.8264671,Aldine and Imperial Valley,19000,Violent,713,640,647,325,0,0,2000,666.7,-9.3,-100,-100,-100,3752.6,3368.4,3405.3,0,3508.9
22B20,22,4.61158268,Greenspoint,24000,Violent,1488,1580,1388,627,0,0,4456,1485.3,-6.7,-100,-100,-100,6200,6583.3,5783.3,0,6188.8
7C10,7,3.47828324,"Fifth Ward, North Park and Pinecrest",13000,Violent,647,674,563,293,0,0,1884,628,-13,-100,-100,-100,4976.9,5184.6,4330.8,0,4830.8
7C20,7,7.08575157,"Huntington Place, Willshire Place, Kashmere Gardens and Liberty Gardens",21000,Violent,1437,1363,1250,606,0,0,4050,1350,-13,-100,-100,-100,6842.9,6490.5,5952.4,0,6428.6
7C30,7,4.51719841,"Camden Woods, Archers Acres and Croyden Gardens",18000,Violent,697,770,800,315,0,0,2267,755.7,14.8,-100,-100,-100,3872.2,4277.8,4444.4,0,4198.3
7C40,7,3.36786526,Keith-Weiss Park and Farrington Place,8000,Violent,246,225,219,106,0,0,690,230,-11,-100,-100,-100,3075,2812.5,2737.5,0,2875
22B40,22,13.03325001,"Intercontinental Airport, Northwood, Lakeview Park and Glen Lee",11000,Violent,373,385,490,237,0,0,1248,416,31.4,-100,-100,-100,3390.9,3500,4454.5,0,3781.8
8C10,8,3.69037316,"Tidwell Park, Shady Oak and Buckingham Place",12000,Violent,761,817,711,376,0,0,2289,763,-6.6,-100,-100,-100,6341.7,6808.3,5925,0,6358.3
8C20,8,3.36154214,"Houston Gardens, Rosewood and Homestead",7000,Violent,281,312,297,121,0,0,890,296.7,5.7,-100,-100,-100,4014.3,4457.1,4242.9,0,4238.6
8C30,8,4.6258259,"Parkhurst, East Houston and Clairmont Place",11000,Violent,378,499,419,174,0,0,1296,432,10.8,-100,-100,-100,3436.4,4536.4,3809.1,0,3927.3
8C40,8,4.97945551,"Lake Houston, Greenriver, Knoll and Lake Forest",8000,Violent,176,202,175,80,0,0,553,184.3,-0.6,-100,-100,-100,2200,2525,2187.5,0,2303.8
8C50,8,3.31739498,"Park North, Forest Green, Kentshire Place, Glenwood Forest and Dorchester",8000,Violent,443,475,430,166,0,0,1348,449.3,-2.9,-100,-100,-100,5537.5,5937.5,5375,0,5616.2
8C60,8,5.79693312,"Edgeworth, Northwood Manor and Scenic Woods",19000,Violent,639,713,545,264,0,0,1897,632.3,-14.7,-100,-100,-100,3363.2,3752.6,2868.4,0,3327.9
9C10,9,5.21185619,"Port of Houston, Clinton Park, Pleasantville and Fidelity Manor",6000,Violent,180,216,171,66,0,0,567,189,-5,-100,-100,-100,3000,3600,2850,0,3150
9C20,9,7.5383173,Denver Harbor and Houston Harbor,16000,Violent,402,447,348,185,0,0,1197,399,-13.4,-100,-100,-100,2512.5,2793.8,2175,0,2493.8
9C30,9,8.13353768,"City Park East, Wynnewood Acres and Wallisville Gardens",9000,Violent,222,293,278,124,0,0,793,264.3,25.2,-100,-100,-100,2466.7,3255.6,3088.9,0,2936.7
