Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2015-10-03T00:00:00Z,04,Aggravated Assault,10H10,"Road, Street, or Sidewalk",500-599,ESTELLE,ST,N,1
2015-10-05T00:00:00Z,09,Robbery,10H10,Bus Stop,100-199,LOCKWOOD,DR,-,1
2015-10-08T00:00:00Z,07,Auto Theft,10H10,Apartment Parking Lot,2100-2199,CANAL,ST,-,1
2015-10-29T00:00:00Z,18,Theft,10H10,Warehouse,3400-3499,NAVIGATION,-,-,1
2015-07-21T00:00:00Z,01,Rape,10H10,,3400-3499,NAVIGATION,-,-,1
2015-10-04T00:00:00Z,15,Robbery,10H10,"Road, Street, or Sidewalk",2600-2699,KENNEDY,-,-,1
2015-10-16T00:00:00Z,13,Burglary,10H10,Apartment,1900-1999,RUNNELS,-,-,1
2015-10-29T00:00:00Z,12,Burglary,10H10,Vacant Building (Commercial),100-199,HUTCHESON,-,-,1
2015-10-05T00:00:00Z,17,Theft,10H10,Office Building,200-299,NORWOOD,ST,N,1
2015-10-13T00:00:00Z,22,Aggravated Assault,10H10,"Multi-Plex Home (Duplex,Triplex Etc.)",200-299,STILES,-,-,2
2015-10-15T00:00:00Z,12,Theft,10H10,"Road, Street, or Sidewalk",5400-5499,LINDSAY,LN,-,1
2015-10-22T00:00:00Z,18,Theft,10H10,Convenience Store,4700-4799,HARRISBURG,-,-,1
2015-10-27T00:00:00Z,17,Burglary,10H10,Apartment,200-299,CAYLOR,-,-,1
2015-10-04T00:00:00Z,12,Theft,10H10,,1900-1999,RUNNELS,-,-,1
2015-10-06T00:00:00Z,22,Theft,10H10,"Road, Street, or Sidewalk",3000-3099,CANAL,ST,-,1
2015-10-07T00:00:00Z,19,Theft,10H10,Other Parking Lot,800-899,YORK,-,N,1
2015-10-22T00:00:00Z,00,Robbery,10H10,"Road, Street, or Sidewalk",4500-4599,HARRISBURG,-,-,1
2015-10-30T00:00:00Z,16,Burglary,10H10,Residence or House,300-399,BURR,-,-,1
2015-10-08T00:00:00Z,08,Auto Theft,10H10,Apartment Parking Lot,2100-2199,CANAL,ST,-,1
2015-10-10T00:00:00Z,14,Theft,10H10,Residence or House,UNK,CAYLOR,-,-,1
2015-10-16T00:00:00Z,05,Theft,10H10,Construction Site,4400-4499,HARRISBURG,-,-,1
2015-10-19T00:00:00Z,12,Burglary,10H10,Apartment,1900-1999,RUNNELS,-,-,1
2015-10-20T00:00:00Z,23,Robbery,10H10,"Road, Street, or Sidewalk",500-599,LOCKWOOD,DR,S,1
2015-10-23T00:00:00Z,17,Burglary,10H10,Residence or House,4500-4599,CANAL,ST,-,1
2015-10-27T00:00:00Z,00,Robbery,10H10,"Road, Street, or Sidewalk",2500-2599,ENGELKE,-,-,1
2015-10-03T00:00:00Z,07,Aggravated Assault,10H10,"Road, Street, or Sidewalk",3800-3899,NAVIGATION,-,-,1
2015-10-07T00:00:00Z,09,Theft,10H10,Commercial Parking Lot or Garage,3400-3499,NAVIGATION,-,-,1
2015-10-15T00:00:00Z,10,Theft,10H10,Government or Public Building,5100-5199,HARRISBURG,-,-,1
2015-10-20T00:00:00Z,06,Theft,10H10,"Road, Street, or Sidewalk",3000-3099,CANAL,ST,-,1
2015-10-23T00:00:00Z,15,Theft,10H10,Bar or Night Club Parking Lot,3100-3199,BERING,-,-,1
2015-09-11T00:00:00Z,14,Theft,10H10,Apartment,2100-2199,RUNNELS,-,-,1
2015-09-29T00:00:00Z,19,Theft,10H10,Bank,2900-2999,CANAL,ST,-,1
2015-10-02T00:00:00Z,02,Aggravated Assault,10H10,Bar or Night Club Parking Lot,3900-3999,CANAL,ST,-,2
2015-10-08T00:00:00Z,16,Theft,10H10,Restaurant or Cafeteria Parking Lot,2800-2899,NAVIGATION,-,-,1
2015-10-08T00:00:00Z,21,Robbery,10H10,"Road, Street, or Sidewalk",300-399,STILES,ST,N,1
2015-10-11T00:00:00Z,09,Burglary,10H10,Bar or Night Club,3500-3599,HARRISBURG,-,-,1
2015-10-12T00:00:00Z,07,Burglary,10H10,Auto Repair,5900-5999,HARRISBURG,-,-,1
2015-10-28T00:00:00Z,12,Burglary,10H10,Residence or House,300-399,HUNT,-,-,1
2015-10-06T00:00:00Z,23,Theft,10H10,Miscellaneous Business (Non-Specific),200-299,ADAMS,ST,-,1
2015-10-16T00:00:00Z,22,Theft,10H10,Driveway,4400-4499,GARROW,-,-,1
2015-10-07T00:00:00Z,06,Theft,10H20,Apartment,1400-1499,TELEPHONE,-,-,1
2015-10-23T00:00:00Z,11,Theft,10H20,Bus Stop,1200-1299,MUNGER,ST,-,1
2015-10-15T00:00:00Z,15,Robbery,10H20,Car Wash,1400-1499,ERNESTINE,ST,-,1
2015-10-01T00:00:00Z,09,Theft,10H20,Residence or House,5000-5099,RUSK,ST,-,1
2015-10-26T00:00:00Z,01,Auto Theft,10H20,"Road, Street, or Sidewalk",5200-5299,MULFORD,-,-,1
2015-10-20T00:00:00Z,11,Theft,10H20,Construction Site,1300-1399,HUSSION,-,-,1
2015-10-21T00:00:00Z,20,Robbery,10H20,Apartment,1500-1599,LOMBARDY,ST,-,1
2015-10-09T00:00:00Z,08,Theft,10H20,"Other, Unknown, or Not Listed",1100-1199,TELEPHONE,RD,-,1
2015-10-01T00:00:00Z,18,Aggravated Assault,10H20,"Road, Street, or Sidewalk",5100-5199,LAWNDALE,-,-,1
2015-10-20T00:00:00Z,06,Burglary,10H20,Residence or House,1400-1499,GODWIN,-,-,1
2015-10-12T00:00:00Z,18,Theft,10H20,Residence or House,4100-4199,RUSK,ST,-,1
2015-07-01T00:00:00Z,12,Theft,10H20,"Other, Unknown, or Not Listed",5300-5399,LEELAND,-,-,1
2015-10-04T00:00:00Z,19,Auto Theft,10H20,"Road, Street, or Sidewalk",4300-4399,BELL,ST,-,1
2015-10-26T00:00:00Z,02,Theft,10H20,Construction Site,1300-1399,HUSSION,-,-,1
2015-10-28T00:00:00Z,13,Theft,10H20,"Parks and Recreation, Zoo, Swimming Pool",1200-1299,DIEZ,-,-,1
2015-10-11T00:00:00Z,11,Theft,10H20,Residence or House,5200-5299,MULFORD,-,-,1
2015-10-03T00:00:00Z,22,Robbery,10H20,"Road, Street, or Sidewalk",4400-4499,LEELAND,-,-,1
2015-10-01T00:00:00Z,10,Aggravated Assault,10H20,"Road, Street, or Sidewalk",5200-5299,CLAREMONT,ST,-,2
2015-10-02T00:00:00Z,12,Theft,10H20,Restaurant or Cafeteria Parking Lot,2100-2199,TELEPHONE,-,-,1
2015-10-06T00:00:00Z,21,Auto Theft,10H20,,1700-1799,DUMBLE,ST,-,1
2015-10-29T00:00:00Z,18,Aggravated Assault,10H20,Residence or House,5100-5199,WALKER,ST,-,2
2015-10-14T00:00:00Z,13,Theft,10H20,Restaurant or Cafeteria Parking Lot,2100-2199,TELEPHONE,-,-,1
2015-01-13T00:00:00Z,16,Aggravated Assault,10H20,Residence or House,1400-1499,SCHARPE,-,-,1
2015-10-03T00:00:00Z,00,Theft,10H30,Strip Business Center Parking Lot,2100-2199,MCKINNEY,ST,-,1
2015-10-04T00:00:00Z,14,Theft,10H30,Residence or House,500-599,BASTROP,ST,-,1
2015-10-14T00:00:00Z,00,Theft,10H30,Other Parking Lot,800-899,SAINT EMANUEL,ST,-,1
2015-10-10T00:00:00Z,15,Theft,10H30,"Stadium, Sports Arena, Race Track",2200-2299,TEXAS,ST,-,1
2015-10-15T00:00:00Z,19,Burglary,10H30,Residence or House,1600-1699,DELANO,-,-,1
2015-10-21T00:00:00Z,10,Theft,10H30,Miscellaneous Business (Non-Specific),1100-1199,DOWLING,ST,-,1
2015-10-27T00:00:00Z,20,Theft,10H30,Other Parking Lot,2900-2999,GULF,FWY,-,1
2015-10-31T00:00:00Z,11,Theft,10H30,Restaurant or Cafeteria Parking Lot,2100-2199,DALLAS,ST,-,1
2015-10-07T00:00:00Z,14,Theft,10H30,"Road, Street, or Sidewalk",2000-2099,LAMAR,-,-,1
2015-10-10T00:00:00Z,22,Robbery,10H30,"Road, Street, or Sidewalk",700-799,LIVE OAK,-,-,1
2015-10-13T00:00:00Z,18,Theft,10H30,"Road, Street, or Sidewalk",1700-1799,ENNIS,ST,-,1
2015-10-22T00:00:00Z,15,Theft,10H30,"Road, Street, or Sidewalk",2400-2499,LAMAR,-,-,1
2015-10-23T00:00:00Z,02,Theft,10H30,Bar or Night Club Parking Lot,2000-2099,WALKER,ST,-,1
2015-10-28T00:00:00Z,00,Theft,10H30,"Road, Street, or Sidewalk",2900-2999,BELL,ST,-,1
2015-10-29T00:00:00Z,03,Burglary,10H30,Bar or Night Club,1500-1599,HUTCHINS,-,-,1
2015-10-29T00:00:00Z,22,Theft,10H30,Bar or Night Club Parking Lot,1500-1599,HUTCHINS,-,-,1
2015-10-09T00:00:00Z,23,Robbery,10H30,Apartment Parking Lot,2300-2399,MCKINNEY,ST,-,1
2015-10-10T00:00:00Z,03,Theft,10H30,"Road, Street, or Sidewalk",2000-2099,BELL,ST,-,1
2015-10-10T00:00:00Z,10,Theft,10H30,Bar or Night Club,2000-2099,LEELAND,-,-,1
2015-10-10T00:00:00Z,12,Theft,10H30,Construction Site,1700-1799,LIVE OAK,-,-,1
2015-10-22T00:00:00Z,23,Theft,10H30,Restaurant or Cafeteria Parking Lot,800-899,SAINT EMANUEL,ST,-,1
2015-10-21T00:00:00Z,21,Theft,10H30,"Road, Street, or Sidewalk",1100-1199,HUTCHINS,-,-,1
2015-10-23T00:00:00Z,20,Theft,10H30,Grocery Store or Supermarket Parking Lot,1000-1099,SAINT EMANUEL,ST,-,1
2015-10-15T00:00:00Z,16,Burglary,10H30,Residence or House,1200-1299,DELANO,-,-,1
2015-10-14T00:00:00Z,23,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,LAMAR,-,-,1
2015-10-14T00:00:00Z,23,Theft,10H30,Other Parking Lot,800-899,SAINT EMANUEL,ST,-,1
2015-10-30T00:00:00Z,11,Burglary,10H30,Bar or Night Club,2000-2099,WALKER,ST,-,1
2015-10-14T00:00:00Z,14,Theft,10H30,Rental Storage Facility,1700-1799,ENNIS,ST,-,1
2015-10-02T00:00:00Z,20,Theft,10H30,Apartment Parking Lot,1300-1399,DOWLING,ST,-,1
2015-10-29T00:00:00Z,22,Theft,10H30,"Road, Street, or Sidewalk",2300-2399,MCKINNEY,ST,-,1
2015-10-22T00:00:00Z,01,Theft,10H30,Other Parking Lot,800-899,SAINT EMANUEL,ST,-,1
2015-10-05T00:00:00Z,23,Theft,10H30,Other Parking Lot,800-899,SAINT EMANUEL,ST,-,1
2015-06-15T00:00:00Z,22,Theft,10H30,Residence or House,2500-2599,RUSK,ST,-,1
2015-10-12T00:00:00Z,18,Theft,10H30,Bar or Night Club,800-899,SAINT EMANUEL,ST,-,1
2015-10-13T00:00:00Z,10,Theft,10H30,"Road, Street, or Sidewalk",1600-1699,ENNIS,ST,-,1
