Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2015-05-25T00:00:00Z,04,Robbery,10H20,"Road, Street, or Sidewalk",4800-4899,RUSK,ST,-,1
2015-05-13T00:00:00Z,18,Theft,10H20,Grocery Store or Supermarket,4000-4099,POLK,-,-,1
2015-05-14T00:00:00Z,04,Auto Theft,10H20,"Road, Street, or Sidewalk",1600-1699,MARLIN,ST,-,1
2015-05-11T00:00:00Z,14,Theft,10H20,"Other, Unknown, or Not Listed",UNK,WALKER AVE,-,-,1
2015-04-05T00:00:00Z,20,1,10H20,"Road, Street, or Sidewalk",4900-4999,MCKINNEY,ST,-,1
2015-05-05T00:00:00Z,23,Robbery,10H20,Apartment Parking Lot,5300-5399,POLK,-,-,1
2015-05-03T00:00:00Z,14,Theft,10H30,Apartment Parking Lot,1700-1799,ADEN MIST,DR,-,1
2015-05-04T00:00:00Z,22,Theft,10H30,Commercial Parking Lot or Garage,300-399,CHARTRES,-,-,1
2015-05-05T00:00:00Z,06,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,DALLAS,ST,-,1
2015-04-19T00:00:00Z,14,Theft,10H30,Residence or House,2800-2899,CAPITOL,ST,-,1
2015-05-02T00:00:00Z,13,Auto Theft,10H30,Apartment Parking Lot,2000-2099,TEXAS,ST,-,1
2015-05-11T00:00:00Z,18,Theft,10H30,Restaurant or Cafeteria Parking Lot,2000-2099,JEFFERSON,ST,-,1
2015-05-23T00:00:00Z,00,Theft,10H30,"Road, Street, or Sidewalk",2300-2399,CONGRESS,-,-,1
2015-05-27T00:00:00Z,11,Aggravated Assault,10H30,"Road, Street, or Sidewalk",2000-2099,CONGRESS,-,-,1
2015-05-16T00:00:00Z,00,Theft,10H30,Other Parking Lot,800-899,SAINT EMANUEL,ST,-,1
2015-05-21T00:00:00Z,00,Theft,10H30,"Road, Street, or Sidewalk",1000-1099,HUTCHINS,-,-,1
2015-05-24T00:00:00Z,03,Aggravated Assault,10H30,Commercial Building,800-899,SAINT EMANUEL,ST,-,1
2015-05-20T00:00:00Z,07,Theft,10H30,Social Services or Public Charities,400-499,DOWLING,ST,-,1
2015-05-20T00:00:00Z,12,Theft,10H30,"Church, Synagogue, or Temple",2000-2099,MILBY,-,-,1
2015-04-30T00:00:00Z,16,Theft,10H30,,700-799,DELANO,-,-,1
2015-05-04T00:00:00Z,00,Theft,10H30,Other Parking Lot,1400-1499,HUTCHINS,-,-,1
2015-05-06T00:00:00Z,19,Theft,10H30,Other Parking Lot,1700-1799,ENNIS,ST,-,1
2015-05-17T00:00:00Z,20,Theft,10H30,"Road, Street, or Sidewalk",400-499,BASTROP,ST,-,1
2015-05-10T00:00:00Z,09,Theft,10H30,Bar or Night Club,800-899,SAINT EMANUEL,ST,-,1
2015-05-05T00:00:00Z,22,Theft,10H30,"Road, Street, or Sidewalk",1400-1499,CHARTRES,-,-,1
2015-05-01T00:00:00Z,07,Theft,10H30,Commercial Parking Lot or Garage,2100-2199,LAMAR,-,-,1
2015-05-01T00:00:00Z,16,Theft,10H30,Social Services or Public Charities,400-499,DOWLING,ST,-,1
2015-05-02T00:00:00Z,13,Theft,10H30,Apartment Parking Lot,2200-2299,LEELAND,-,-,1
2015-05-03T00:00:00Z,12,Theft,10H30,Residence or House,1400-1499,PAIGE,-,-,1
2015-05-01T00:00:00Z,17,Burglary,10H30,Residence or House,3200-3299,LAMAR,-,-,1
2015-05-21T00:00:00Z,07,Theft,10H30,"Road, Street, or Sidewalk",1100-1199,SAMPSON,-,-,1
2015-05-26T00:00:00Z,18,Theft,10H30,Bar or Night Club,2000-2099,WALKER,ST,-,1
2015-05-12T00:00:00Z,04,Theft,10H30,Convenience Store,3500-3599,GULF,FWY,-,1
2015-05-10T00:00:00Z,13,Theft,10H30,"Other, Unknown, or Not Listed",600-699,DOWLING,ST,-,1
2015-05-05T00:00:00Z,21,Theft,10H30,Other Parking Lot,2500-2599,MCKINNEY,ST,-,1
2015-05-05T00:00:00Z,22,Theft,10H30,"Road, Street, or Sidewalk",1400-1499,HUTCHINS,-,-,1
2015-05-06T00:00:00Z,00,Theft,10H30,Other Parking Lot,2200-2299,MCKINNEY,ST,-,1
2015-04-19T00:00:00Z,15,Theft,10H30,Bar or Night Club Parking Lot,2200-2299,BELL,ST,-,1
2015-05-02T00:00:00Z,07,Theft,10H30,Apartment Parking Lot,1700-1799,ADEN,DR,-,1
2015-05-14T00:00:00Z,20,Theft,10H30,"Road, Street, or Sidewalk",1900-1999,SAMPSON,-,-,1
2015-05-16T00:00:00Z,22,Theft,10H30,"Road, Street, or Sidewalk",1000-1099,HUTCHINS,-,-,1
2015-05-28T00:00:00Z,08,Theft,10H30,Commercial Parking Lot or Garage,1300-1399,PALMER,ST,-,1
2015-05-26T00:00:00Z,13,Robbery,10H30,Convenience Store,900-999,SAINT EMANUEL,ST,-,1
2015-05-24T00:00:00Z,13,Theft,10H30,"Road, Street, or Sidewalk",1600-1699,DELANO,-,-,1
2015-05-22T00:00:00Z,17,Theft,10H30,,2300-2399,CONGRESS,-,-,1
2015-05-06T00:00:00Z,01,Theft,10H30,Other Parking Lot,2200-2299,MCKINNEY,ST,-,1
2015-05-03T00:00:00Z,08,Theft,10H30,Other Parking Lot,2200-2299,MCKINNEY,ST,-,1
2015-05-09T00:00:00Z,23,Auto Theft,10H30,"Road, Street, or Sidewalk",2000-2099,PRESTON,ST,-,1
2015-05-11T00:00:00Z,08,Theft,10H30,Commercial Parking Lot or Garage,2200-2299,PRESTON,ST,-,1
2015-05-12T00:00:00Z,12,Burglary,10H30,Residence or House,1700-1799,ADEN MIST,DR,-,1
2015-05-26T00:00:00Z,22,Theft,10H30,"Road, Street, or Sidewalk",1200-1299,ST CHARLES,-,-,1
2015-05-31T00:00:00Z,09,Auto Theft,10H30,"Road, Street, or Sidewalk",1100-1199,YORK,-,-,1
2015-03-11T00:00:00Z,00,Theft,10H30,"Road, Street, or Sidewalk",2900-2999,CLAY,-,-,1
2015-05-03T00:00:00Z,09,Theft,10H30,"Road, Street, or Sidewalk",900-999,HUTCHINS,-,-,1
2015-05-26T00:00:00Z,16,Theft,10H30,"Road, Street, or Sidewalk",1100-1199,SAINT CHARLES,-,-,1
2015-05-22T00:00:00Z,23,Theft,10H30,"Road, Street, or Sidewalk",2400-2499,MCKINNEY,ST,-,1
2015-05-22T00:00:00Z,23,Theft,10H30,"Road, Street, or Sidewalk",300-399,BASTROP,ST,-,1
2015-05-23T00:00:00Z,09,Theft,10H30,"Road, Street, or Sidewalk",1200-1299,SAMPSON,-,-,1
2015-05-20T00:00:00Z,16,Theft,10H30,Commercial Parking Lot or Garage,2000-2099,COMMERCE,ST,-,1
2015-05-05T00:00:00Z,22,Theft,10H30,Other Parking Lot,300-399,DOWLING,ST,-,1
2015-05-04T00:00:00Z,09,Theft,10H30,"Road, Street, or Sidewalk",1700-1799,ENNIS,ST,-,1
2015-05-01T00:00:00Z,01,Theft,10H30,Bar or Night Club,800-899,SAINT EMANUEL,ST,-,1
2015-05-08T00:00:00Z,13,Theft,10H30,Commercial Building,2000-2099,CLAY,-,-,1
2015-05-22T00:00:00Z,22,Theft,10H30,Other Parking Lot,1000-1099,LIVE OAK,-,-,1
2015-05-23T00:00:00Z,08,Theft,10H30,"Road, Street, or Sidewalk",1600-1699,SAINT EMANUEL,ST,-,1
2015-05-18T00:00:00Z,16,Theft,10H30,Residence or House,2600-2699,RUSK,ST,-,1
2015-05-19T00:00:00Z,18,Burglary,10H30,Warehouse,1100-1199,ROBERTS,ST,-,1
2015-05-16T00:00:00Z,21,Theft,10H30,"Road, Street, or Sidewalk",1300-1399,ST CHARLES,-,-,1
2015-05-16T00:00:00Z,23,Robbery,10H40,Bus Stop,3400-3499,FANNIN,ST,-,1
2015-05-13T00:00:00Z,21,Theft,10H40,Restaurant or Cafeteria Parking Lot,3700-3799,ALMEDA,RD,-,1
2015-05-19T00:00:00Z,16,Theft,10H40,Apartment Parking Lot,2700-2799,TRAVIS,-,-,1
2015-05-19T00:00:00Z,07,Theft,10H40,Apartment Parking Lot,1400-1499,ROSALIE,-,-,1
2015-05-23T00:00:00Z,07,Theft,10H40,Miscellaneous Business (Non-Specific),2200-2299,FANNIN,ST,-,1
2015-05-23T00:00:00Z,12,Theft,10H40,"Road, Street, or Sidewalk",2400-2499,SAN JACINTO,ST,-,1
2015-05-21T00:00:00Z,05,Robbery,10H40,"Road, Street, or Sidewalk",1400-1499,WEBSTER,-,-,1
2015-05-25T00:00:00Z,15,Theft,10H40,"Other, Unknown, or Not Listed",1700-1799,GRAY,ST,-,1
2015-05-26T00:00:00Z,07,Theft,10H40,"Road, Street, or Sidewalk",1400-1499,DREW,ST,-,1
2015-04-24T00:00:00Z,10,Theft,10H40,Bus Station,2100-2199,MAIN,ST,-,1
2015-05-30T00:00:00Z,15,Theft,10H40,Other Parking Lot,2700-2799,MILAM,-,-,1
2015-05-28T00:00:00Z,21,Theft,10H40,"Road, Street, or Sidewalk",1200-1299,ANITA,ST,-,1
2015-05-31T00:00:00Z,14,Burglary,10H40,Apartment,2300-2399,TRAVIS,-,-,1
2015-05-21T00:00:00Z,15,Robbery,10H40,Convenience Store Parking Lot,2500-2599,HAMILTON,ST,-,1
2015-05-21T00:00:00Z,16,Robbery,10H40,Restaurant or Cafeteria Parking Lot,2000-2099,MAIN,ST,-,1
2015-05-26T00:00:00Z,16,Burglary,10H40,Apartment,4000-4099,FANNIN,ST,-,1
2015-05-19T00:00:00Z,08,Theft,10H40,"Road, Street, or Sidewalk",2900-2999,CHENEVERT,-,-,1
2015-05-17T00:00:00Z,22,Aggravated Assault,10H40,"Road, Street, or Sidewalk",1200-1299,MCILHENNY,ST,-,1
2015-05-04T00:00:00Z,09,Theft,10H40,Driveway,200-299,COLQUITT,ST,-,1
2015-05-05T00:00:00Z,18,Burglary,10H40,Residence or House,1300-1399,ISABELLA,-,-,1
2015-03-24T00:00:00Z,15,Auto Theft,10H40,"Other, Unknown, or Not Listed",100-199,US 59,-,S,1
2015-04-15T00:00:00Z,12,Theft,10H40,Bus Station,2100-2199,MAIN,ST,-,1
2015-05-07T00:00:00Z,23,Theft,10H40,Service or Gas Station,2100-2199,FANNIN,ST,-,1
2015-05-08T00:00:00Z,16,Theft,10H40,Residence or House,1500-1599,ISABELLA,-,-,1
2015-05-10T00:00:00Z,10,Aggravated Assault,10H40,Light Rail (Metro Rail) Vehicle,4500-4599,MAIN,ST,-,1
2015-05-11T00:00:00Z,07,Burglary,10H40,"Laundry, Dry Cleaners, Washaterias",3900-3999,ALMEDA,RD,-,1
2015-05-30T00:00:00Z,14,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-05-31T00:00:00Z,10,Theft,10H40,Light Rail Platform,4500-4599,MAIN,ST,-,1
2015-05-30T00:00:00Z,00,Theft,10H40,"Road, Street, or Sidewalk",3600-3699,TRAVIS,-,-,2
2015-05-27T00:00:00Z,20,Theft,10H40,Bar or Night Club Parking Lot,3000-3099,CAROLINE,ST,-,1
2015-05-25T00:00:00Z,03,Theft,10H40,Bar or Night Club Parking Lot,2400-2499,SAN JACINTO,-,-,1
2015-05-25T00:00:00Z,16,Theft,10H40,Other Parking Lot,800-899,BERRY,ST,-,1
2015-05-23T00:00:00Z,02,Theft,10H40,Service or Gas Station,2100-2199,FANNIN,ST,-,1
