Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2015-02-26T00:00:00Z,12,Theft,10H10,"Road, Street, or Sidewalk",4900-4999,CANAL,ST,-,1
2015-04-05T00:00:00Z,16,Burglary,10H10,Residence or House,100-199,YORK,-,-,1
2015-04-06T00:00:00Z,20,Rape,10H10,Residence or House,UNK,CANAL,CT,-,1
2015-04-16T00:00:00Z,08,Theft,10H10,Construction Site,400-499,ENNIS,ST,-,1
2015-04-01T00:00:00Z,19,Theft,10H10,,UNK,SIDNEY,-,-,1
2015-04-02T00:00:00Z,09,Murder,10H10,Apartment,1900-1999,RUNNELS,-,-,1
2015-04-14T00:00:00Z,13,Auto Theft,10H10,Other Parking Lot,2200-2299,COMMERCE,ST,-,1
2015-04-18T00:00:00Z,10,Rape,10H10,Residence or House,UNK,ENNIS,ST,N,1
2015-04-22T00:00:00Z,13,Auto Theft,10H10,"Physician, Doctor, Dentist's Office",2500-2599,CANAL,ST,-,1
2015-03-28T00:00:00Z,13,Theft,10H10,Apartment Parking Lot,400-499,WEST,DR,-,1
2015-04-03T00:00:00Z,18,Theft,10H10,Residence or House,200-299,DRENNAN,ST,-,1
2015-04-19T00:00:00Z,15,Theft,10H10,Driveway,300-399,EVERTON,ST,N,1
2015-04-20T00:00:00Z,11,Theft,10H10,Driveway,300-399,ENNIS,ST,N,1
2015-04-24T00:00:00Z,18,Burglary,10H10,Residence or House,UNK,MARSDEN,-,-,1
2009-05-18T00:00:00Z,11,Theft,10H10,,4500-4599,CANAL,ST,-,1
2015-03-31T00:00:00Z,16,Theft,10H10,Other Parking Lot,3500-3599,GARROW,-,-,1
2015-04-09T00:00:00Z,11,Rape,10H10,Apartment,1900-1999,RUNNELS,-,-,1
2015-04-12T00:00:00Z,12,Burglary,10H10,Warehouse,300-399,SAMPSON,-,-,1
2015-04-23T00:00:00Z,17,Theft,10H10,Other Parking Lot,UNK,STILES,-,-,1
2015-01-05T00:00:00Z,01,Burglary,10H10,Residence or House,6200-6299,INDUSTRIAL,WAY,-,1
2015-03-30T00:00:00Z,13,Theft,10H10,Other Parking Lot,4700-4799,HARRISBURG,-,-,1
2015-04-04T00:00:00Z,21,Aggravated Assault,10H10,Residence or House,500-599,YORK,-,-,1
2015-04-07T00:00:00Z,07,Aggravated Assault,10H10,"Road, Street, or Sidewalk",2600-2699,COMMERCE,ST,-,1
2015-04-09T00:00:00Z,08,Theft,10H10,Commercial Parking Lot or Garage,700-799,GREENWOOD,ST,N,1
2015-04-14T00:00:00Z,14,Theft,10H10,Service or Gas Station,3300-3399,CANAL,ST,-,1
2015-04-14T00:00:00Z,19,Theft,10H10,"Road, Street, or Sidewalk",5300-5399,BRADY,ST,-,1
2015-04-19T00:00:00Z,16,Theft,10H10,Bus Stop,2300-2399,NAVIGATION,-,-,1
2015-04-21T00:00:00Z,13,Theft,10H10,,3300-3399,NAVIGATION,-,-,1
2015-04-01T00:00:00Z,07,Aggravated Assault,10H10,Convenience Store Parking Lot,2000-2099,RUNNELS,-,-,1
2015-04-06T00:00:00Z,11,Auto Theft,10H10,"Road, Street, or Sidewalk",2200-2299,COMMERCE,ST,-,1
2015-04-08T00:00:00Z,21,Robbery,10H10,"Road, Street, or Sidewalk",2200-2299,COMMERCE,ST,-,1
2015-04-10T00:00:00Z,17,Auto Theft,10H10,Residence or House,UNK,STILES,-,-,1
2015-04-12T00:00:00Z,18,Aggravated Assault,10H10,"Parks and Recreation, Zoo, Swimming Pool",800-899,YORK,-,N,1
2015-04-17T00:00:00Z,14,Theft,10H10,Commercial Parking Lot or Garage,200-299,NORWOOD,ST,N,1
2015-04-22T00:00:00Z,17,Theft,10H10,Commercial Parking Lot or Garage,2300-2399,COMMERCE,ST,-,1
2015-04-13T00:00:00Z,22,Burglary,10H20,Residence or House,1100-1199,WEAVER,-,-,1
2015-04-09T00:00:00Z,17,Aggravated Assault,10H20,Residence or House,4200-4299,DALLAS,ST,-,1
2015-04-07T00:00:00Z,15,Theft,10H20,Commercial Parking Lot or Garage,1900-1999,TELLEPSEN,-,-,1
2015-04-01T00:00:00Z,18,Theft,10H20,Residence or House,1100-1199,WEAVER,-,-,1
2015-04-02T00:00:00Z,00,Burglary,10H20,,3800-3899,LAMAR,-,-,1
2015-04-13T00:00:00Z,07,Auto Theft,10H20,Driveway,5000-5099,JEFFERSON,ST,-,1
2015-04-21T00:00:00Z,20,Theft,10H20,Hospital,1400-1499,TELEPHONE,-,-,1
2015-04-08T00:00:00Z,08,Auto Theft,10H20,"Road, Street, or Sidewalk",1200-1299,PEARSON,-,-,1
2015-04-04T00:00:00Z,21,Aggravated Assault,10H20,"Road, Street, or Sidewalk",5200-5299,PEASE,-,-,1
2015-04-01T00:00:00Z,13,Theft,10H20,Miscellaneous Business (Non-Specific),3800-3899,LAMAR,-,-,1
2015-04-02T00:00:00Z,08,Aggravated Assault,10H20,Residence or House,4100-4199,LAMAR,-,-,1
2015-04-09T00:00:00Z,20,Theft,10H20,"Road, Street, or Sidewalk",4400-4499,DALLAS,ST,-,1
2015-04-29T00:00:00Z,23,Theft,10H20,Residence or House,5200-5299,JEFFERSON,ST,-,1
2015-04-17T00:00:00Z,12,Burglary,10H20,Residence or House,1900-1999,JEAN,-,-,1
2015-04-02T00:00:00Z,21,Aggravated Assault,10H20,"Road, Street, or Sidewalk",5300-5399,LEELAND,-,-,1
2015-04-06T00:00:00Z,20,Theft,10H20,Residence or House,3900-3999,DALLAS,ST,-,1
2015-04-08T00:00:00Z,10,Theft,10H20,Apartment Parking Lot,5000-5099,PEASE,-,-,1
2015-04-08T00:00:00Z,14,Theft,10H20,Other Parking Lot,5000-5099,PEASE,-,-,1
2015-04-09T00:00:00Z,13,Robbery,10H20,Apartment Parking Lot,3800-3899,WALKER,ST,-,1
2015-04-14T00:00:00Z,19,Burglary,10H20,Residence or House,5100-5199,LINDSAY,-,-,1
2015-04-02T00:00:00Z,08,Burglary,10H20,"Vacant Single Occ Resd(House,Townhs,Dplex)",4400-4499,RUSK,ST,-,1
2015-04-07T00:00:00Z,14,Theft,10H20,,4300-4399,COYLE,ST,-,1
2015-04-13T00:00:00Z,01,Robbery,10H20,"Road, Street, or Sidewalk",800-899,CULLEN,BLVD,-,1
2015-04-24T00:00:00Z,13,Theft,10H20,"Road, Street, or Sidewalk",4700-4799,WOODSIDE,ST,-,1
2015-04-28T00:00:00Z,16,Auto Theft,10H20,"Other, Unknown, or Not Listed",5400-5499,BELL,ST,-,1
2015-04-04T00:00:00Z,05,Aggravated Assault,10H20,"Road, Street, or Sidewalk",1500-1599,TELEPHONE,-,-,1
2015-04-08T00:00:00Z,01,Theft,10H20,Residence or House,1400-1499,PEARSON,-,-,1
2015-04-18T00:00:00Z,13,Theft,10H20,Convenience Store,4200-4299,POLK,-,-,1
2015-04-26T00:00:00Z,10,Theft,10H20,"Road, Street, or Sidewalk",1000-1099,MILBY,-,-,1
2015-04-26T00:00:00Z,14,Theft,10H20,Residence or House,4200-4299,CLAY,-,-,1
2015-04-25T00:00:00Z,11,Theft,10H30,Bar or Night Club Parking Lot,2000-2099,RUSK,ST,-,1
2015-04-17T00:00:00Z,10,Theft,10H30,Driveway,2200-2299,PRESTON,ST,-,1
