beat,district,area_sq_mi,placename,population,type,total19,total20,total21,total22,total23,2024,last12mos,total_prior4years,avg_prior4years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior4years
10H20,10,1.75743169,Eastwood and Broadmoor,10000,Property,395,400,311,323,342,14,340,1429,357.2,-18.2,-13.9,5.3,-4.8,3950,4000,3110,3230,3400,3572
10H20,10,1.75743169,Eastwood and Broadmoor,10000,Violent,190,200,197,223,194,4,189,810,202.5,17.4,-0.5,-15.2,-6.7,1900,2000,1970,2230,1890,2025
10H30,10,1.02691154,Near East End,4000,Other,180,304,325,456,458,6,449,1265,316.2,153.3,149.4,-1.5,42,4500,7600,8125,11400,11225,7905
10H30,10,1.02691154,Near East End,4000,Property,780,529,631,868,995,23,986,2808,702,11.3,26.4,13.6,40.5,19500,13225,15775,21700,24650,17550
10H30,10,1.02691154,Near East End,4000,Violent,171,158,173,169,190,2,187,671,167.8,-1.2,9.4,10.7,11.4,4275,3950,4325,4225,4675,4195
10H40,10,0.99627062,Midtown,8000,Other,736,1159,1175,1175,1129,21,1095,4245,1061.2,59.6,48.8,-6.8,3.2,9200,14487.5,14687.5,14687.5,13687.5,13265
10H40,10,0.99627062,Midtown,8000,Property,1518,1050,981,1320,1026,41,1019,4869,1217.2,-13,-32.9,-22.8,-16.3,18975,13125,12262.5,16500,12737.5,15215
10H40,10,0.99627062,Midtown,8000,Violent,751,638,567,527,526,15,513,2483,620.8,-29.8,-31.7,-2.7,-17.4,9387.5,7975,7087.5,6587.5,6412.5,7760
10H50,10,2.30843079,the University of Houston area,13000,Other,1006,1144,1149,1372,1190,23,1153,4671,1167.8,36.4,14.6,-16,-1.3,7738.5,8800,8838.5,10553.8,8869.2,8983.1
10H50,10,2.30843079,the University of Houston area,13000,Property,833,781,729,873,920,31,913,3216,804,4.8,9.6,4.6,13.6,6407.7,6007.7,5607.7,6715.4,7023.1,6184.6
10H50,10,2.30843079,the University of Houston area,13000,Violent,753,691,609,582,596,20,599,2635,658.8,-22.7,-20.5,2.9,-9.1,5792.3,5315.4,4684.6,4476.9,4607.7,5067.7
10H60,10,3.08931006,"University Oaks, Riverside Terrace and the Texas Southern University area",20000,Other,598,907,894,1008,880,18,856,3407,851.8,68.6,43.1,-15.1,0.5,2990,4535,4470,5040,4280,4259
10H60,10,3.08931006,"University Oaks, Riverside Terrace and the Texas Southern University area",20000,Property,772,763,900,1025,1040,35,1020,3460,865,32.8,32.1,-0.5,17.9,3860,3815,4500,5125,5100,4325
10H60,10,3.08931006,"University Oaks, Riverside Terrace and the Texas Southern University area",20000,Violent,544,520,496,528,489,16,488,2088,522,-2.9,-10.3,-7.6,-6.5,2720,2600,2480,2640,2440,2610
10H70,10,3.52217952,"Texas Medical Center, Hermann Park, Houston Zoo and Miller Outdoor Theatre",16000,Other,513,777,847,913,854,11,817,3050,762.5,78,59.3,-10.5,7.1,3206.2,4856.2,5293.8,5706.2,5106.2,4765.6
10H70,10,3.52217952,"Texas Medical Center, Hermann Park, Houston Zoo and Miller Outdoor Theatre",16000,Property,1285,1215,1089,1437,1188,54,1190,5026,1256.5,11.8,-7.4,-17.2,-5.3,8031.2,7593.8,6806.2,8981.2,7437.5,7853.1
10H70,10,3.52217952,"Texas Medical Center, Hermann Park, Houston Zoo and Miller Outdoor Theatre",16000,Violent,421,435,458,432,417,12,410,1746,436.5,2.6,-2.6,-5.1,-6.1,2631.2,2718.8,2862.5,2700,2562.5,2728.1
10H80,10,2.73862779,"Southampton, Rice University area, Shadow Lawn and Broad Acres",19000,Other,307,382,331,331,377,4,361,1351,337.8,7.8,17.6,9.1,6.9,1615.8,2010.5,1742.1,1742.1,1900,1777.9
10H80,10,2.73862779,"Southampton, Rice University area, Shadow Lawn and Broad Acres",19000,Property,871,663,668,717,703,21,695,2919,729.8,-17.7,-20.2,-3.1,-4.8,4584.2,3489.5,3515.8,3773.7,3657.9,3841.1
10H80,10,2.73862779,"Southampton, Rice University area, Shadow Lawn and Broad Acres",19000,Violent,120,97,98,129,104,4,103,444,111,7.5,-14.2,-20.2,-7.2,631.6,510.5,515.8,678.9,542.1,584.2
11H10,11,5.31502815,"Mason Park, Forest Hill, Sunnyland and Central Park",28000,Other,720,1137,1200,1327,1317,26,1272,4384,1096,84.3,76.7,-4.1,16.1,2571.4,4060.7,4285.7,4739.3,4542.9,3914.3
11H10,11,5.31502815,"Mason Park, Forest Hill, Sunnyland and Central Park",28000,Property,1087,1115,950,975,1017,39,1009,4127,1031.8,-10.3,-7.2,3.5,-2.2,3882.1,3982.1,3392.9,3482.1,3603.6,3685
11H10,11,5.31502815,"Mason Park, Forest Hill, Sunnyland and Central Park",28000,Violent,832,957,776,815,788,25,785,3380,845,-2,-5.6,-3.7,-7.1,2971.4,3417.9,2771.4,2910.7,2803.6,3017.9
11H20,11,3.9311161,"Harrisburg, Manchester and Pecan Park",18000,Other,349,570,726,623,652,5,629,2268,567,78.5,80.2,1,10.9,1938.9,3166.7,4033.3,3461.1,3494.4,3150
11H20,11,3.9311161,"Harrisburg, Manchester and Pecan Park",18000,Property,387,450,465,428,412,14,405,1730,432.5,10.6,4.7,-5.4,-6.4,2150,2500,2583.3,2377.8,2250,2402.8
11H20,11,3.9311161,"Harrisburg, Manchester and Pecan Park",18000,Violent,430,416,432,355,338,6,332,1633,408.2,-17.4,-22.8,-6.5,-18.7,2388.9,2311.1,2400,1972.2,1844.4,2267.8
11H30,11,2.84278059,Meadow Brook and Park Place,15000,Other,409,717,734,714,741,14,724,2574,643.5,74.6,77,1.4,12.5,2726.7,4780,4893.3,4760,4826.7,4290
11H30,11,2.84278059,Meadow Brook and Park Place,15000,Property,644,747,558,530,596,19,592,2479,619.8,-17.7,-8.1,11.7,-4.5,4293.3,4980,3720,3533.3,3946.7,4132
11H30,11,2.84278059,Meadow Brook and Park Place,15000,Violent,404,481,409,448,400,17,404,1742,435.5,10.9,0,-9.8,-7.2,2693.3,3206.7,2726.7,2986.7,2693.3,2903.3
11H40,11,6.14001938,Allendale and Oak Meadows,8000,Other,112,258,211,213,187,2,181,794,198.5,90.2,61.6,-15,-8.8,1400,3225,2637.5,2662.5,2262.5,2481.2
11H40,11,6.14001938,Allendale and Oak Meadows,8000,Property,178,202,168,154,131,7,131,702,175.5,-13.5,-26.4,-14.9,-25.4,2225,2525,2100,1925,1637.5,2193.8
11H40,11,6.14001938,Allendale and Oak Meadows,8000,Violent,107,142,119,117,109,6,113,485,121.2,9.3,5.6,-3.4,-6.8,1337.5,1775,1487.5,1462.5,1412.5,1515
11H50,11,2.09534157,"Meadow Creek, Ferndale Addition and Glenbrook Industrial",8000,Other,125,282,309,317,360,13,357,1033,258.2,153.6,185.6,12.6,38.3,1562.5,3525,3862.5,3962.5,4462.5,3227.5
11H50,11,2.09534157,"Meadow Creek, Ferndale Addition and Glenbrook Industrial",8000,Property,264,306,348,356,391,8,384,1274,318.5,34.8,45.5,7.9,20.6,3300,3825,4350,4450,4800,3981.2
11H50,11,2.09534157,"Meadow Creek, Ferndale Addition and Glenbrook Industrial",8000,Violent,147,189,195,165,248,8,252,696,174,12.2,71.4,52.7,44.8,1837.5,2362.5,2437.5,2062.5,3150,2175
12D10,12,8.55384717,"Almeda Mall, Southridge, Edgebrook and South Houston Gardens",44000,Other,1205,2003,2249,2124,1824,25,1762,7581,1895.2,76.3,46.2,-17,-7,2738.6,4552.3,5111.4,4827.3,4004.5,4307.3
12D10,12,8.55384717,"Almeda Mall, Southridge, Edgebrook and South Houston Gardens",44000,Property,1898,2044,2007,2249,2082,57,2048,8198,2049.5,18.5,7.9,-8.9,-0.1,4313.6,4645.5,4561.4,5111.4,4654.5,4658
12D10,12,8.55384717,"Almeda Mall, Southridge, Edgebrook and South Houston Gardens",44000,Violent,1097,1337,1378,1243,1045,31,1017,5055,1263.8,13.3,-7.3,-18.2,-19.5,2493.2,3038.6,3131.8,2825,2311.4,2872.3
12D20,12,3.83700574,Sagemont,22000,Other,435,746,769,638,600,8,579,2588,647,46.7,33.1,-9.2,-10.5,1977.3,3390.9,3495.5,2900,2631.8,2940.9
12D20,12,3.83700574,Sagemont,22000,Property,835,821,835,927,762,14,728,3418,854.5,11,-12.8,-21.5,-14.8,3795.5,3731.8,3795.5,4213.6,3309.1,3884.1
12D20,12,3.83700574,Sagemont,22000,Violent,359,427,375,362,316,11,316,1523,380.8,0.8,-12,-12.7,-17,1631.8,1940.9,1704.5,1645.5,1436.4,1730.9
12D30,12,3.99301158,Gulf Palms and Beamer,15000,Other,290,371,372,335,346,6,340,1368,342,15.5,17.2,1.5,-0.6,1933.3,2473.3,2480,2233.3,2266.7,2280
12D30,12,3.99301158,Gulf Palms and Beamer,15000,Property,379,418,365,439,405,11,398,1601,400.2,15.8,5,-9.3,-0.5,2526.7,2786.7,2433.3,2926.7,2653.3,2668
12D30,12,3.99301158,Gulf Palms and Beamer,15000,Violent,201,206,204,176,190,4,189,787,196.8,-12.4,-6,7.4,-4,1340,1373.3,1360,1173.3,1260,1312
12D40,12,9.68663455,Scarsdale and Ellington Field,11000,Other,216,366,429,346,390,1,371,1357,339.2,60.2,71.8,7.2,9.4,1963.6,3327.3,3900,3145.5,3372.7,3083.6
12D40,12,9.68663455,Scarsdale and Ellington Field,11000,Property,322,359,335,373,303,4,294,1389,347.2,15.8,-8.7,-21.2,-15.3,2927.3,3263.6,3045.5,3390.9,2672.7,3156.4
12D40,12,9.68663455,Scarsdale and Ellington Field,11000,Violent,252,272,244,223,188,6,187,991,247.8,-11.5,-25.8,-16.1,-24.5,2290.9,2472.7,2218.2,2027.3,1700,2252.7
12D50,12,8.93327581,"Bay Glen, Bay Oaks, Brook Forest and Bay Forest",26000,Other,202,247,242,243,241,4,242,934,233.5,20.3,19.8,-0.4,3.6,776.9,950,930.8,934.6,930.8,898.1
12D50,12,8.93327581,"Bay Glen, Bay Oaks, Brook Forest and Bay Forest",26000,Property,224,179,165,166,165,5,164,734,183.5,-25.9,-26.8,-1.2,-10.6,861.5,688.5,634.6,638.5,630.8,705.8
12D50,12,8.93327581,"Bay Glen, Bay Oaks, Brook Forest and Bay Forest",26000,Violent,96,80,94,101,89,4,90,371,92.8,5.2,-6.2,-10.9,-3,369.2,307.7,361.5,388.5,346.2,356.9
12D60,12,6.35832041,"NASA's Johnson Space Center, Meadow Green, Oakbrook West and Camino South",22000,Other,282,455,465,388,384,12,384,1590,397.5,37.6,36.2,-1,-3.4,1281.8,2068.2,2113.6,1763.6,1745.5,1806.8
12D60,12,6.35832041,"NASA's Johnson Space Center, Meadow Green, Oakbrook West and Camino South",22000,Property,343,402,377,318,296,7,284,1440,360,-7.3,-17.2,-10.7,-21.1,1559.1,1827.3,1713.6,1445.5,1290.9,1636.4
12D60,12,6.35832041,"NASA's Johnson Space Center, Meadow Green, Oakbrook West and Camino South",22000,Violent,199,269,242,188,227,6,224,898,224.5,-5.5,12.6,19.1,-0.2,904.5,1222.7,1100,854.5,1018.2,1020.5
12D70,12,5.39156317,Baybrook Mall and Sterling Knoll,12000,Other,424,486,556,472,547,7,528,1938,484.5,11.3,24.5,11.9,9,3533.3,4050,4633.3,3933.3,4400,4037.5
12D70,12,5.39156317,Baybrook Mall and Sterling Knoll,12000,Property,1128,1084,1214,1184,1115,45,1115,4610,1152.5,5,-1.2,-5.8,-3.3,9400,9033.3,10116.7,9866.7,9291.7,9604.2
12D70,12,5.39156317,Baybrook Mall and Sterling Knoll,12000,Violent,223,255,221,223,256,8,255,922,230.5,0,14.3,14.3,10.6,1858.3,2125,1841.7,1858.3,2125,1920.8
13D10,13,5.2433708,"Gulfgate Mall, Bay Forest, Riverview, Hampshire, Golfcrest and Barnett Stadium",23000,Other,718,1067,938,938,919,18,896,3661,915.2,30.6,24.8,-4.5,-2.1,3121.7,4639.1,4078.3,4078.3,3895.7,3979.1
13D10,13,5.2433708,"Gulfgate Mall, Bay Forest, Riverview, Hampshire, Golfcrest and Barnett Stadium",23000,Property,1031,1072,1008,1021,891,35,867,4132,1033,-1,-15.9,-15.1,-16.1,4482.6,4660.9,4382.6,4439.1,3769.6,4491.3
13D10,13,5.2433708,"Gulfgate Mall, Bay Forest, Riverview, Hampshire, Golfcrest and Barnett Stadium",23000,Violent,677,668,592,615,589,21,589,2552,638,-9.2,-13,-4.2,-7.7,2943.5,2904.3,2573.9,2673.9,2560.9,2773.9
13D20,13,6.66870859,"Fairlawn, Garden Villas, Glenbrook Valley and Santa Rosa",36000,Other,1316,1859,1788,1675,1752,22,1718,6638,1659.5,27.3,30.5,2.6,3.5,3655.6,5163.9,4966.7,4652.8,4772.2,4609.7
13D20,13,6.66870859,"Fairlawn, Garden Villas, Glenbrook Valley and Santa Rosa",36000,Property,1538,1486,1447,1482,1533,39,1496,5953,1488.2,-3.6,-2.7,0.9,0.5,4272.2,4127.8,4019.4,4116.7,4155.6,4133.9
13D20,13,6.66870859,"Fairlawn, Garden Villas, Glenbrook Valley and Santa Rosa",36000,Violent,1149,1148,918,1007,988,41,993,4222,1055.5,-12.4,-13.6,-1.4,-5.9,3191.7,3188.9,2550,2797.2,2758.3,2931.9
13D30,13,3.07402543,"Allen Farms, Airport Gardens and the Hobby Airport area",2000,Other,71,183,148,119,147,0,140,521,130.2,67.6,97.2,17.6,7.5,3550,9150,7400,5950,7000,6510
13D30,13,3.07402543,"Allen Farms, Airport Gardens and the Hobby Airport area",2000,Property,129,122,141,118,149,1,148,510,127.5,-8.5,14.7,25.4,16.1,6450,6100,7050,5900,7400,6375
13D30,13,3.07402543,"Allen Farms, Airport Gardens and the Hobby Airport area",2000,Violent,46,37,35,37,35,2,36,155,38.8,-19.6,-21.7,-2.7,-7.2,2300,1850,1750,1850,1800,1940
13D40,13,5.0688163,"Val Verde East, Gulf Meadows and Houston Skyscraper Shadows",13000,Other,184,298,297,291,273,11,271,1070,267.5,58.2,47.3,-6.9,1.3,1415.4,2292.3,2284.6,2238.5,2084.6,2057.7
13D40,13,5.0688163,"Val Verde East, Gulf Meadows and Houston Skyscraper Shadows",13000,Property,388,417,385,395,362,8,345,1585,396.2,1.8,-11.1,-12.7,-12.9,2984.6,3207.7,2961.5,3038.5,2653.8,3047.7
13D40,13,5.0688163,"Val Verde East, Gulf Meadows and Houston Skyscraper Shadows",13000,Violent,166,222,183,170,150,16,162,741,185.2,2.4,-2.4,-4.7,-12.5,1276.9,1707.7,1407.7,1307.7,1246.2,1424.6
14D10,14,3.66057918,McGregor Terrace and Riverside Terrace,17000,Other,1053,1359,1503,1321,1375,16,1320,5236,1309,25.5,25.4,-0.1,0.8,6194.1,7994.1,8841.2,7770.6,7764.7,7700
14D10,14,3.66057918,McGregor Terrace and Riverside Terrace,17000,Property,1081,854,742,808,835,28,830,3485,871.2,-25.3,-23.2,2.7,-4.7,6358.8,5023.5,4364.7,4752.9,4882.4,5124.7
14D10,14,3.66057918,McGregor Terrace and Riverside Terrace,17000,Violent,1038,1096,892,809,895,26,888,3835,958.8,-22.1,-14.5,9.8,-7.4,6105.9,6447.1,5247.1,4758.8,5223.5,5640
14D20,14,7.25646368,"Sunnyside, Brook Haven and Bayou Estates",28000,Other,1699,2350,2607,2339,2205,33,2139,8995,2248.8,37.7,25.9,-8.6,-4.9,6067.9,8392.9,9310.7,8353.6,7639.3,8031.4
14D20,14,7.25646368,"Sunnyside, Brook Haven and Bayou Estates",28000,Property,1388,1194,974,1197,1257,47,1256,4753,1188.2,-13.8,-9.5,4.9,5.7,4957.1,4264.3,3478.6,4275,4485.7,4243.6
14D20,14,7.25646368,"Sunnyside, Brook Haven and Bayou Estates",28000,Violent,1691,1763,1512,1476,1457,50,1440,6442,1610.5,-12.7,-14.8,-2.4,-10.6,6039.3,6296.4,5400,5271.4,5142.9,5751.8
14D30,14,4.20537595,"Crestmont, Edgewood, Bellfort Park, Inwood Terrace and Southpark",21000,Other,777,1192,1201,1180,1154,19,1125,4350,1087.5,51.9,44.8,-4.7,3.4,3700,5676.2,5719,5619,5357.1,5178.6
14D30,14,4.20537595,"Crestmont, Edgewood, Bellfort Park, Inwood Terrace and Southpark",21000,Property,601,584,487,547,608,19,598,2219,554.8,-9,-0.5,9.3,7.8,2861.9,2781,2319,2604.8,2847.6,2641.9
14D30,14,4.20537595,"Crestmont, Edgewood, Bellfort Park, Inwood Terrace and Southpark",21000,Violent,821,750,660,693,702,24,691,2924,731,-15.6,-15.8,-0.3,-5.5,3909.5,3571.4,3142.9,3300,3290.5,3481
14D40,14,6.61224595,"South Acres, Shamrock Manor, Hillwood and Cloverland",21000,Other,587,848,932,909,737,12,715,3276,819,54.9,21.8,-21.3,-12.7,2795.2,4038.1,4438.1,4328.6,3404.8,3900
14D40,14,6.61224595,"South Acres, Shamrock Manor, Hillwood and Cloverland",21000,Property,574,560,496,558,610,21,607,2188,547,-2.8,5.7,8.8,11,2733.3,2666.7,2361.9,2657.1,2890.5,2604.8
14D40,14,6.61224595,"South Acres, Shamrock Manor, Hillwood and Cloverland",21000,Violent,622,667,604,585,537,18,531,2478,619.5,-5.9,-14.6,-9.2,-14.3,2961.9,3176.2,2876.2,2785.7,2528.6,2950
14D50,14,8.69627992,"Golden Glade Estates, Langston and Almeda Genoa",9000,Other,189,301,339,364,313,5,300,1193,298.2,92.6,58.7,-17.6,0.6,2100,3344.4,3766.7,4044.4,3333.3,3313.3
14D50,14,8.69627992,"Golden Glade Estates, Langston and Almeda Genoa",9000,Property,328,274,272,311,264,6,254,1185,296.2,-5.2,-22.6,-18.3,-14.2,3644.4,3044.4,3022.2,3455.6,2822.2,3291.1
14D50,14,8.69627992,"Golden Glade Estates, Langston and Almeda Genoa",9000,Violent,196,247,245,227,223,12,223,915,228.8,15.8,13.8,-1.8,-2.5,2177.8,2744.4,2722.2,2522.2,2477.8,2542.2
15E10,15,4.34996776,"Meyerland Plaza, Robindell, Meyerland, Braeburn Terrace and Maplewood South",24000,Other,477,638,648,614,629,6,603,2377,594.2,28.7,26.4,-1.8,1.5,1987.5,2658.3,2700,2558.3,2512.5,2475.8
15E10,15,4.34996776,"Meyerland Plaza, Robindell, Meyerland, Braeburn Terrace and Maplewood South",24000,Property,929,845,711,802,1015,45,1025,3287,821.8,-13.7,10.3,27.8,24.7,3870.8,3520.8,2962.5,3341.7,4270.8,3424.2
15E10,15,4.34996776,"Meyerland Plaza, Robindell, Meyerland, Braeburn Terrace and Maplewood South",24000,Violent,328,359,424,311,355,6,341,1422,355.5,-5.2,4,9.6,-4.1,1366.7,1495.8,1766.7,1295.8,1420.8,1481.2
15E20,15,3.58384499,"Westbury, Park West and Willow Creek",18000,Other,369,465,511,498,407,4,395,1843,460.8,35,7,-20.7,-14.3,2050,2583.3,2838.9,2766.7,2194.4,2560
15E20,15,3.58384499,"Westbury, Park West and Willow Creek",18000,Property,488,560,498,473,451,20,448,2019,504.8,-3.1,-8.2,-5.3,-11.3,2711.1,3111.1,2766.7,2627.8,2488.9,2804.4
15E20,15,3.58384499,"Westbury, Park West and Willow Creek",18000,Violent,265,323,244,228,202,8,205,1060,265,-14,-22.6,-10.1,-22.6,1472.2,1794.4,1355.6,1266.7,1138.9,1472.2
15E30,15,6.29133294,"Meyer Park, Post Oak Manor, Westwood, Willow Bend and Linkwood",34000,Other,617,895,851,787,781,17,763,3150,787.5,27.6,23.7,-3,-3.1,1814.7,2632.4,2502.9,2314.7,2244.1,2316.2
15E30,15,6.29133294,"Meyer Park, Post Oak Manor, Westwood, Willow Bend and Linkwood",34000,Property,1380,1245,1059,1144,1214,45,1211,4828,1207,-17.1,-12.2,5.9,0.3,4058.8,3661.8,3114.7,3364.7,3561.8,3550
15E30,15,6.29133294,"Meyer Park, Post Oak Manor, Westwood, Willow Bend and Linkwood",34000,Violent,376,422,436,417,403,19,406,1651,412.8,10.9,8,-2.6,-1.6,1105.9,1241.2,1282.4,1226.5,1194.1,1214.1
15E40,15,10.0079174,"NRG Park, Astroworld, Lakes at 610 and Plaza del Oro",30000,Other,1042,1652,1748,1691,1621,35,1603,6133,1533.2,62.3,53.8,-5.2,4.6,3473.3,5506.7,5826.7,5636.7,5343.3,5110.7
15E40,15,10.0079174,"NRG Park, Astroworld, Lakes at 610 and Plaza del Oro",30000,Property,2240,1983,2046,2721,2513,106,2513,8990,2247.5,21.5,12.2,-7.6,11.8,7466.7,6610,6820,9070,8376.7,7491.7
15E40,15,10.0079174,"NRG Park, Astroworld, Lakes at 610 and Plaza del Oro",30000,Violent,943,882,1052,950,921,34,919,3827,956.8,0.7,-2.5,-3.3,-4,3143.3,2940,3506.7,3166.7,3063.3,3189.3
16E10,16,5.38940818,Canterbury Village and Monarch Estates,15000,Other,259,349,294,348,348,5,338,1250,312.5,34.4,30.5,-2.9,8.2,1726.7,2326.7,1960,2320,2253.3,2083.3
16E10,16,5.38940818,Canterbury Village and Monarch Estates,15000,Property,450,352,330,395,385,9,366,1527,381.8,-12.2,-18.7,-7.3,-4.1,3000,2346.7,2200,2633.3,2440,2545.3
16E10,16,5.38940818,Canterbury Village and Monarch Estates,15000,Violent,220,226,202,216,200,5,198,864,216,-1.8,-10,-8.3,-8.3,1466.7,1506.7,1346.7,1440,1320,1440
16E20,16,8.15202134,"Almeda Plaza, South Glen, Dumbarton Oaks and Briarwick",35000,Other,720,1102,1139,1057,891,18,855,4018,1004.5,46.8,18.8,-19.1,-14.9,2057.1,3148.6,3254.3,3020,2442.9,2870
16E20,16,8.15202134,"Almeda Plaza, South Glen, Dumbarton Oaks and Briarwick",35000,Property,826,687,775,829,817,25,795,3117,779.2,0.4,-3.8,-4.1,2,2360,1962.9,2214.3,2368.6,2271.4,2226.3
16E20,16,8.15202134,"Almeda Plaza, South Glen, Dumbarton Oaks and Briarwick",35000,Violent,623,687,675,638,628,20,617,2623,655.8,2.4,-1,-3.3,-5.9,1780,1962.9,1928.6,1822.9,1762.9,1873.7
16E30,16,7.00932789,"Greenpark, Southwest Crossing and Windsor Village",22000,Other,546,856,831,821,760,9,736,3054,763.5,50.4,34.8,-10.4,-3.6,2481.8,3890.9,3777.3,3731.8,3345.5,3470.5
16E30,16,7.00932789,"Greenpark, Southwest Crossing and Windsor Village",22000,Property,629,675,606,594,715,18,702,2504,626,-5.6,11.6,18.2,12.1,2859.1,3068.2,2754.5,2700,3190.9,2845.5
16E30,16,7.00932789,"Greenpark, Southwest Crossing and Windsor Village",22000,Violent,498,491,451,455,420,9,417,1895,473.8,-8.6,-16.3,-8.4,-12,2263.6,2231.8,2050,2068.2,1895.5,2153.6
16E40,16,7.49721482,"Chasewood, Willowpark, Briarwick, Ridgemont and Quail Run",35000,Other,713,906,902,793,819,22,802,3314,828.5,11.2,12.5,1.1,-3.2,2037.1,2588.6,2577.1,2265.7,2291.4,2367.1
16E40,16,7.49721482,"Chasewood, Willowpark, Briarwick, Ridgemont and Quail Run",35000,Property,663,591,644,555,656,18,656,2453,613.2,-16.3,-1.1,18.2,7,1894.3,1688.6,1840,1585.7,1874.3,1752
16E40,16,7.49721482,"Chasewood, Willowpark, Briarwick, Ridgemont and Quail Run",35000,Violent,585,654,610,515,501,17,503,2364,591,-12,-14,-2.3,-14.9,1671.4,1868.6,1742.9,1471.4,1437.1,1688.6
17E10,17,3.3104034,"Southwest Memorial Hospital, Burnett Bayland Park and Westmoreland",51000,Other,1221,1869,1889,2034,1923,33,1873,7013,1753.2,66.6,53.4,-7.9,6.8,2394.1,3664.7,3703.9,3988.2,3672.5,3437.6
17E10,17,3.3104034,"Southwest Memorial Hospital, Burnett Bayland Park and Westmoreland",51000,Property,1929,1706,1787,1859,1747,70,1729,7281,1820.2,-3.6,-10.4,-7,-5,3782.4,3345.1,3503.9,3645.1,3390.2,3569
17E10,17,3.3104034,"Southwest Memorial Hospital, Burnett Bayland Park and Westmoreland",51000,Violent,1377,1498,1374,1279,1261,44,1251,5528,1382,-7.1,-9.2,-2.2,-9.5,2700,2937.3,2694.1,2507.8,2452.9,2709.8
17E20,17,3.92767309,the Houston Baptist University area and Maplewood West,27000,Other,499,913,831,866,917,22,884,3109,777.2,73.5,77.2,2.1,13.7,1848.1,3381.5,3077.8,3207.4,3274.1,2878.5
17E20,17,3.92767309,the Houston Baptist University area and Maplewood West,27000,Property,784,762,677,735,692,28,692,2958,739.5,-6.2,-11.7,-5.9,-6.4,2903.7,2822.2,2507.4,2722.2,2563,2738.9
17E20,17,3.92767309,the Houston Baptist University area and Maplewood West,27000,Violent,582,608,591,534,521,13,510,2315,578.8,-8.2,-12.4,-4.5,-11.9,2155.6,2251.9,2188.9,1977.8,1888.9,2143.7
17E30,17,3.8060455,Braeburn Valley West and Glenshire,21000,Other,673,1066,989,973,1017,25,989,3701,925.2,44.6,47,1.6,6.9,3204.8,5076.2,4709.5,4633.3,4709.5,4405.7
17E30,17,3.8060455,Braeburn Valley West and Glenshire,21000,Property,804,1058,861,861,811,26,798,3584,896,7.1,-0.7,-7.3,-10.9,3828.6,5038.1,4100,4100,3800,4266.7
17E30,17,3.8060455,Braeburn Valley West and Glenshire,21000,Violent,620,748,556,596,625,15,615,2520,630,-3.9,-0.8,3.2,-2.4,2952.4,3561.9,2647.6,2838.1,2928.6,3000
17E40,17,4.70920035,"Creekbend, Southwood and Fondren Southwest",46000,Other,1397,2044,2003,2077,1981,54,1944,7521,1880.2,48.7,39.2,-6.4,3.4,3037,4443.5,4354.3,4515.2,4226.1,4087.4
17E40,17,4.70920035,"Creekbend, Southwood and Fondren Southwest",46000,Property,1473,1462,1375,1271,1465,83,1471,5581,1395.2,-13.7,-0.1,15.7,5.4,3202.2,3178.3,2989.1,2763,3197.8,3033
17E40,17,4.70920035,"Creekbend, Southwood and Fondren Southwest",46000,Violent,1352,1381,1304,1206,1199,36,1172,5243,1310.8,-10.8,-13.3,-2.8,-10.6,2939.1,3002.2,2834.8,2621.7,2547.8,2849.6
18F10,18,1.95881352,"Saddlebrook, Bayou Woods and Sherwood Forest",7000,Other,99,157,210,185,172,1,162,651,162.8,86.9,63.6,-12.4,-0.5,1414.3,2242.9,3000,2642.9,2314.3,2325.7
18F10,18,1.95881352,"Saddlebrook, Bayou Woods and Sherwood Forest",7000,Property,249,265,273,313,277,7,265,1100,275,25.7,6.4,-15.3,-3.6,3557.1,3785.7,3900,4471.4,3785.7,3928.6
18F10,18,1.95881352,"Saddlebrook, Bayou Woods and Sherwood Forest",7000,Violent,80,72,73,80,70,2,71,305,76.2,0,-11.2,-11.2,-6.8,1142.9,1028.6,1042.9,1142.9,1014.3,1088.6
18F20,18,3.51641691,"The Galleria, Tanglewood, Riverway and Post Oak",24000,Other,875,1126,1344,1377,1284,22,1242,4722,1180.5,57.4,41.9,-9.8,5.2,3645.8,4691.7,5600,5737.5,5175,4918.8
18F20,18,3.51641691,"The Galleria, Tanglewood, Riverway and Post Oak",24000,Property,2284,2283,2508,2941,2850,98,2796,10016,2504,28.8,22.4,-4.9,11.7,9516.7,9512.5,10450,12254.2,11650,10433.3
18F20,18,3.51641691,"The Galleria, Tanglewood, Riverway and Post Oak",24000,Violent,411,424,476,475,419,23,423,1786,446.5,15.6,2.9,-10.9,-5.3,1712.5,1766.7,1983.3,1979.2,1762.5,1860.4
18F30,18,3.80008564,"The Richmond Strip, Briargrove, Post Oak Estates and Westhaven",36000,Other,958,1429,1619,1558,1491,26,1449,5564,1391,62.6,51.3,-7,4.2,2661.1,3969.4,4497.2,4327.8,4025,3863.9
18F30,18,3.80008564,"The Richmond Strip, Briargrove, Post Oak Estates and Westhaven",36000,Property,1812,1682,1952,2075,1740,51,1689,7521,1880.2,14.5,-6.8,-18.6,-10.2,5033.3,4672.2,5422.2,5763.9,4691.7,5222.8
