beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,total23,last12mos,total_prior4years,avg_prior4years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior4years,previous_year
8C10,8,3.69037316,"Tidwell Park, Shady Oak and Buckingham Place",12000,Robbery,88,88,98,72,46,62,346,86.5,-18.2,-29.5,-13.9,-28.3,733.3,733.3,816.7,600,516.7,720.8,72
8C20,8,3.36154214,"Houston Gardens, Rosewood and Homestead",7000,Robbery,20,28,26,18,9,18,92,23,-10,-10,0,-21.7,285.7,400,371.4,257.1,257.1,328.6,18
8C30,8,4.6258259,"Parkhurst, East Houston and Clairmont Place",11000,Robbery,29,40,44,32,31,40,145,36.2,10.3,37.9,25,10.5,263.6,363.6,400,290.9,363.6,329.1,32
8C40,8,4.97945551,"Lake Houston, Greenriver, Knoll and Lake Forest",8000,Robbery,16,21,26,12,8,13,75,18.8,-25,-18.8,8.3,-30.9,200,262.5,325,150,162.5,235,12
8C50,8,3.31739498,"Park North, Forest Green, Kentshire Place, Glenwood Forest and Dorchester",8000,Robbery,44,45,40,20,30,37,149,37.2,-54.5,-15.9,85,-0.5,550,562.5,500,250,462.5,465,20
8C60,8,5.79693312,"Edgeworth, Northwood Manor and Scenic Woods",19000,Robbery,56,57,54,43,32,38,210,52.5,-23.2,-32.1,-11.6,-27.6,294.7,300,284.2,226.3,200,276.3,43
9C10,9,5.21185619,"Port of Houston, Clinton Park, Pleasantville and Fidelity Manor",6000,Robbery,18,21,16,6,8,8,61,15.2,-66.7,-55.6,33.3,-47.4,300,350,266.7,100,133.3,253.3,6
9C20,9,7.5383173,Denver Harbor and Houston Harbor,16000,Robbery,50,52,39,51,32,44,192,48,2,-12,-13.7,-8.3,312.5,325,243.8,318.8,275,300,51
9C30,9,8.13353768,"City Park East, Wynnewood Acres and Wallisville Gardens",9000,Robbery,34,47,37,24,24,30,142,35.5,-29.4,-11.8,25,-15.5,377.8,522.2,411.1,266.7,333.3,394.4,24
9C40,9,10.42549456,"Greens Bayou Estates, Shady Brook, Northshore",23000,Robbery,132,147,111,103,63,94,493,123.2,-22,-28.8,-8.7,-23.7,573.9,639.1,482.6,447.8,408.7,535.7,103
10H10,10,2.81830654,Oak Lawn and Ranger,11000,Robbery,30,49,34,39,16,26,152,38,30,-13.3,-33.3,-31.6,272.7,445.5,309.1,354.5,236.4,345.5,39
10H20,10,1.75743169,Eastwood and Broadmoor,10000,Robbery,18,26,14,17,22,28,75,18.8,-5.6,55.6,64.7,48.9,180,260,140,170,280,188,17
10H30,10,1.02691154,Near East End,4000,Robbery,34,26,19,32,22,34,111,27.8,-5.9,0,6.2,22.3,850,650,475,800,850,695,32
10H40,10,0.99627062,Midtown,8000,Robbery,176,152,130,111,70,103,569,142.2,-36.9,-41.5,-7.2,-27.6,2200,1900,1625,1387.5,1287.5,1777.5,111
10H50,10,2.30843079,the University of Houston area,13000,Robbery,101,90,88,64,37,55,343,85.8,-36.6,-45.5,-14.1,-35.9,776.9,692.3,676.9,492.3,423.1,660,64
