beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,total23,last12mos,total_prior4years,avg_prior4years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior4years,previous_year
7C40,7,3.36786526,Keith-Weiss Park and Farrington Place,8000,Assault,254,256,275,243,101,217,1028,257,-4.3,-14.6,-10.7,-15.6,3175,3200,3437.5,3037.5,2712.5,3212.5,243
22B40,22,13.03325001,"Intercontinental Airport, Northwood, Lakeview Park and Glen Lee",11000,Assault,415,447,591,671,234,587,2124,531,61.7,41.4,-12.5,10.5,3772.7,4063.6,5372.7,6100,5336.4,4827.3,671
8C10,8,3.69037316,"Tidwell Park, Shady Oak and Buckingham Place",12000,Assault,885,1001,870,853,364,765,3609,902.2,-3.6,-13.6,-10.3,-15.2,7375,8341.7,7250,7108.3,6375,7518.3,853
8C20,8,3.36154214,"Houston Gardens, Rosewood and Homestead",7000,Assault,363,409,403,340,201,376,1515,378.8,-6.3,3.6,10.6,-0.7,5185.7,5842.9,5757.1,4857.1,5371.4,5411.4,340
8C30,8,4.6258259,"Parkhurst, East Houston and Clairmont Place",11000,Assault,501,626,554,531,233,522,2212,553,6,4.2,-1.7,-5.6,4554.5,5690.9,5036.4,4827.3,4745.5,5027.3,531
8C40,8,4.97945551,"Lake Houston, Greenriver, Knoll and Lake Forest",8000,Assault,229,234,235,171,92,165,869,217.2,-25.3,-27.9,-3.5,-24,2862.5,2925,2937.5,2137.5,2062.5,2715,171
8C50,8,3.31739498,"Park North, Forest Green, Kentshire Place, Glenwood Forest and Dorchester",8000,Assault,564,612,571,457,235,477,2204,551,-19,-15.4,4.4,-13.4,7050,7650,7137.5,5712.5,5962.5,6887.5,457
8C60,8,5.79693312,"Edgeworth, Northwood Manor and Scenic Woods",19000,Assault,792,926,720,668,400,737,3106,776.5,-15.7,-6.9,10.3,-5.1,4168.4,4873.7,3789.5,3515.8,3878.9,4086.8,668
9C10,9,5.21185619,"Port of Houston, Clinton Park, Pleasantville and Fidelity Manor",6000,Assault,215,272,220,177,95,187,884,221,-17.7,-13,5.6,-15.4,3583.3,4533.3,3666.7,2950,3116.7,3683.3,177
9C20,9,7.5383173,Denver Harbor and Houston Harbor,16000,Assault,470,519,499,424,184,399,1912,478,-9.8,-15.1,-5.9,-16.5,2937.5,3243.8,3118.8,2650,2493.8,2987.5,424
9C30,9,8.13353768,"City Park East, Wynnewood Acres and Wallisville Gardens",9000,Assault,265,320,326,322,175,326,1233,308.2,21.5,23,1.2,5.8,2944.4,3555.6,3622.2,3577.8,3622.2,3424.4,322
