beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,total23,total24,last12mos,total_prior4years,avg_prior4years,inc_20to23,inc_20tolast12,inc_23tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate_last12,rate_prior4years,previous_year
7C40,7,3.36786526,Keith-Weiss Park and Farrington Place,8000,Burglary,45,56,47,40,40,8,43,183,45.8,-28.6,-23.2,7.5,-6.1,562.5,700,587.5,500,500,537.5,572.5,40
22B40,22,13.03325001,"Intercontinental Airport, Northwood, Lakeview Park and Glen Lee",11000,Burglary,119,112,126,133,99,21,94,470,117.5,-11.6,-16.1,-5.1,-20,1081.8,1018.2,1145.5,1209.1,900,854.5,1068.2,99
8C10,8,3.69037316,"Tidwell Park, Shady Oak and Buckingham Place",12000,Burglary,182,95,142,117,136,38,150,490,122.5,43.2,57.9,10.3,22.4,1516.7,791.7,1183.3,975,1133.3,1250,1020.8,136
8C20,8,3.36154214,"Houston Gardens, Rosewood and Homestead",7000,Burglary,69,47,61,59,80,12,79,247,61.8,70.2,68.1,-1.2,27.8,985.7,671.4,871.4,842.9,1142.9,1128.6,882.9,80
8C30,8,4.6258259,"Parkhurst, East Houston and Clairmont Place",11000,Burglary,112,83,84,103,155,37,162,425,106.2,86.7,95.2,4.5,52.5,1018.2,754.5,763.6,936.4,1409.1,1472.7,965.5,155
8C40,8,4.97945551,"Lake Houston, Greenriver, Knoll and Lake Forest",8000,Burglary,54,32,27,25,47,8,43,131,32.8,46.9,34.4,-8.5,31.1,675,400,337.5,312.5,587.5,537.5,410,47
8C50,8,3.31739498,"Park North, Forest Green, Kentshire Place, Glenwood Forest and Dorchester",8000,Burglary,93,58,59,84,82,22,83,283,70.8,41.4,43.1,1.2,17.2,1162.5,725,737.5,1050,1025,1037.5,885,82
8C60,8,5.79693312,"Edgeworth, Northwood Manor and Scenic Woods",19000,Burglary,140,102,109,116,108,49,147,435,108.8,5.9,44.1,36.1,35.1,736.8,536.8,573.7,610.5,568.4,773.7,572.6,108
9C10,9,5.21185619,"Port of Houston, Clinton Park, Pleasantville and Fidelity Manor",6000,Burglary,36,33,40,48,41,6,34,162,40.5,24.2,3,-17.1,-16,600,550,666.7,800,683.3,566.7,675,41
9C20,9,7.5383173,Denver Harbor and Houston Harbor,16000,Burglary,109,91,70,117,99,19,101,377,94.2,8.8,11,2,7.2,681.2,568.8,437.5,731.2,618.8,631.2,588.8,99
9C30,9,8.13353768,"City Park East, Wynnewood Acres and Wallisville Gardens",9000,Burglary,54,72,50,39,55,14,59,216,54,-23.6,-18.1,7.3,9.3,600,800,555.6,433.3,611.1,655.6,600,55
9C40,9,10.42549456,"Greens Bayou Estates, Shady Brook, Northshore",23000,Burglary,188,181,163,226,178,37,170,748,187,-1.7,-6.1,-4.5,-9.1,817.4,787,708.7,982.6,773.9,739.1,813,178
