beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,total23,2024,last12mos,total_prior4years,avg_prior4years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior4years,previous_year
22B40,22,13.03325001,"Intercontinental Airport, Northwood, Lakeview Park and Glen Lee",11000,Sexual Assault,11,14,15,10,7,2,9,50,12.5,-9.1,-18.2,-10,-28,100,127.3,136.4,90.9,81.8,113.6,10
8C10,8,3.69037316,"Tidwell Park, Shady Oak and Buckingham Place",12000,Sexual Assault,12,14,19,17,24,5,22,62,15.5,41.7,83.3,29.4,41.9,100,116.7,158.3,141.7,183.3,129.2,17
8C20,8,3.36154214,"Houston Gardens, Rosewood and Homestead",7000,Sexual Assault,5,3,6,2,5,4,6,16,4,-60,20,200,50,71.4,42.9,85.7,28.6,85.7,57.1,2
8C30,8,4.6258259,"Parkhurst, East Houston and Clairmont Place",11000,Sexual Assault,4,10,10,7,8,1,7,31,7.8,75,75,0,-10.3,36.4,90.9,90.9,63.6,63.6,70.9,7
8C40,8,4.97945551,"Lake Houston, Greenriver, Knoll and Lake Forest",8000,Sexual Assault,5,6,1,1,4,2,6,13,3.2,-80,20,500,87.5,62.5,75,12.5,12.5,75,40,1
8C50,8,3.31739498,"Park North, Forest Green, Kentshire Place, Glenwood Forest and Dorchester",8000,Sexual Assault,7,9,11,8,14,0,6,35,8.8,14.3,-14.3,-25,-31.8,87.5,112.5,137.5,100,75,110,8
8C60,8,5.79693312,"Edgeworth, Northwood Manor and Scenic Woods",19000,Sexual Assault,18,14,17,9,14,5,15,58,14.5,-50,-16.7,66.7,3.4,94.7,73.7,89.5,47.4,78.9,76.3,9
9C10,9,5.21185619,"Port of Houston, Clinton Park, Pleasantville and Fidelity Manor",6000,Sexual Assault,4,4,10,3,5,0,3,21,5.2,-25,-25,0,-42.3,66.7,66.7,166.7,50,50,86.7,3
9C20,9,7.5383173,Denver Harbor and Houston Harbor,16000,Sexual Assault,11,11,9,17,6,3,8,48,12,54.5,-27.3,-52.9,-33.3,68.8,68.8,56.2,106.3,50,75,17
9C30,9,8.13353768,"City Park East, Wynnewood Acres and Wallisville Gardens",9000,Sexual Assault,9,11,17,4,15,4,18,41,10.2,-55.6,100,350,76.5,100,122.2,188.9,44.4,200,113.3,4
9C40,9,10.42549456,"Greens Bayou Estates, Shady Brook, Northshore",23000,Sexual Assault,20,15,15,28,18,2,15,78,19.5,40,-25,-46.4,-23.1,87,65.2,65.2,121.7,65.2,84.8,28
10H10,10,2.81830654,Oak Lawn and Ranger,11000,Sexual Assault,10,5,11,2,7,1,6,28,7,-80,-40,200,-14.3,90.9,45.5,100,18.2,54.5,63.6,2
10H20,10,1.75743169,Eastwood and Broadmoor,10000,Sexual Assault,5,6,3,5,11,1,8,19,4.8,0,60,60,66.7,50,60,30,50,80,48,5
10H30,10,1.02691154,Near East End,4000,Sexual Assault,8,5,6,5,5,0,4,24,6,-37.5,-50,-20,-33.3,200,125,150,125,100,150,5
10H40,10,0.99627062,Midtown,8000,Sexual Assault,16,16,23,25,12,5,14,80,20,56.2,-12.5,-44,-30,200,200,287.5,312.5,175,250,25
