beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,total23,total24,last12mos,total_prior4years,avg_prior4years,inc_20to23,inc_20tolast12,inc_23tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate_last12,rate_prior4years,previous_year
7C20,7,7.08575157,"Huntington Place, Willshire Place, Kashmere Gardens and Liberty Gardens",21000,Theft,599,606,560,612,531,181,582,2309,577.2,-12.4,-4,9.6,0.8,2852.4,2885.7,2666.7,2914.3,2528.6,2771.4,2748.6,531
7C30,7,4.51719841,"Camden Woods, Archers Acres and Croyden Gardens",18000,Theft,394,447,475,414,452,195,543,1788,447,1.1,21.5,20.1,21.5,2188.9,2483.3,2638.9,2300,2511.1,3016.7,2483.3,452
7C40,7,3.36786526,Keith-Weiss Park and Farrington Place,8000,Theft,224,174,193,204,242,98,274,813,203.2,39.1,57.5,13.2,34.8,2800,2175,2412.5,2550,3025,3425,2540,242
22B40,22,13.03325001,"Intercontinental Airport, Northwood, Lakeview Park and Glen Lee",11000,Theft,749,719,1069,1312,1195,203,1058,4295,1073.8,66.2,47.1,-11.5,-1.5,6809.1,6536.4,9718.2,11927.3,10863.6,9618.2,9761.8,1195
8C10,8,3.69037316,"Tidwell Park, Shady Oak and Buckingham Place",12000,Theft,507,473,348,306,373,142,436,1500,375,-21.1,-7.8,16.9,16.3,4225,3941.7,2900,2550,3108.3,3633.3,3125,373
8C20,8,3.36154214,"Houston Gardens, Rosewood and Homestead",7000,Theft,144,173,156,172,131,43,144,632,158,-24.3,-16.8,9.9,-8.9,2057.1,2471.4,2228.6,2457.1,1871.4,2057.1,2257.1,131
8C30,8,4.6258259,"Parkhurst, East Houston and Clairmont Place",11000,Theft,240,284,251,263,294,84,296,1092,273,3.5,4.2,0.7,8.4,2181.8,2581.8,2281.8,2390.9,2672.7,2690.9,2481.8,294
8C40,8,4.97945551,"Lake Houston, Greenriver, Knoll and Lake Forest",8000,Theft,108,103,117,134,102,35,111,456,114,-1,7.8,8.8,-2.6,1350,1287.5,1462.5,1675,1275,1387.5,1425,102
8C50,8,3.31739498,"Park North, Forest Green, Kentshire Place, Glenwood Forest and Dorchester",8000,Theft,250,209,215,147,193,50,207,764,191,-7.7,-1,7.3,8.4,3125,2612.5,2687.5,1837.5,2412.5,2587.5,2387.5,193
8C60,8,5.79693312,"Edgeworth, Northwood Manor and Scenic Woods",19000,Theft,340,374,281,296,374,115,392,1325,331.2,0,4.8,4.8,18.4,1789.5,1968.4,1478.9,1557.9,1968.4,2063.2,1743.2,374
