beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,total23,total24,last12mos,total_prior4years,avg_prior4years,inc_20to23,inc_20tolast12,inc_23tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate_last12,rate_prior4years,previous_year
7C30,7,4.51719841,"Camden Woods, Archers Acres and Croyden Gardens",18000,Auto Theft,146,154,145,174,189,52,193,662,165.5,22.7,25.3,2.1,16.6,811.1,855.6,805.6,966.7,1050,1072.2,919.4,189
7C40,7,3.36786526,Keith-Weiss Park and Farrington Place,8000,Auto Theft,106,114,109,162,147,54,152,532,133,28.9,33.3,3.4,14.3,1325,1425,1362.5,2025,1837.5,1900,1662.5,147
22B40,22,13.03325001,"Intercontinental Airport, Northwood, Lakeview Park and Glen Lee",11000,Auto Theft,192,253,265,378,509,88,460,1405,351.2,101.2,81.8,-9.6,31,1745.5,2300,2409.1,3436.4,4627.3,4181.8,3192.7,509
8C10,8,3.69037316,"Tidwell Park, Shady Oak and Buckingham Place",12000,Auto Theft,83,93,100,106,126,31,125,425,106.2,35.5,34.4,-0.8,17.7,691.7,775,833.3,883.3,1050,1041.7,885,126
8C20,8,3.36154214,"Houston Gardens, Rosewood and Homestead",7000,Auto Theft,46,62,54,78,64,14,61,258,64.5,3.2,-1.6,-4.7,-5.4,657.1,885.7,771.4,1114.3,914.3,871.4,921.4,64
8C30,8,4.6258259,"Parkhurst, East Houston and Clairmont Place",11000,Auto Theft,77,78,92,130,155,45,166,455,113.8,98.7,112.8,7.1,45.9,700,709.1,836.4,1181.8,1409.1,1509.1,1034.5,155
8C40,8,4.97945551,"Lake Houston, Greenriver, Knoll and Lake Forest",8000,Auto Theft,42,32,42,53,39,9,39,166,41.5,21.9,21.9,0,-6,525,400,525,662.5,487.5,487.5,518.8,39
8C50,8,3.31739498,"Park North, Forest Green, Kentshire Place, Glenwood Forest and Dorchester",8000,Auto Theft,43,57,61,69,71,23,79,258,64.5,24.6,38.6,11.3,22.5,537.5,712.5,762.5,862.5,887.5,987.5,806.2,71
8C60,8,5.79693312,"Edgeworth, Northwood Manor and Scenic Woods",19000,Auto Theft,80,131,101,85,131,58,155,448,112,0,18.3,18.3,38.4,421.1,689.5,531.6,447.4,689.5,815.8,589.5,131
9C10,9,5.21185619,"Port of Houston, Clinton Park, Pleasantville and Fidelity Manor",6000,Auto Theft,37,45,35,44,23,6,18,147,36.8,-48.9,-60,-21.7,-51.1,616.7,750,583.3,733.3,383.3,300,613.3,23
9C20,9,7.5383173,Denver Harbor and Houston Harbor,16000,Auto Theft,107,103,85,93,107,28,107,388,97,3.9,3.9,0,10.3,668.8,643.8,531.2,581.2,668.8,668.8,606.2,107
9C30,9,8.13353768,"City Park East, Wynnewood Acres and Wallisville Gardens",9000,Auto Theft,102,153,108,104,156,28,132,521,130.2,2,-13.7,-15.4,1.4,1133.3,1700,1200,1155.6,1733.3,1466.7,1446.7,156
9C40,9,10.42549456,"Greens Bayou Estates, Shady Brook, Northshore",23000,Auto Theft,230,323,247,331,340,62,325,1241,310.2,5.3,0.6,-4.4,4.8,1000,1404.3,1073.9,1439.1,1478.3,1413,1348.7,340
10H10,10,2.81830654,Oak Lawn and Ranger,11000,Auto Theft,49,55,59,100,60,17,62,274,68.5,9.1,12.7,3.3,-9.5,445.5,500,536.4,909.1,545.5,563.6,622.7,60
10H20,10,1.75743169,Eastwood and Broadmoor,10000,Auto Theft,42,55,47,47,51,18,54,200,50,-7.3,-1.8,5.9,8,420,550,470,470,510,540,500,51
10H30,10,1.02691154,Near East End,4000,Auto Theft,54,47,85,86,112,25,116,330,82.5,138.3,146.8,3.6,40.6,1350,1175,2125,2150,2800,2900,2062.5,112
10H40,10,0.99627062,Midtown,8000,Auto Theft,86,77,111,124,131,28,129,443,110.8,70.1,67.5,-1.5,16.4,1075,962.5,1387.5,1550,1637.5,1612.5,1385,131
10H50,10,2.30843079,the University of Houston area,13000,Auto Theft,65,54,64,84,110,16,93,312,78,103.7,72.2,-15.5,19.2,500,415.4,492.3,646.2,846.2,715.4,600,110
10H60,10,3.08931006,"University Oaks, Riverside Terrace and the Texas Southern University area",20000,Auto Theft,75,75,91,123,150,28,138,439,109.8,100,84,-8,25.7,375,375,455,615,750,690,549,150
10H70,10,3.52217952,"Texas Medical Center, Hermann Park, Houston Zoo and Miller Outdoor Theatre",16000,Auto Theft,92,102,114,221,181,25,151,618,154.5,77.5,48,-16.6,-2.3,575,637.5,712.5,1381.2,1131.2,943.8,965.6,181
10H80,10,2.73862779,"Southampton, Rice University area, Shadow Lawn and Broad Acres",19000,Auto Theft,51,46,79,129,108,12,87,362,90.5,134.8,89.1,-19.4,-3.9,268.4,242.1,415.8,678.9,568.4,457.9,476.3,108
11H10,11,5.31502815,"Mason Park, Forest Hill, Sunnyland and Central Park",28000,Auto Theft,216,207,232,174,173,35,162,786,196.5,-16.4,-21.7,-6.4,-17.6,771.4,739.3,828.6,621.4,617.9,578.6,701.8,173
11H20,11,3.9311161,"Harrisburg, Manchester and Pecan Park",18000,Auto Theft,87,113,139,106,97,17,93,455,113.8,-14.2,-17.7,-4.1,-18.3,483.3,627.8,772.2,588.9,538.9,516.7,632.2,97
11H30,11,2.84278059,Meadow Brook and Park Place,15000,Auto Theft,144,157,188,115,135,24,117,595,148.8,-14,-25.5,-13.3,-21.4,960,1046.7,1253.3,766.7,900,780,992,135
11H40,11,6.14001938,Allendale and Oak Meadows,8000,Auto Theft,44,46,49,47,40,15,44,182,45.5,-13,-4.3,10,-3.3,550,575,612.5,587.5,500,550,568.8,40
11H50,11,2.09534157,"Meadow Creek, Ferndale Addition and Glenbrook Industrial",8000,Auto Theft,47,72,94,95,90,16,87,351,87.8,25,20.8,-3.3,-0.9,587.5,900,1175,1187.5,1125,1087.5,1097.5,90
12D10,12,8.55384717,"Almeda Mall, Southridge, Edgebrook and South Houston Gardens",44000,Auto Theft,422,450,485,558,587,72,508,2080,520,30.4,12.9,-13.5,-2.3,959.1,1022.7,1102.3,1268.2,1334.1,1154.5,1181.8,587
12D20,12,3.83700574,Sagemont,22000,Auto Theft,151,148,168,197,213,25,185,726,181.5,43.9,25,-13.1,1.9,686.4,672.7,763.6,895.5,968.2,840.9,825,213
12D30,12,3.99301158,Gulf Palms and Beamer,15000,Auto Theft,70,92,93,108,126,26,118,419,104.8,37,28.3,-6.3,12.6,466.7,613.3,620,720,840,786.7,698.7,126
12D40,12,9.68663455,Scarsdale and Ellington Field,11000,Auto Theft,76,93,85,80,92,11,81,350,87.5,-1.1,-12.9,-12,-7.4,690.9,845.5,772.7,727.3,836.4,736.4,795.5,92
12D50,12,8.93327581,"Bay Glen, Bay Oaks, Brook Forest and Bay Forest",26000,Auto Theft,6,11,13,14,20,1,15,58,14.5,81.8,36.4,-25,3.4,23.1,42.3,50,53.8,76.9,57.7,55.8,20
12D60,12,6.35832041,"NASA's Johnson Space Center, Meadow Green, Oakbrook West and Camino South",22000,Auto Theft,30,74,57,55,51,9,44,237,59.2,-31.1,-40.5,-13.7,-25.7,136.4,336.4,259.1,250,231.8,200,269.1,51
12D70,12,5.39156317,Baybrook Mall and Sterling Knoll,12000,Auto Theft,111,131,215,197,234,55,238,777,194.2,78.6,81.7,1.7,22.6,925,1091.7,1791.7,1641.7,1950,1983.3,1618.3,234
13D10,13,5.2433708,"Gulfgate Mall, Bay Forest, Riverview, Hampshire, Golfcrest and Barnett Stadium",23000,Auto Theft,289,279,274,275,226,49,215,1054,263.5,-19,-22.9,-4.9,-18.4,1256.5,1213,1191.3,1195.7,982.6,934.8,1145.7,226
13D20,13,6.66870859,"Fairlawn, Garden Villas, Glenbrook Valley and Santa Rosa",36000,Auto Theft,262,351,321,316,331,65,320,1319,329.8,-5.7,-8.8,-3.3,-3,727.8,975,891.7,877.8,919.4,888.9,916.1,331
13D30,13,3.07402543,"Allen Farms, Airport Gardens and the Hobby Airport area",2000,Auto Theft,64,41,68,48,99,16,94,256,64,141.5,129.3,-5.1,46.9,3200,2050,3400,2400,4950,4700,3200,99
13D40,13,5.0688163,"Val Verde East, Gulf Meadows and Houston Skyscraper Shadows",13000,Auto Theft,67,90,95,88,100,28,107,373,93.2,11.1,18.9,7,14.8,515.4,692.3,730.8,676.9,769.2,823.1,716.9,100
14D10,14,3.66057918,McGregor Terrace and Riverside Terrace,17000,Auto Theft,119,94,105,129,158,24,138,486,121.5,68.1,46.8,-12.7,13.6,700,552.9,617.6,758.8,929.4,811.8,714.7,158
