agency_name,county_total,murder,rape,robbery,assault,burglary,larceny,auto_theft,total,population,months,year,county
Anderson County,County Total,1,8,11,96,198,531,62,907,57491,NA,2018,Anderson
Andrews County,County Total,0,10,1,61,60,187,33,352,18130,NA,2018,Andrews
Angelina County,County Total,1,45,20,187,474,1420,150,2297,87687,NA,2018,Angelina
Aransas County,County Total,2,23,8,114,324,771,73,1315,33339,NA,2018,Aransas
Archer County,County Total,0,3,0,1,5,6,1,16,1742,NA,2018,Archer
Armstrong County,County Total,0,4,0,3,6,9,2,24,1871,NA,2018,Armstrong
Atascosa County,County Total,4,15,9,99,235,774,112,1248,50059,NA,2018,Atascosa
Austin County,County Total,0,11,3,32,82,138,29,295,29912,NA,2018,Austin
Bailey County,County Total,1,1,0,14,15,53,5,89,7047,NA,2018,Bailey
Bandera County,County Total,1,24,2,7,108,134,42,318,22557,NA,2018,Bandera
Bastrop County,County Total,5,55,28,147,317,834,102,1488,87175,NA,2018,Bastrop
Baylor County,County Total,0,2,0,5,5,28,2,42,3554,NA,2018,Baylor
Bee County,County Total,2,6,8,55,136,389,19,615,32573,NA,2018,Bee
Bell County,County Total,25,261,244,511,1553,5357,543,8494,351009,NA,2018,Bell
Bexar County,County Total,121,1575,1935,7156,10658,53394,6857,81696,1992664,NA,2018,Bexar
Blanco County,County Total,0,1,0,13,14,33,3,64,11763,NA,2018,Blanco
Borden County,County Total,0,0,0,0,4,10,1,15,675,NA,2018,Borden
Bosque County,County Total,0,0,0,4,26,45,5,80,15631,NA,2018,Bosque
Bowie County,County Total,5,50,54,202,526,1944,212,2993,93946,NA,2018,Bowie
Brazoria County,County Total,4,131,107,377,800,4241,390,6050,373587,NA,2018,Brazoria
Brazos County,County Total,4,150,83,395,784,4087,330,5833,226375,NA,2018,Brazos
Brewster County,County Total,1,4,1,19,44,37,1,107,9323,NA,2018,Brewster
Briscoe County,County Total,0,0,0,1,1,6,0,8,1510,NA,2018,Briscoe
Brooks County,County Total,0,0,0,12,79,64,0,155,7219,NA,2018,Brooks
Brown County,County Total,1,34,4,110,164,552,40,905,37943,NA,2018,Brown
Burleson County,County Total,0,6,2,27,60,109,11,215,18074,NA,2018,Burleson
Burnet County,County Total,0,29,3,74,132,400,51,689,49180,NA,2018,Burnet
Caldwell County,County Total,1,6,10,65,102,257,28,469,42396,NA,2018,Caldwell
Calhoun County,County Total,1,14,4,64,94,153,27,357,19525,NA,2018,Calhoun
Callahan County,County Total,0,1,1,7,68,61,14,152,13971,NA,2018,Callahan
Cameron County,County Total,5,176,218,917,1700,8855,348,12219,424884,NA,2018,Cameron
Camp County,County Total,0,4,0,21,55,100,20,200,12886,NA,2018,Camp
Carson County,County Total,1,2,0,19,18,26,7,73,5998,NA,2018,Carson
Cass County,County Total,0,12,6,74,151,258,42,543,29476,NA,2018,Cass
Castro County,County Total,1,3,0,11,25,51,12,103,7783,NA,2018,Castro
Chambers County,County Total,3,6,10,44,126,513,85,787,37983,NA,2018,Chambers
Cherokee County,County Total,2,22,10,143,276,545,73,1071,52155,NA,2018,Cherokee
Childress County,County Total,0,0,0,0,6,3,1,10,979,NA,2018,Childress
Clay County,County Total,0,9,5,11,65,40,19,149,10348,NA,2018,Clay
Cochran County,County Total,0,0,0,0,2,0,0,2,2803,NA,2018,Cochran
Coke County,County Total,1,0,0,0,1,0,0,2,3295,NA,2018,Coke
Coleman County,County Total,0,5,1,14,32,7,3,62,5403,NA,2018,Coleman
Collin County,County Total,11,322,261,677,1567,10238,849,13925,980246,NA,2018,Collin
Collingsworth County,County Total,0,0,0,0,0,0,0,0,2970,NA,2018,Collingsworth
Colorado County,County Total,0,5,2,17,38,135,28,225,21225,NA,2018,Colorado
Comal County,County Total,4,88,26,272,395,1330,130,2245,158668,NA,2018,Comal
Comanche County,County Total,1,1,1,22,56,115,10,206,13482,NA,2018,Comanche
Concho County,County Total,0,0,0,11,2,7,0,20,2585,NA,2018,Concho
Cooke County,County Total,0,24,13,73,124,329,26,589,39195,NA,2018,Cooke
Coryell County,County Total,0,18,12,147,198,690,36,1101,75270,NA,2018,Coryell
Cottle County,County Total,1,0,0,1,2,0,1,5,1076,NA,2018,Cottle
Crane County,County Total,0,1,0,0,5,10,2,18,4782,NA,2018,Crane
Crockett County,County Total,0,0,1,2,106,11,0,120,3535,NA,2018,Crockett
Crosby County,County Total,0,2,2,9,23,17,8,61,5864,NA,2018,Crosby
Culberson County,County Total,0,0,0,0,0,0,0,0,2201,NA,2018,Culberson
Dallam County,County Total,1,7,0,15,60,109,15,207,9970,NA,2018,Dallam
Dallas County,County Total,208,1324,5316,7339,14453,53979,14468,97087,2931219,NA,2018,Dallas
Dawson County,County Total,1,10,4,32,117,287,21,472,12523,NA,2018,Dawson
Deaf Smith County,County Total,0,7,15,81,97,276,29,505,18696,NA,2018,Deaf Smith
Delta County,County Total,0,0,0,3,10,18,1,32,5292,NA,2018,Delta
Denton County,County Total,12,353,204,620,1193,6973,663,10018,660419,NA,2018,Denton
DeWitt County,County Total,2,8,1,85,158,239,14,507,16006,NA,2018,DeWitt
Dickens County,County Total,0,1,0,0,3,0,2,6,2171,NA,2018,Dickens
Dimmit County,County Total,0,1,0,8,21,88,7,125,10447,NA,2018,Dimmit
Donley County,County Total,0,0,2,3,10,22,5,42,3245,NA,2018,Donley
Duval County,County Total,0,1,2,34,44,80,30,191,12088,NA,2018,Duval
Eastland County,County Total,0,10,1,34,72,110,18,245,17504,NA,2018,Eastland
Ector County,County Total,12,125,127,969,803,3189,633,5858,161844,NA,2018,Ector
Edwards County,County Total,0,1,0,2,11,10,0,24,1942,NA,2018,Edwards
Ellis County,County Total,2,48,48,192,311,1567,157,2325,169040,NA,2018,Ellis
El Paso County,County Total,31,464,403,2019,1369,9648,923,14857,843458,NA,2018,El Paso
Erath County,County Total,1,19,3,52,139,408,36,658,42464,NA,2018,Erath
Falls County,County Total,1,5,6,14,32,56,16,130,15210,NA,2018,Falls
Fannin County,County Total,0,19,3,30,137,191,18,398,31766,NA,2018,Fannin
Fayette County,County Total,1,6,6,48,75,201,11,348,25305,NA,2018,Fayette
Floyd County,County Total,0,8,3,29,21,45,6,112,5765,NA,2018,Floyd
Foard County,County Total,0,0,0,0,0,0,0,0,854,NA,2018,Foard
Fort Bend County,County Total,14,210,281,929,1147,6616,458,9655,752245,NA,2018,Fort Bend
Franklin County,County Total,1,0,1,15,21,26,4,68,10055,NA,2018,Franklin
Freestone County,County Total,0,0,5,23,66,120,12,226,19545,NA,2018,Freestone
Frio County,County Total,2,1,3,47,115,189,16,373,19904,NA,2018,Frio
Gaines County,County Total,0,7,2,53,56,135,19,272,21058,NA,2018,Gaines
Galveston County,County Total,25,234,225,509,1250,5851,694,8788,354271,NA,2018,Galveston
Garza County,County Total,0,0,0,7,15,17,3,42,6520,NA,2018,Garza
Gillespie County,County Total,3,3,1,11,27,131,9,185,26832,NA,2018,Gillespie
Glasscock County,County Total,0,0,0,0,2,18,1,21,1362,NA,2018,Glasscock
Goliad County,County Total,0,4,0,9,27,54,14,108,7591,NA,2018,Goliad
Gonzales County,County Total,0,18,5,101,62,169,8,363,21005,NA,2018,Gonzales
Gray County,County Total,1,15,9,95,189,516,58,883,22334,NA,2018,Gray
Grayson County,County Total,3,75,49,179,501,1443,193,2443,130122,NA,2018,Grayson
Gregg County,County Total,8,78,59,323,751,2413,318,3950,131281,NA,2018,Gregg
Grimes County,County Total,0,5,3,34,107,140,43,332,28219,NA,2018,Grimes
Guadalupe County,County Total,5,69,38,180,357,1663,119,2431,149399,NA,2018,Guadalupe
Hale County,County Total,0,7,6,78,140,437,23,691,32421,NA,2018,Hale
Hall County,County Total,0,0,0,8,25,15,7,55,2892,NA,2018,Hall
Hamilton County,County Total,0,1,0,5,14,56,11,87,7006,NA,2018,Hamilton
Hansford County,County Total,0,1,0,8,12,3,5,29,5411,NA,2018,Hansford
Hardeman County,County Total,0,0,0,0,2,4,0,6,3960,NA,2018,Hardeman
Hardin County,County Total,3,15,12,60,167,401,97,755,57322,NA,2018,Hardin
Harris County,County Total,383,2297,11553,21030,25594,105157,19565,185579,4753437,NA,2018,Harris
Harrison County,County Total,6,14,23,160,292,864,105,1464,64649,NA,2018,Harrison
Hartley County,County Total,0,0,0,1,5,2,0,8,2912,NA,2018,Hartley
Haskell County,County Total,0,0,1,1,14,11,1,28,5679,NA,2018,Haskell
Hays County,County Total,4,139,69,315,523,2330,189,3569,223395,NA,2018,Hays
Hemphill County,County Total,0,0,0,1,7,18,3,29,4048,NA,2018,Hemphill
Henderson County,County Total,4,57,20,156,351,626,108,1322,78727,NA,2018,Henderson
Hidalgo County,County Total,12,467,344,1510,2791,16631,688,22443,864550,NA,2018,Hidalgo
Hill County,County Total,1,19,7,51,136,467,48,729,34471,NA,2018,Hill
Hockley County,County Total,1,26,4,101,167,345,38,682,23058,NA,2018,Hockley
Hood County,County Total,2,24,8,63,136,698,52,983,58236,NA,2018,Hood
Hopkins County,County Total,4,14,9,26,59,131,37,280,36582,NA,2018,Hopkins
Houston County,County Total,0,2,1,41,73,197,17,331,22864,NA,2018,Houston
Howard County,County Total,3,14,15,175,205,686,109,1207,36095,NA,2018,Howard
Hudspeth County,County Total,0,0,0,3,20,4,8,35,4558,NA,2018,Hudspeth
Hunt County,County Total,3,55,15,300,255,828,113,1569,89224,NA,2018,Hunt
Hutchinson County,County Total,0,16,4,31,98,409,47,605,19394,NA,2018,Hutchinson
Irion County,County Total,0,1,0,3,7,20,3,34,1500,NA,2018,Irion
