date,count,day
2023-04-23T00:00:00Z,714,Sunday
2023-04-22T00:00:00Z,726,Saturday
2023-04-21T00:00:00Z,683,Friday
2023-04-20T00:00:00Z,749,Thursday
2023-04-19T00:00:00Z,778,Wednesday
2023-04-18T00:00:00Z,735,Tuesday
2023-04-17T00:00:00Z,715,Monday
2023-04-16T00:00:00Z,639,Sunday
2023-04-15T00:00:00Z,713,Saturday
2023-04-14T00:00:00Z,751,Friday
2023-04-13T00:00:00Z,737,Thursday
2023-04-12T00:00:00Z,693,Wednesday
2023-04-11T00:00:00Z,731,Tuesday
2023-04-10T00:00:00Z,707,Monday
2023-04-09T00:00:00Z,654,Sunday
2023-04-08T00:00:00Z,671,Saturday
2023-04-07T00:00:00Z,609,Friday
2023-04-06T00:00:00Z,676,Thursday
2023-04-05T00:00:00Z,721,Wednesday
2023-04-04T00:00:00Z,731,Tuesday
2023-04-03T00:00:00Z,716,Monday
2023-04-02T00:00:00Z,719,Sunday
2023-04-01T00:00:00Z,847,Saturday
2023-03-31T00:00:00Z,708,Friday
2023-03-30T00:00:00Z,685,Thursday
2023-03-29T00:00:00Z,672,Wednesday
2023-03-28T00:00:00Z,733,Tuesday
2023-03-27T00:00:00Z,751,Monday
2023-03-26T00:00:00Z,659,Sunday
2023-03-25T00:00:00Z,693,Saturday
2023-03-24T00:00:00Z,705,Friday
2023-03-23T00:00:00Z,688,Thursday
2023-03-22T00:00:00Z,770,Wednesday
2023-03-21T00:00:00Z,625,Tuesday
2023-03-20T00:00:00Z,688,Monday
2023-03-19T00:00:00Z,664,Sunday
2023-03-18T00:00:00Z,700,Saturday
2023-03-17T00:00:00Z,687,Friday
2023-03-16T00:00:00Z,665,Thursday
2023-03-15T00:00:00Z,636,Wednesday
2023-03-14T00:00:00Z,663,Tuesday
2023-03-13T00:00:00Z,646,Monday
2023-03-12T00:00:00Z,655,Sunday
2023-03-11T00:00:00Z,739,Saturday
2023-03-10T00:00:00Z,751,Friday
