Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2017-01-22T00:00:00Z,12,Theft,10H10,Apartment,300-399,LIVE OAK,ST,N,1
2017-01-23T00:00:00Z,09,Theft,10H10,Residence or House,300-399,ENNIS,ST,N,1
2017-01-24T00:00:00Z,10,Theft,10H10,Apartment Parking Lot,2100-2199,CANAL,ST,-,1
2017-01-24T00:00:00Z,12,Theft,10H10,Apartment Parking Lot,2800-2899,CANAL,ST,-,1
2017-01-24T00:00:00Z,22,Theft,10H10,Apartment Parking Lot,2100-2199,RUNNELS,-,-,1
2017-01-26T00:00:00Z,17,Theft,10H10,"Road, Street, or Sidewalk",400-499,LOCKWOOD,DR,S,1
2017-01-27T00:00:00Z,08,Burglary,10H10,"Laundry, Dry Cleaners, Washaterias",2000-2099,RUNNELS,-,-,1
2017-01-27T00:00:00Z,19,Aggravated Assault,10H10,"Road, Street, or Sidewalk",4400-4499,NAVIGATION,-,-,1
2017-01-28T00:00:00Z,15,Theft,10H10,Restaurant or Cafeteria Parking Lot,2800-2899,NAVIGATION,-,-,1
2017-01-29T00:00:00Z,21,Theft,10H10,"Road, Street, or Sidewalk",2300-2399,COMMERCE,ST,-,1
2017-01-29T00:00:00Z,22,Theft,10H10,Apartment Parking Lot,2100-2199,CANAL,ST,-,1
2017-01-30T00:00:00Z,07,Theft,10H10,"Road, Street, or Sidewalk",2400-2499,ROUFA,RD,-,1
2017-01-31T00:00:00Z,11,Theft,10H10,Hospital Parking Lot,100-199,ST CHARLES,-,-,1
2017-01-01T00:00:00Z,07,Aggravated Assault,10H10,Apartment,2800-2899,CANAL,ST,-,1
2017-01-01T00:00:00Z,16,Theft,10H10,,3600-3699,CANAL,ST,-,1
2017-01-01T00:00:00Z,18,Theft,10H10,Apartment Parking Lot,300-399,STILES,-,-,1
2017-01-03T00:00:00Z,15,Theft,10H10,Driveway,2300-2399,ANN,ST,-,1
2017-01-04T00:00:00Z,15,Theft,10H10,Driveway,UNK,CANAL,CT,-,1
2017-01-05T00:00:00Z,14,Burglary,10H10,Apartment,2100-2199,CANAL,ST,-,1
2017-01-07T00:00:00Z,09,Theft,10H10,Driveway,UNK,ENNIS,ST,N,1
2017-01-08T00:00:00Z,01,Theft,10H10,Car Wash,5300-5399,HARRISBURG,BLVD,-,1
2017-01-08T00:00:00Z,15,Auto Theft,10H10,"Road, Street, or Sidewalk",2500-2599,CANAL,ST,-,1
2017-01-08T00:00:00Z,16,Theft,10H10,Other Parking Lot,500-599,HUTCHESON,ST,N,1
2017-01-09T00:00:00Z,04,Theft,10H10,Apartment Parking Lot,2100-2199,RUNNELS,-,-,1
2017-01-09T00:00:00Z,08,Theft,10H10,Residence or House,2300-2399,ANN,ST,-,1
2017-01-09T00:00:00Z,17,Theft,10H10,"Road, Street, or Sidewalk",2900-2999,CANAL,ST,-,1
2017-01-10T00:00:00Z,15,Robbery,10H10,Apartment Parking Lot,1900-1999,RUNNELS,-,-,1
2017-01-11T00:00:00Z,20,Burglary,10H10,"Other, Unknown, or Not Listed",300-399,DELMAR,ST,-,1
2017-01-11T00:00:00Z,22,Theft,10H10,Restaurant or Cafeteria Parking Lot,2500-2599,NAVIGATION,-,-,1
2017-01-12T00:00:00Z,08,Theft,10H10,Apartment Parking Lot,2100-2199,RUNNELS,-,-,1
