Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2015-03-12T00:00:00Z,13,Theft,10H20,Residence or House,1600-1699,WESLEY,-,-,1
2015-03-24T00:00:00Z,07,Burglary,10H20,Office Building,4700-4799,GULF,FWY,-,1
2015-03-21T00:00:00Z,17,Aggravated Assault,10H20,Convenience Store,800-899,DUMBLE,ST,-,1
2015-03-07T00:00:00Z,11,Theft,10H20,Driveway,1500-1599,SCHARPE,-,-,1
2015-03-04T00:00:00Z,17,Burglary,10H20,Residence or House,5300-5399,JEFFERSON,ST,-,1
2015-03-03T00:00:00Z,13,Theft,10H20,Other Parking Lot,2100-2199,ERNESTINE,ST,-,1
2015-03-21T00:00:00Z,09,Burglary,10H20,Restaurant or Cafeteria,5400-5499,LAWNDALE,-,-,1
2015-03-22T00:00:00Z,12,Burglary,10H20,Vacant Building (Commercial),4700-4799,GULF,FWY,-,1
2015-03-27T00:00:00Z,03,Burglary,10H20,Commercial Building,3400-3499,RUSK,ST,-,1
2015-03-25T00:00:00Z,00,Theft,10H30,Other Parking Lot,2600-2699,BELL,ST,-,1
2015-03-25T00:00:00Z,20,Theft,10H30,Miscellaneous Business (Non-Specific),2900-2999,GULF,FWY,-,1
2015-03-28T00:00:00Z,21,Theft,10H30,Other Parking Lot,1000-1099,SAINT CHARLES,-,-,1
2015-03-28T00:00:00Z,22,Auto Theft,10H30,"Road, Street, or Sidewalk",2200-2299,DALLAS,ST,-,1
2015-03-21T00:00:00Z,19,Theft,10H30,Restaurant or Cafeteria,1500-1599,DOWLING,ST,-,1
2015-03-06T00:00:00Z,20,Robbery,10H30,Service or Gas Station,2300-2399,PEASE,-,-,1
2015-03-14T00:00:00Z,16,Auto Theft,10H30,,1600-1699,SCOTT,ST,-,1
2015-03-11T00:00:00Z,19,Theft,10H30,"Road, Street, or Sidewalk",1800-1899,ENNIS,ST,-,1
2015-03-12T00:00:00Z,00,Theft,10H30,"Road, Street, or Sidewalk",3200-3299,LAMAR,-,-,1
2015-03-04T00:00:00Z,20,Burglary,10H30,"Vacant Single Occ Resd(House,Townhs,Dplex)",800-899,ENNIS,ST,-,1
2015-02-26T00:00:00Z,14,Theft,10H30,Social Services or Public Charities,400-499,DOWLING,ST,-,1
2015-03-03T00:00:00Z,10,Theft,10H30,Other Parking Lot,2000-2099,MILBY,-,-,1
2015-03-08T00:00:00Z,15,Theft,10H30,Bar or Night Club,2000-2099,LEELAND,-,-,1
2015-03-07T00:00:00Z,21,Theft,10H30,,300-399,BASTROP,ST,-,1
2015-03-14T00:00:00Z,08,Theft,10H30,"Road, Street, or Sidewalk",2300-2399,BELL,ST,-,1
2015-03-19T00:00:00Z,17,Burglary,10H30,Residence or House,1700-1799,ADEN,DR,-,1
2015-03-18T00:00:00Z,08,Theft,10H30,Construction Site,2400-2499,CAPITOL,ST,-,1
2015-03-15T00:00:00Z,18,Theft,10H30,Bar or Night Club,800-899,ST EMANUEL,ST,-,1
2015-03-17T00:00:00Z,03,Auto Theft,10H30,Other Parking Lot,2300-2399,WALKER,ST,-,1
2015-03-26T00:00:00Z,20,Aggravated Assault,10H30,Service or Gas Station,3500-3599,GULF,FWY,-,1
2015-03-17T00:00:00Z,00,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,DALLAS,ST,-,1
2015-03-17T00:00:00Z,08,Burglary,10H30,Vacant Other Out Build/Monument/UnderConst,2200-2299,JEFFERSON,ST,-,1
2015-03-17T00:00:00Z,11,Theft,10H30,Bar or Night Club,2000-2099,TEXAS,ST,-,1
2015-03-18T00:00:00Z,00,Theft,10H30,Grocery Store or Supermarket Parking Lot,1000-1099,SAINT EMANUEL,ST,-,1
2015-03-15T00:00:00Z,18,Theft,10H30,Freeway Service Road,3200-3299,GULF,FWY,-,1
2015-03-14T00:00:00Z,08,Theft,10H30,Bar or Night Club Parking Lot,800-899,SAINT EMANUEL,ST,-,1
2015-03-10T00:00:00Z,15,Theft,10H30,"Road, Street, or Sidewalk",2000-2099,COMMERCE,ST,-,1
2015-03-09T00:00:00Z,14,Theft,10H30,Commercial Parking Lot or Garage,300-399,CHARTRES,-,-,1
2015-03-03T00:00:00Z,08,Burglary,10H30,"Vacant Single Occ Resd(House,Townhs,Dplex)",1400-1499,NAGLE,-,-,1
2015-03-01T00:00:00Z,13,Theft,10H30,Other Parking Lot,2000-2099,COMMERCE,ST,-,1
2015-03-02T00:00:00Z,19,Burglary,10H30,Residence or House,1200-1299,DELANO,-,-,1
2015-03-25T00:00:00Z,08,Theft,10H30,Commercial Parking Lot or Garage,2000-2099,RUSK,ST,-,1
2015-03-25T00:00:00Z,09,Burglary,10H30,Miscellaneous Business (Non-Specific),1800-1899,CHARTRES,-,-,1
2015-03-11T00:00:00Z,00,Theft,10H30,Bar or Night Club Parking Lot,800-899,SAINT EMANUEL,ST,-,1
2015-03-14T00:00:00Z,17,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,DALLAS,ST,-,1
2015-03-07T00:00:00Z,08,Theft,10H30,Commercial Parking Lot or Garage,2300-2399,CONGRESS,-,-,1
2013-11-07T00:00:00Z,12,Theft,10H30,"Other, Unknown, or Not Listed",3600-3699,GULF,FWY,-,1
2015-03-31T00:00:00Z,23,Robbery,10H30,"Road, Street, or Sidewalk",2300-2399,PRAIRIE,ST,-,1
2015-03-17T00:00:00Z,21,Auto Theft,10H30,Other Parking Lot,2400-2499,MCKINNEY,ST,-,1
2015-03-16T00:00:00Z,10,Burglary,10H30,Restaurant or Cafeteria,900-999,SAINT EMANUEL,ST,-,1
2015-03-10T00:00:00Z,04,Theft,10H30,Residence or House,1400-1499,PAIGE,-,-,1
2015-03-04T00:00:00Z,22,Theft,10H30,Other Parking Lot,2200-2299,DALLAS,ST,-,1
2015-03-05T00:00:00Z,15,Theft,10H30,"Vacant Single Occ Resd(House,Townhs,Dplex)",2500-2599,LAMAR,-,-,1
2015-03-02T00:00:00Z,19,Robbery,10H30,"Road, Street, or Sidewalk",1600-1699,SCOTT,ST,-,1
2015-03-05T00:00:00Z,15,Theft,10H30,Bar or Night Club Parking Lot,800-899,SAINT EMANUEL,ST,-,1
2015-03-01T00:00:00Z,17,Theft,10H30,Other Parking Lot,2100-2199,POLK,-,-,1
2015-03-18T00:00:00Z,00,Aggravated Assault,10H30,"Road, Street, or Sidewalk",800-899,CHARTRES,-,-,1
2015-03-28T00:00:00Z,21,Robbery,10H30,"Road, Street, or Sidewalk",1200-1299,MILBY,-,-,1
2015-03-28T00:00:00Z,00,Auto Theft,10H30,Other Parking Lot,2200-2299,LAMAR,-,-,1
2015-03-28T00:00:00Z,21,Theft,10H30,"Stadium, Sports Arena, Race Track",2200-2299,TEXAS,ST,-,1
2015-03-14T00:00:00Z,18,Theft,10H30,Commercial Parking Lot or Garage,2200-2299,DALLAS,ST,-,1
2015-03-13T00:00:00Z,10,Theft,10H30,"Road, Street, or Sidewalk",2000-2099,DALLAS,ST,-,1
2015-03-07T00:00:00Z,22,Theft,10H30,Strip Business Center Parking Lot,2300-2399,CONGRESS,-,-,1
2015-03-07T00:00:00Z,23,Theft,10H30,"Road, Street, or Sidewalk",2500-2599,POLK,-,-,1
2015-03-03T00:00:00Z,18,Theft,10H30,Other Parking Lot,2900-2999,POLK,ST,-,1
2015-03-06T00:00:00Z,12,Theft,10H30,Commercial Building,2000-2099,RUSK,ST,-,1
2015-03-06T00:00:00Z,10,Auto Theft,10H40,"Road, Street, or Sidewalk",2100-2199,MAIN,ST,-,1
2015-03-06T00:00:00Z,13,Theft,10H40,Residence or House,3300-3399,CRAWFORD,ST,-,1
2015-03-03T00:00:00Z,19,Theft,10H40,Miscellaneous Business (Non-Specific),4200-4299,SAN JACINTO,-,-,1
2015-03-08T00:00:00Z,11,Auto Theft,10H40,"Road, Street, or Sidewalk",1500-1599,HADLEY,ST,-,1
2015-03-09T00:00:00Z,16,Theft,10H40,Commercial Parking Lot or Garage,900-999,ELGIN,ST,-,1
2015-03-09T00:00:00Z,17,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-03-12T00:00:00Z,09,Theft,10H40,"Road, Street, or Sidewalk",1800-1899,TUAM,-,-,1
2015-03-14T00:00:00Z,23,Theft,10H40,,3500-3599,MAIN,ST,-,1
2015-03-15T00:00:00Z,15,Burglary,10H40,Residence or House,2300-2399,JACKSON,ST,-,1
2015-03-29T00:00:00Z,14,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-03-24T00:00:00Z,17,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-03-26T00:00:00Z,16,Theft,10H40,Apartment,800-899,HADLEY,ST,-,1
2015-03-27T00:00:00Z,02,Theft,10H40,"Road, Street, or Sidewalk",2600-2699,CAROLINE,ST,-,1
