Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2015-11-04T00:00:00Z,12,Theft,10H10,Service or Gas Station,4700-4799,NAVIGATION,-,-,1
2015-11-06T00:00:00Z,23,Aggravated Assault,10H10,Residence or House,200-299,ROBERTS,ST,-,1
2015-11-02T00:00:00Z,15,Theft,10H10,Service or Gas Station,3300-3399,NAVIGATION,-,-,1
2015-11-04T00:00:00Z,18,Burglary,10H10,Residence or House,200-299,STILES,-,-,1
2015-11-14T00:00:00Z,13,Robbery,10H10,Restaurant or Cafeteria Parking Lot,3000-3099,NAVIGATION,-,-,1
2015-11-23T00:00:00Z,19,Theft,10H10,"Road, Street, or Sidewalk",5300-5399,SHERMAN,-,-,1
2015-11-27T00:00:00Z,15,Burglary,10H10,Apartment,1900-1999,RUNNELS,-,-,1
2015-11-02T00:00:00Z,23,Theft,10H10,Residence or House,200-299,LENOX,ST,N,1
2015-11-07T00:00:00Z,15,Auto Theft,10H10,Apartment Parking Lot,100-199,STILES,-,-,1
2015-11-19T00:00:00Z,20,Aggravated Assault,10H10,Residence or House,5000-5099,BRADY,ST,-,2
2015-11-04T00:00:00Z,04,Theft,10H10,Residence or House,300-399,SAINT CHARLES,-,N,1
2015-11-10T00:00:00Z,17,Auto Theft,10H10,Residence or House,600-699,EASTWOOD,ST,N,1
2015-01-26T00:00:00Z,17,Theft,10H10,Convenience Store,UNK,EASTWOOD,ST,-,1
2015-11-20T00:00:00Z,22,Theft,10H10,"Road, Street, or Sidewalk",2300-2399,COMMERCE,ST,-,1
2015-11-24T00:00:00Z,06,Theft,10H10,Driveway,200-299,SUPER,ST,N,1
2015-11-07T00:00:00Z,23,Auto Theft,10H10,Driveway,200-299,LENOX,-,-,1
2015-11-09T00:00:00Z,19,Theft,10H10,"Parks and Recreation, Zoo, Swimming Pool",5000-5099,HARRISBURG,-,-,1
2015-11-19T00:00:00Z,15,Theft,10H10,"Other, Unknown, or Not Listed",5400-5499,HARRISBURG,-,-,1
2015-11-20T00:00:00Z,21,Burglary,10H10,Residence or House,3400-3499,ENGELKE,-,-,1
2015-11-17T00:00:00Z,08,Aggravated Assault,10H10,Residence or House,4300-4399,CRITES,ST,-,2
2015-11-20T00:00:00Z,20,Theft,10H10,"Road, Street, or Sidewalk",2300-2399,COMMERCE,ST,-,1
2015-11-26T00:00:00Z,08,Burglary,10H10,Convenience Store,5300-5399,CANAL,ST,-,1
2015-11-28T00:00:00Z,12,Auto Theft,10H10,Bar or Night Club Parking Lot,3900-3999,CANAL,ST,-,1
2015-11-02T00:00:00Z,11,Theft,10H10,Miscellaneous Business (Non-Specific),5100-5199,HARRISBURG,-,-,1
2015-11-09T00:00:00Z,05,Theft,10H10,"Road, Street, or Sidewalk",1900-1999,RUNNELS,-,-,1
2015-11-13T00:00:00Z,13,Burglary,10H10,Miscellaneous Business (Non-Specific),5100-5199,HARRISBURG,-,-,1
2015-11-20T00:00:00Z,00,Robbery,10H10,Apartment,2100-2199,CANAL,ST,-,1
2015-11-20T00:00:00Z,17,Burglary,10H10,Residence or House,200-299,STILES,-,-,1
2015-11-26T00:00:00Z,19,Aggravated Assault,10H10,"Road, Street, or Sidewalk",4500-4599,GARROW,-,-,1
2015-11-27T00:00:00Z,17,Murder,10H10,Residence or House,200-299,BRYAN,-,-,1
2015-11-20T00:00:00Z,07,Theft,10H20,Hotel or Motel Parking Lot,3600-3699,MCKINNEY,ST,-,1
2015-11-16T00:00:00Z,14,Theft,10H20,Other Parking Lot,2100-2199,TELEPHONE,-,-,1
2015-11-13T00:00:00Z,20,Robbery,10H20,"Road, Street, or Sidewalk",1500-1599,MUNGER,ST,-,1
2015-11-03T00:00:00Z,08,Burglary,10H20,"Vacant Single Occ Resd(House,Townhs,Dplex)",4000-4099,DALLAS,ST,-,1
2015-11-19T00:00:00Z,22,Robbery,10H20,,4000-4099,POLK,-,-,1
2015-11-23T00:00:00Z,10,Burglary,10H20,Residence or House,4400-4499,WALKER,ST,-,1
2015-11-15T00:00:00Z,05,Auto Theft,10H20,"Road, Street, or Sidewalk",1500-1599,MUNGER,ST,-,1
2015-10-31T00:00:00Z,15,Auto Theft,10H20,"Road, Street, or Sidewalk",4200-4299,IH 45,-,-,1
2015-11-22T00:00:00Z,10,Theft,10H20,"Road, Street, or Sidewalk",4300-4399,JEFFERSON,ST,-,1
2015-11-13T00:00:00Z,10,Theft,10H20,Residence or House,4000-4099,DALLAS,ST,-,1
2015-11-13T00:00:00Z,20,Robbery,10H20,"Road, Street, or Sidewalk",1300-1399,PEARSON,-,-,1
2015-10-10T00:00:00Z,08,Theft,10H20,"Road, Street, or Sidewalk",4400-4499,COYLE,ST,-,1
2015-11-04T00:00:00Z,05,Auto Theft,10H20,Driveway,4100-4199,WALKER,ST,-,1
2015-11-07T00:00:00Z,10,Theft,10H20,Other Parking Lot,4100-4199,POLK,-,-,1
2015-11-02T00:00:00Z,07,Theft,10H20,Commercial Parking Lot or Garage,3900-3999,POLK,-,-,1
2015-02-15T00:00:00Z,03,Aggravated Assault,10H20,"Road, Street, or Sidewalk",2000-2099,HENNINGER,-,-,1
2015-11-29T00:00:00Z,17,Robbery,10H20,"Furniture, Appliances, Radios, TV Store",1500-1599,TELEPHONE,-,-,1
2015-11-17T00:00:00Z,17,Burglary,10H20,Apartment,4400-4499,CLAY,-,-,1
2015-11-22T00:00:00Z,15,Burglary,10H20,Apartment,5300-5399,LEELAND,-,-,1
2015-11-23T00:00:00Z,14,Burglary,10H20,"Vacant Single Occ Resd(House,Townhs,Dplex)",4600-4699,BELL,ST,-,1
2015-11-06T00:00:00Z,07,Theft,10H20,Residence or House,3900-3999,COYLE,ST,-,1
2015-11-13T00:00:00Z,15,Robbery,10H20,"Road, Street, or Sidewalk",1400-1499,PEARSON,-,-,1
2015-11-16T00:00:00Z,11,Burglary,10H20,Residence or House,4000-4099,WALKER,ST,-,1
2015-10-31T00:00:00Z,18,Theft,10H20,Residence or House,4500-4599,GULF,FWY,-,1
2015-11-04T00:00:00Z,16,Theft,10H20,Convenience Store,4700-4799,GULF,FWY,-,1
2015-11-21T00:00:00Z,06,Burglary,10H20,Warehouse,3800-3899,GULF,FWY,-,1
