Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,Offenses
05/17/2017,09,Burglary,10H30,Construction Site,1600-1699,BUSCHONG,ST,-,1
05/17/2017,10,Theft,10H30,Construction Site,9700-9799,BENT OAK,DR,-,1
05/18/2017,08,Theft,10H30,Construction Site,3500-3599,COYLE ST,ST,-,1
05/18/2017,21,Theft,10H30,"Road, Street, or Sidewalk",2000-2099,LEELAND,-,-,1
05/19/2017,17,Theft,10H30,"Road, Street, or Sidewalk",2800-2899,CAPITOL ST,ST,-,1
05/19/2017,22,Robbery,10H30,Service or Gas Station,1700-1799,DOWLING ST,ST,-,1
05/20/2017,02,Theft,10H30,Residence or House,1700-1799,ADEN,DR,-,1
05/20/2017,13,Theft,10H30,Apartment Parking Lot,2100-2199,TEXAS ST,ST,-,1
05/20/2017,19,Theft,10H30,"Road, Street, or Sidewalk",1100-1199,HUTCHINS ST,ST,-,1
05/20/2017,21,AutoTheft,10H30,"Road, Street, or Sidewalk",1100-1199,HUTCHINS,-,-,1
05/21/2017,01,Robbery,10H30,"Road, Street, or Sidewalk",2300-2399,PEASE ST,ST,-,1
05/21/2017,09,Theft,10H30,"Road, Street, or Sidewalk",2700-2799,DALLAS ST,ST,-,1
05/21/2017,10,Theft,10H30,Garage or Carport,2400-2499,CAPITOL ST,ST,-,1
05/21/2017,11,Theft,10H30,"Road, Street, or Sidewalk",2300-2399,DALLAS ST,ST,-,1
05/22/2017,17,Theft,10H30,Commercial Parking Lot or Garage,4600-4699,BRADY,-,-,1
05/22/2017,13,AutoTheft,10H30,Commercial Parking Lot or Garage,2000-2099,RUSK ST,ST,-,1
05/22/2017,14,AutoTheft,10H30,Service or Gas Station,7700-7799,GULF,FWY,-,1
05/23/2017,09,Theft,10H30,Vacant Industrial or Manufacturing Blding,1000-1099,HOUTON OAKS,DR,-,1
05/23/2017,02,Theft,10H30,"Road, Street, or Sidewalk",2700-2799,CLAY,-,-,1
