Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,Offenses
05/11/2017,13,Burglary,15E20,Residence or House,11600-11699,ASHCROFT DR,-,-,1
05/11/2017,17,Burglary,15E20,Residence or House,10900-10999,OASIS DR,-,-,1
05/11/2017,16,Aggravated Assault,15E20,Bus Stop,10500-10599,S POST OAK RD,RD,-,1
05/12/2017,06,Theft,15E20,Driveway,5700-5799,SALUDA CREEK LN,-,-,1
05/12/2017,11,Theft,15E20,Residence or House,5700-5799,GREENCRAIG DR,-,-,1
05/12/2017,13,Aggravated Assault,15E20,Residence or House,1300-1399,BEN HUR,DR,-,1
05/12/2017,17,Theft,15E20,Grocery Store or Supermarket,18900-18999,REYNOLDS PARK,DR,-,1
05/14/2017,09,Theft,15E20,Other Parking Lot,12600-12699,MAIN ST IB,-,-,1
05/15/2017,11,Theft,15E20,Hospital Parking Lot,5500-5599,PO BOX 610027 DFW AIRPORT,-,-,1
05/15/2017,12,Aggravated Assault,15E20,Apartment,5000-5099,S. WILLOW,-,-,1
05/15/2017,16,Theft,15E20,Other Parking Lot,UNK,CHIMNEY ROCK RD/GASMER DR,-,-,1
05/17/2017,20,Burglary,15E20,Residence or House,11100-11199,DUNLAP ST,ST,-,1
05/17/2017,08,Theft,15E20,Convenience Store Parking Lot,10300-10399,S POST OAK RD,RD,-,1
05/18/2017,11,Theft,15E20,Driveway,6000-6099,MCKNIGHT,-,-,1
05/19/2017,08,Burglary,15E20,Residence or House,11600-11699,HILLCROFT ST.,-,-,1
05/19/2017,21,Robbery,15E20,Residence or House,5900-5999,HUMMINGBIRD,RD,-,1
05/20/2017,19,Robbery,15E20,Driveway,12300-12399,RAMPART,-,-,1
05/20/2017,16,Theft,15E20,Apartment Parking Lot,5200-5299,ARBOLES DR UNIT J,-,-,1
05/20/2017,16,Theft,15E20,Convenience Store Parking Lot,10300-10399,S POST OAK RD,RD,-,1
05/22/2017,20,Aggravated Assault,15E20,Apartment Parking Lot,10600-10699,S POST OAK RD,RD,-,1
05/22/2017,22,Theft,15E20,"Road, Street, or Sidewalk",5700-5799,ETTRICK DR,-,-,1
05/22/2017,15,Theft,15E20,Specialty Store (Non-Specific),7300-7399,PETRA LANE,-,-,1
05/22/2017,14,Theft,15E20,"Parks and Recreation, Zoo, Swimming Pool",11900-11999,CHIMNEY ROCK,RD,-,1
05/22/2017,11,Theft,15E20,Residence or House,7900-7999,SAM HOUSTON,PKWY,N,1
05/23/2017,03,Theft,15E20,"Road, Street, or Sidewalk",5700-5799,BURLINGHALL DR,-,-,1
05/23/2017,09,Theft,15E20,Driveway,11100-11199,ENDICOTT LN,-,-,1
05/23/2017,16,Theft,15E20,Driveway,5000-5099,STILLBROOKE DR,-,-,1
05/24/2017,07,Theft,15E20,Driveway,11100-11199,ENDICOTT LN,-,-,1
05/24/2017,06,Theft,15E20,"Road, Street, or Sidewalk",12500-12599,LANDSDOWNE DR,-,-,1
05/24/2017,11,Burglary,15E20,"Vacant Other Residential (Apartment,Dorms)",1500-1599,HEIGHTS,BLVD,-,1
05/25/2017,08,Theft,15E20,Service or Gas Station,12200-12299,HILLCROFT,AVE,-,1
05/25/2017,15,Theft,15E20,Other Parking Lot,5500-5599,WILLOW,DR,S,1
05/25/2017,12,Theft,15E20,Apartment,12100-12199,BURDINE,-,-,1
05/25/2017,14,AutoTheft,15E20,Other Parking Lot,12200-12299,HILLCROFT AVE,-,-,1
05/26/2017,07,Theft,15E20,Apartment Parking Lot,5200-5299,ARBOLES DR,-,-,1
05/27/2017,11,Burglary,15E20,Residence or House,5800-5899,MCKNIGHT,-,-,1
05/27/2017,21,Theft,15E20,"Other, Unknown, or Not Listed",11400-11499,ENDICOTT LN,-,-,1
05/29/2017,13,Theft,15E20,Residence or House,5800-5899,FIRENZA DR,-,-,1
05/29/2017,09,AutoTheft,15E20,Driveway,5700-5799,ALVARADO DR,-,-,2
05/29/2017,05,Theft,15E20,Driveway,5700-5799,ALVARADO DR,-,-,1
05/29/2017,20,Robbery,15E20,Driveway,5700-5799,ETTRICK,DR,-,1
05/30/2017,05,Theft,15E20,Residence or House,5800-5899,FARWELL,DR,-,1
05/30/2017,11,Theft,15E20,Residence or House,6000-6099,FONTENELLE DR,-,-,1
05/30/2017,10,Theft,15E20,Residence or House,6000-6099,FONTENELLE DR,-,-,1
05/31/2017,01,Aggravated Assault,15E20,Bar or Night Club Parking Lot,2400-2499,INLET,CT,-,2
05/31/2017,16,Theft,15E20,Miscellaneous Business (Non-Specific),4900-4999,WILLOWBEND BLVD,BLVD,-,1
05/01/2017,17,Theft,15E30,"Road, Street, or Sidewalk",4900-4999,SUGAR GROVE,BLVD,-,1
05/01/2017,18,Theft,15E30,Residence or House,1800-1899,LAZY CREEK,-,-,1
05/02/2017,13,Burglary,15E30,Commercial Building,3500-3599,LOOP,-,S,1
05/02/2017,17,AutoTheft,15E30,"Other, Unknown, or Not Listed",3800-3899,OMEARA DR,-,-,1
05/02/2017,17,Burglary,15E30,Apartment,7100-7199,BUFFALO SPEEDWAY,-,-,1
05/03/2017,12,AutoTheft,15E30,"Road, Street, or Sidewalk",4000-4099,WOODSHIRE ST,ST,-,1
05/03/2017,19,Theft,15E30,"Road, Street, or Sidewalk",4700-4799,BELLFORT,AVE,W,1
05/03/2017,21,Burglary,15E30,Residence or House,800-899,CHOWNING,RD,-,1
05/03/2017,22,Robbery,15E30,"Road, Street, or Sidewalk",4400-4499,FULTON,-,-,1
05/04/2017,12,Theft,15E30,Apartment Parking Lot,4000-4099,LINKWOOD DR,-,-,1
05/04/2017,09,Burglary,15E30,Residence or House,4000-4099,MISCHIRE DR,-,-,1
05/04/2017,08,Theft,15E30,Apartment Parking Lot,4000-4099,LINKWOOD DR,-,-,1
05/05/2017,05,Aggravated Assault,15E30,Grocery Store or Supermarket Parking Lot,5000-5099,INGORMAR,WAY,-,1
05/05/2017,23,Robbery,15E30,Strip Business Center Parking Lot,9500-9599,S POST OAK RD,RD,-,1
05/05/2017,15,Theft,15E30,"Other, Unknown, or Not Listed",2800-2899,BELLEFONTAINE ST,ST,-,1
05/06/2017,11,Theft,15E30,"Other, Unknown, or Not Listed",12200-12299,MAIN ST OB,-,-,1
05/06/2017,22,Aggravated Assault,15E30,Residence or House,4000-4099,OSBY,-,-,1
05/06/2017,20,Aggravated Assault,15E30,"Road, Street, or Sidewalk",4100-4199,W BELLFORT AVE,-,-,1
05/07/2017,07,AutoTheft,15E30,"Road, Street, or Sidewalk",9600-9699,KAPRI LN,-,-,1
05/08/2017,13,Theft,15E30,Strip Business Center Parking Lot,8700-8799,W LOOP S,-,-,1
05/08/2017,11,Theft,15E30,Department or Discount Store,4700-4799,BELLFORT,AVE,W,1
05/09/2017,14,Theft,15E30,Apartment Parking Lot,4600-4699,BEECHNUT ST,ST,-,1
05/09/2017,16,Burglary,15E30,Apartment,3800-3899,GLEN ARBOR DR,-,-,1
05/10/2017,00,Robbery,15E30,Apartment,11200-11299,S POST OAK RD,RD,-,1
05/10/2017,21,Burglary,15E30,Apartment,3400-3499,DUNVALE RD APT 2510,-,-,1
05/10/2017,14,Aggravated Assault,15E30,Apartment,3800-3899,N BRAESWOOD BLVD,BLVD,-,1
05/11/2017,12,Theft,15E30,"Church, Synagogue, or Temple Parking Lot",3500-3599,LINKWOOD DR,-,-,1
05/12/2017,15,Theft,15E30,Service or Gas Station,4600-4699,BEECHNUT ST,ST,-,1
05/12/2017,14,Theft,15E30,Other Parking Lot,4000-4099,S BRAESWOOD BLVD,BLVD,-,1
05/12/2017,08,Burglary,15E30,Residence or House,3400-3499,DEAL ST,ST,-,1
05/12/2017,09,Theft,15E30,Department or Discount Store,9500-9599,S POST OAK RD,RD,-,1
05/13/2017,03,Burglary,15E30,Apartment,UNK,CHARLESTON PARK DR,-,-,1
05/14/2017,07,Theft,15E30,Residence or House,2600-2699,BELLEFONTAINE ST,ST,-,1
05/14/2017,06,Burglary,15E30,Barber And Beauty Shops,3200-3299,LOOP,-,S,1
05/14/2017,10,Theft,15E30,Apartment Parking Lot,2800-2899,BELLEFONTAINE ST,ST,-,1
05/14/2017,18,Theft,15E30,"Road, Street, or Sidewalk",6800-6899,BUFFALO SPEEDWAY,-,-,1
05/15/2017,00,Theft,15E30,"Road, Street, or Sidewalk",7200-7299,WOODFERN DRIVE,-,-,1
05/15/2017,02,AutoTheft,15E30,"Road, Street, or Sidewalk",4000-4099,LEMAC,-,-,1
05/15/2017,08,Theft,15E30,Apartment Parking Lot,7500-7599,BROMPTON ST,ST,-,1
05/15/2017,15,Burglary,15E30,Rental Storage Facility,3500-3599,S LOOP W,-,-,1
05/15/2017,15,Theft,15E30,Apartment Parking Lot,8700-8799,ILONA LN,-,-,1
05/15/2017,12,Theft,15E30,Other Parking Lot,3000-3099,S BRAESWOOD BLVD,BLVD,-,1
05/15/2017,17,Theft,15E30,Driveway,9700-9799,BASSOON,DR,-,1
05/16/2017,09,Theft,15E30,"Road, Street, or Sidewalk",9800-9899,TIMBERSIDE DR,-,-,1
05/18/2017,18,Burglary,15E30,Rental Storage Facility,3500-3599,S LOOP W,-,-,1
05/18/2017,11,Theft,15E30,Driveway,3600-3699,DURHILL,-,-,1
05/18/2017,14,Robbery,15E30,Bus Stop,4800-4899,W BELLFORT AVE,-,-,1
05/19/2017,06,Aggravated Assault,15E30,"Road, Street, or Sidewalk",4000-4099,AUSTIN STREET,-,-,1
05/19/2017,09,Burglary,15E30,Apartment,9700-9799,MEYER FOREST DR,-,-,1
05/19/2017,11,Theft,15E30,Bank or Savings Institution Parking Lot,1200-1299,FRANKLIN,ST,-,1
05/20/2017,12,Theft,15E30,Grocery Store or Supermarket Parking Lot,9500-9599,S POST OAK RD,RD,-,1
05/20/2017,12,Theft,15E30,Rental Storage Facility,UNK,LINK VALLEY DR / TIMBERSIDE DR,-,-,1
05/20/2017,10,Theft,15E30,Other Parking Lot,3600-3699,W BELLFORT AVE,-,-,1
05/20/2017,22,Robbery,15E30,Apartment,7100-7199,BUFFALO SPEEDWAY APT 226,-,-,1
05/21/2017,01,Aggravated Assault,15E30,"Road, Street, or Sidewalk",4600-4699,BEECHNUT ST,ST,-,1
05/21/2017,03,Aggravated Assault,15E30,Apartment,12300-12399,MAGNOLIA CANYON,-,-,1
05/21/2017,14,Theft,15E30,Miscellaneous Business (Non-Specific),4600-4699,BEECHNUT,ST,-,1
05/21/2017,11,Theft,15E30,Bar or Night Club,11100-11199,S POST OAK RD,RD,-,1
05/22/2017,12,Aggravated Assault,15E30,"Road, Street, or Sidewalk",5200-5299,GRIGGS,RD,-,2
05/22/2017,14,Robbery,15E30,"Road, Street, or Sidewalk",13000-13099,WILLOW LANDING,LN,-,1
05/22/2017,16,Theft,15E30,Other Parking Lot,8400-8499,GREENBUSH,-,-,1
05/22/2017,18,Theft,15E30,"Other, Unknown, or Not Listed",4500-4599,HUMMINGBIRD,RD,-,1
05/22/2017,05,Burglary,15E30,Bus Station,4000-4099,BRAESWOOD,BLVD,S,1
05/23/2017,15,Theft,15E30,"Gym, Recreat, Club House, Indoor Pool",7100-7199,STELLA LINK,-,-,1
05/23/2017,15,Theft,15E30,Miscellaneous Business (Non-Specific),9200-9299,STELLA LINK,-,-,1
05/23/2017,10,Theft,15E30,Grocery Store or Supermarket Parking Lot,10300-10399,S POST OAK RD,RD,-,1
05/23/2017,21,Rape,15E30,Hospital,12900-12999,FAWNWAY DRIVE,-,-,1
05/24/2017,12,Theft,15E30,Commercial Parking Lot or Garage,4000-4099,BREAKWOOD DR,-,-,1
05/24/2017,04,Aggravated Assault,15E30,"Road, Street, or Sidewalk",10100-10199,MAIN ST OB,-,-,1
05/24/2017,18,Theft,15E30,Grocery Store or Supermarket,9500-9599,S POST OAK RD,RD,-,1
05/25/2017,07,Theft,15E30,Driveway,7300-7399,BROMPTON ST,ST,-,1
05/26/2017,22,Theft,15E30,"Road, Street, or Sidewalk",4300-4399,OMEARA DR,-,-,1
05/27/2017,18,Burglary,15E30,Apartment,11200-11299,S POST OAK RD,RD,-,1
05/27/2017,18,Theft,15E30,Miscellaneous Business (Non-Specific),9500-9599,POST OAK,RD,S,1
05/27/2017,15,Theft,15E30,Residence or House,4000-4099,BREAKWOOD DR,-,-,1
05/28/2017,11,AutoTheft,15E30,Apartment Parking Lot,4500-4599,N BRAESWOOD BLVD,BLVD,-,1
05/28/2017,12,Theft,15E30,Apartment,4000-4099,BELLFORT APT 13,-,W,1
05/28/2017,02,AutoTheft,15E30,Bar or Night Club Parking Lot,11100-11199,S POST OAK RD,RD,-,1
05/28/2017,15,Burglary,15E30,Rental Storage Facility,3500-3599,LOOP,-,S,1
05/29/2017,20,Aggravated Assault,15E30,Residence or House,4100-4199,WOODHAVEN,ST,-,1
05/30/2017,11,Theft,15E30,Grocery Store or Supermarket Parking Lot,9500-9599,S POST OAK RD,RD,-,1
05/30/2017,13,Theft,15E30,Apartment Parking Lot,10800-10899,GREENWILLOW DR,-,-,1
05/30/2017,14,Theft,15E30,"Road, Street, or Sidewalk",10300-10399,WESTPARK,DR,-,1
05/30/2017,23,Theft,15E30,Department or Discount Store,4600-4699,BEECHNUT,ST,-,1
05/31/2017,07,Burglary,15E30,Restaurant or Cafeteria,10100-10199,POST OAK,RD,S,1
05/31/2017,02,Burglary,15E30,Restaurant or Cafeteria,10400-10499,S. POST OAK,-,-,1
05/31/2017,07,Theft,15E30,Commercial Parking Lot or Garage,9500-9599,MEYER FOREST DR,-,-,1
05/31/2017,11,Burglary,15E30,Residence or House,5800-5899,FARWELL,DR,-,1
05/31/2017,11,Theft,15E30,Restaurant or Cafeteria Parking Lot,8500-8599,W LOOP S,-,-,1
05/31/2017,08,Theft,15E30,Apartment Parking Lot,9500-9599,MEYER FOREST,ST,-,1
05/31/2017,12,Robbery,15E30,Construction Site,3600-3699,LATMA DR,-,-,1
05/31/2017,12,Robbery,15E30,Residence or House,9300-9399,TIMBERSIDE DR,-,-,1
05/31/2017,21,Theft,15E30,Apartment Parking Lot,3800-3899,N BRAESWOOD BLVD,BLVD,-,1
05/01/2017,19,Theft,15E40,Miscellaneous Business (Non-Specific),8500-8599,MAIN,ST,N,1
05/01/2017,15,Theft,15E40,Department or Discount Store,2600-2699,PINEBEND,DR,-,1
05/01/2017,15,AutoTheft,15E40,Other Parking Lot,2600-2699,ROSE BAY,DR,-,1
05/01/2017,10,Theft,15E40,Department or Discount Store,8500-8599,MAIN,ST,-,1
05/01/2017,08,Theft,15E40,Apartment Parking Lot,2800-2899,BROADMEAD DR,-,-,1
05/02/2017,01,Theft,15E40,Strip Business Center Parking Lot,9500-9599,MAIN ST OB,-,-,1
05/02/2017,13,Burglary,15E40,Apartment,9100-9199,LAKES AT 610,DR,-,1
05/02/2017,18,Burglary,15E40,Residence or House,7200-7299,ALMEDA RD,RD,-,1
05/03/2017,00,Theft,15E40,Apartment Parking Lot,5500-5599,CORTEZ,DR,-,1
05/03/2017,14,Theft,15E40,Other Parking Lot,8500-8599,MAIN ST,ST,-,1
05/03/2017,12,Theft,15E40,Miscellaneous Business (Non-Specific),1300-1399,OLD SPANISH TRL,-,-,1
05/03/2017,12,Theft,15E40,"Stadium, Sports Arena, Race Track",100-199,25 S MAIN ROOM 220,-,-,1
05/03/2017,08,AutoTheft,15E40,Apartment Parking Lot,8400-8499,CAMBRIDGE ST,ST,-,1
05/03/2017,23,Robbery,15E40,Bar or Night Club,2500-2599,LOOP,-,S,1
05/03/2017,19,Burglary,15E40,Rental Storage Facility,2800-2899,S BARTELL DR,-,-,1
05/04/2017,06,AutoTheft,15E40,Other Parking Lot,UNK,MAIN ST IB,-,-,1
05/04/2017,08,AutoTheft,15E40,Hotel or Motel Parking Lot,900-999,WEST CARGO,DR,-,1
05/04/2017,09,Theft,15E40,"Stadium, Sports Arena, Race Track",8400-8499,KIRBY DR,-,-,1
05/05/2017,20,Theft,15E40,Strip Business Center Parking Lot,5000-5099,ALLEN GENOA RD 10,-,-,1
05/05/2017,02,Theft,15E40,Light Rail (Metro Rail) Vehicle,1600-1699,W BELLFORT AVE,-,-,1
05/05/2017,08,Burglary,15E40,"Physician, Doctor, Dentist's Office",8200-8299,EL RIO,ST,-,1
05/05/2017,09,Burglary,15E40,Apartment,9100-9199,LAKES AT 610 DR,-,-,1
05/06/2017,10,Theft,15E40,"Hotel, Motel, Inn, Etc.",11100-11199,ALMEDA RD,RD,-,1
05/06/2017,00,Aggravated Assault,15E40,Highway or Freeway,2900-2999,906A MIMOSA ST,ST,-,1
05/06/2017,17,AutoTheft,15E40,Driveway,1800-1899,EL PASEO ST,ST,-,1
05/07/2017,03,Robbery,15E40,Apartment Parking Lot,2400-2499,WESTRIDGE,ST,-,1
05/07/2017,11,Theft,15E40,Light Rail (Metro Rail) Vehicle,1600-1699,W BELLFORT AVE,-,-,1
05/07/2017,16,Theft,15E40,Grocery Store or Supermarket,8100-8199,KIRBY,DR,-,1
05/07/2017,23,Theft,15E40,Hospital Parking Lot,7600-7699,FANNIN ST OB,-,-,1
05/07/2017,23,Theft,15E40,Hotel or Motel Parking Lot,2900-2999,DAVID,ST,-,1
05/08/2017,11,Theft,15E40,Apartment Parking Lot,8300-8399,EL MUNDO ST,ST,-,1
05/08/2017,11,Theft,15E40,Hospital,1400-1499,LA CONCHA LN,-,-,1
05/08/2017,10,Theft,15E40,Hotel or Motel Parking Lot,8100-8199,KIRBY DR,-,-,1
05/08/2017,13,Theft,15E40,Residence or House,8800-8899,LAKES AT 610 DR,-,-,1
05/08/2017,09,Burglary,15E40,Restaurant or Cafeteria,8200-8299,MAIN,ST,-,1
05/08/2017,16,Theft,15E40,Commercial Parking Lot or Garage,5600-5699,IRISH HILL,DR,-,1
05/08/2017,17,Theft,15E40,Mobile Home,7800-7899,MAIN,-,-,1
05/08/2017,15,Theft,15E40,Alley,8800-8899,LAKES AT 610 DR,-,-,1
05/08/2017,15,Theft,15E40,Other Parking Lot,9900-9999,BUFFALO SPEEDWAY,-,-,1
05/08/2017,13,Burglary,15E40,Residence or House,7500-7599,CAMBRIDGE ST,ST,-,1
05/08/2017,20,Robbery,15E40,Other Parking Lot,1600-1699,LOOP,-,S,1
05/09/2017,08,AutoTheft,15E40,Miscellaneous Business (Non-Specific),9000-9099,KNIGHT,RD,-,1
05/09/2017,12,Theft,15E40,Service or Gas Station,9800-9899,MAIN,ST,-,1
05/09/2017,15,Theft,15E40,Department or Discount Store,9800-9899,BUFFALO SPEEDWAY,-,-,1
05/09/2017,15,Theft,15E40,Driveway,10000-10099,FANNIN ST,ST,-,1
05/09/2017,13,Burglary,15E40,Apartment,2700-2799,W BELLFORT AVE,-,-,1
05/10/2017,08,Theft,15E40,Restaurant or Cafeteria Parking Lot,8200-8299,KIRBY DR,-,-,1
05/10/2017,07,Theft,15E40,Apartment Parking Lot,2100-2199,HOLLY HALL,-,-,1
05/10/2017,13,AutoTheft,15E40,Apartment Parking Lot,8400-8499,W BARTELL DR,-,-,1
05/10/2017,10,Robbery,15E40,Apartment Parking Lot,8400-8499,CAMBRIDGE ST,ST,-,1
05/10/2017,11,AutoTheft,15E40,Rental Storage Facility,5700-5799,SILVER OAK,-,-,1
05/11/2017,00,Theft,15E40,Apartment Parking Lot,9000-9099,NOEL,ST,-,1
05/11/2017,10,Theft,15E40,Apartment Parking Lot,2600-2699,MURWORTH DR,-,-,1
05/11/2017,09,Theft,15E40,Apartment Parking Lot,2400-2499,WESTRIDGE ST,ST,-,1
05/11/2017,09,Theft,15E40,"Road, Street, or Sidewalk",2800-2899,BROADMEAD DR APT 914,-,-,1
05/11/2017,23,Robbery,15E40,Apartment Parking Lot,8200-8299,CAMBRIDGE ST,ST,-,1
05/11/2017,17,Theft,15E40,Other Parking Lot,9700-9799,BUFFALO SPEEDWAY,-,-,1
05/11/2017,17,Robbery,15E40,Other Parking Lot,8600-8699,MAIN ST,ST,-,1
05/11/2017,21,Robbery,15E40,Grocery Store or Supermarket Parking Lot,6400-6499,OLSON,LN,-,1
05/11/2017,20,Burglary,15E40,Apartment,8300-8399,PO BOX 979055,-,-,1
05/12/2017,23,AutoTheft,15E40,Bar or Night Club,6400-6499,COACHWOOD,-,-,1
05/12/2017,19,Burglary,15E40,Apartment,8300-8399,EL MUNDO ST,ST,-,1
05/12/2017,09,AutoTheft,15E40,Apartment Parking Lot,7900-7999,RITZ,ST,-,1
05/13/2017,00,Aggravated Assault,15E40,Apartment Parking Lot,2100-2199,HOLLY HALL,-,-,2
05/13/2017,02,Robbery,15E40,Apartment Parking Lot,600-699,PINELOCH DR APT-1406,-,-,1
05/13/2017,15,Theft,15E40,Restaurant or Cafeteria,3000-3099,S LOOP W,-,-,1
05/13/2017,18,Aggravated Assault,15E40,"Road, Street, or Sidewalk",1000-1099,OLD SPANISH TRL,-,-,1
05/13/2017,19,Burglary,15E40,Rental Storage Facility,10200-10299,MAIN,ST,-,1
05/13/2017,05,Theft,15E40,Apartment Parking Lot,2200-2299,HOLLY HALL,-,-,1
05/14/2017,01,Robbery,15E40,Apartment Parking Lot,2100-2199,HOLLY HALL,-,-,1
05/14/2017,01,Robbery,15E40,Bus Stop,7100-7199,ALMEDA RD APT 1107,-,-,1
05/14/2017,01,Robbery,15E40,"Road, Street, or Sidewalk",2700-2799,HEPBURN,-,-,1
05/14/2017,23,Burglary,15E40,Apartment,8100-8199,CAMBRIDGE ST,ST,-,1
05/14/2017,17,Theft,15E40,Service or Gas Station,1400-1499,SCHARPE ST APT3,-,-,1
05/14/2017,12,Theft,15E40,Car Wash,8800-8899,MAIN ST OB,-,-,1
05/14/2017,14,Theft,15E40,Apartment Parking Lot,12800-12899,BARBERS,CT,-,1
05/15/2017,07,AutoTheft,15E40,Apartment Parking Lot,8400-8499,HEARTH DR,-,-,1
05/15/2017,07,AutoTheft,15E40,Other Parking Lot,8400-8499,KIRBY DR,-,-,1
05/15/2017,17,Theft,15E40,Miscellaneous Business (Non-Specific),7800-7899,MAIN,ST,-,1
05/15/2017,18,Theft,15E40,Bank or Savings Institution Parking Lot,7500-7599,FANNIN ST IB,-,-,1
05/15/2017,18,Theft,15E40,Commercial Parking Lot or Garage,2600-2699,LOOP,-,S,1
05/15/2017,18,Theft,15E40,Grocery Store or Supermarket,7800-7899,MAIN ST,ST,-,1
05/15/2017,18,Theft,15E40,Hotel or Motel Parking Lot,2300-2399,S LOOP W,-,-,1
05/15/2017,20,Theft,15E40,Convenience Store,8600-8699,ALMEDA RD,RD,-,1
05/15/2017,19,Theft,15E40,Commercial Parking Lot or Garage,2600-2699,LOOP,-,S,1
05/15/2017,19,Theft,15E40,Drug Store or Medical Supply,7900-7999,MAIN,ST,-,1
05/15/2017,12,Theft,15E40,Commercial Parking Lot or Garage,7300-7399,FANNIN,ST,-,1
05/15/2017,12,Theft,15E40,Miscellaneous Business (Non-Specific),1200-1299,S LOOP W,-,-,1
05/15/2017,14,Aggravated Assault,15E40,Apartment,8400-8499,W BARTELL DR,-,-,1
05/15/2017,11,AutoTheft,15E40,"Road, Street, or Sidewalk",8400-8499,W BARTELL DR,-,-,1
05/15/2017,14,Burglary,15E40,Apartment,2400-2499,HOLLY HALL,-,-,1
05/16/2017,08,AutoTheft,15E40,Apartment Parking Lot,7600-7699,PHOENIX DR,-,-,1
05/16/2017,04,Theft,15E40,Hotel or Motel Parking Lot,4800-4899,HIRSCH RD APT D,-,-,1
05/16/2017,10,AutoTheft,15E40,Service or Gas Station,1700-1799,OLD SPANISH TRL,-,-,1
05/16/2017,10,Theft,15E40,Department or Discount Store,1600-1699,LOOP,-,S,1
05/16/2017,10,Theft,15E40,Hotel or Motel Parking Lot,2300-2399,S LOOP W,-,-,1
05/16/2017,14,Burglary,15E40,Apartment,2600-2699,WESTRIDGE ST,ST,-,1
05/16/2017,17,Theft,15E40,"Daycare, Child Care, or Kindergarten",8500-8599,ALMEDA RD,RD,-,1
05/17/2017,07,Burglary,15E40,"Pawn, Resale Shop, or Flea Market",8600-8699,MAIN,ST,-,1
05/17/2017,09,Theft,15E40,Apartment,2700-2799,HOLLY HALL,-,-,1
05/17/2017,06,Theft,15E40,Hotel or Motel Parking Lot,10000-10099,MAIN ST IB,-,-,1
05/17/2017,06,Aggravated Assault,15E40,"Hotel, Motel, Inn, Etc.",9300-9399,KIRBY,DR,-,2
05/17/2017,07,Theft,15E40,Apartment Parking Lot,7200-7299,ALMEDA RD,RD,-,1
05/17/2017,07,Theft,15E40,Restaurant or Cafeteria,9700-9799,BECKWOOD POST,ST,-,1
05/17/2017,15,Burglary,15E40,Apartment,10000-10099,FANNIN ST,ST,-,1
05/17/2017,15,Theft,15E40,Grocery Store or Supermarket,8100-8199,KIRBY,DR,-,1
05/17/2017,22,Theft,15E40,Service or Gas Station,8300-8399,KNIGHT,RD,-,1
05/18/2017,01,Theft,15E40,Apartment Parking Lot,3100-3199,W BELLFORT AVE,-,-,1
05/18/2017,01,AutoTheft,15E40,Service or Gas Station,1900-1999,WESTMEAD DR APT 4115,-,-,1
05/18/2017,09,Theft,15E40,Rental Storage Facility,UNK,HOLT ST / ENOCH,-,-,1
05/18/2017,14,Theft,15E40,Bar or Night Club Parking Lot,9500-9599,MAIN ST IB,-,-,1
05/18/2017,16,Theft,15E40,Restaurant or Cafeteria,8700-8799,MAIN,ST,-,1
05/18/2017,22,Burglary,15E40,Apartment,4800-4899,LEMMON,-,-,1
05/18/2017,18,Burglary,15E40,Apartment,UNK,INWOOD,WAY,-,1
05/18/2017,20,Theft,15E40,Department or Discount Store,8500-8599,MAIN ST,ST,-,1
05/19/2017,11,Theft,15E40,Apartment,7400-7499,CAMBRIDGE ST,ST,-,1
05/19/2017,17,Aggravated Assault,15E40,Park and Ride Terminal,1500-1599,W BELLFORT AVE,-,-,1
05/19/2017,17,Aggravated Assault,15E40,Restaurant or Cafeteria,9300-9399,MAIN,ST,-,1
05/19/2017,16,Theft,15E40,Miscellaneous Business (Non-Specific),8500-8599,MAIN,ST,-,1
05/19/2017,16,Theft,15E40,Other Parking Lot,7900-7999,MAIN ST,ST,-,1
05/19/2017,15,Aggravated Assault,15E40,Grocery Store or Supermarket Parking Lot,8100-8199,KIRBY DR,-,-,1
05/19/2017,19,Theft,15E40,Apartment,2100-2199,HOLLY HALL,-,-,1
05/20/2017,19,Theft,15E40,"Hotel, Motel, Inn, Etc.",7900-7999,MAIN ST,ST,-,1
05/20/2017,23,Robbery,15E40,Apartment,2100-2199,HOLLY HALL,-,-,1
05/20/2017,23,Aggravated Assault,15E40,Service or Gas Station,1600-1699,S LOOP W,-,-,1
05/21/2017,01,Theft,15E40,Hotel or Motel Parking Lot,1400-1499,OLD SPANISH,TRL,-,1
05/21/2017,04,Aggravated Assault,15E40,Highway or Freeway,1200-1299,HUNTER,DR,-,1
05/21/2017,02,Theft,15E40,Convenience Store Parking Lot,9500-9599,MAIN ST,ST,-,1
05/21/2017,05,Aggravated Assault,15E40,Apartment,10900-10999,FAIRLAND,DR,-,1
05/21/2017,12,Theft,15E40,Hotel or Motel Parking Lot,1400-1499,OLD SPANISH TRL,-,-,1
05/21/2017,19,Burglary,15E40,"Vacant Storage Fac (Barn,Garage,Warehouse)",2700-2799,HOLLY HALL,-,-,1
05/21/2017,17,Theft,15E40,Commercial Parking Lot or Garage,1200-1299,LOOP,-,S,1
05/21/2017,16,Theft,15E40,Hotel or Motel Parking Lot,8100-8199,KIRBY,DR,-,1
05/22/2017,21,Robbery,15E40,Apartment Parking Lot,8400-8499,CAMBRIDGE,ST,-,1
05/22/2017,21,Robbery,15E40,Service or Gas Station,3100-3199,S LOOP W,-,-,1
05/22/2017,21,AutoTheft,15E40,Commercial Parking Lot or Garage,8000-8099,N STADIUM DR,-,-,1
