Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2016-11-09T00:00:00Z,14,Theft,10H10,"Road, Street, or Sidewalk",200-299,ENNIS,ST,N,1
2016-11-09T00:00:00Z,23,Theft,10H10,"Road, Street, or Sidewalk",3000-3099,CANAL,ST,-,1
2016-11-10T00:00:00Z,09,Theft,10H10,"Road, Street, or Sidewalk",3000-3099,CANAL,ST,-,1
2016-11-10T00:00:00Z,23,Theft,10H10,Other Parking Lot,2300-2399,CANAL,ST,-,1
2016-11-10T00:00:00Z,23,Theft,10H10,"Road, Street, or Sidewalk",UNK,ENNIS,ST,N,1
2016-11-11T00:00:00Z,10,Auto Theft,10H10,Residence or House,5500-5599,SHERMAN,-,-,1
2016-11-12T00:00:00Z,06,Burglary,10H10,Office Building,600-699,LOCKWOOD,DR,-,1
2016-11-12T00:00:00Z,17,Burglary,10H10,Residence or House,5700-5799,BRADY,ST,-,1
2016-11-12T00:00:00Z,17,Theft,10H10,"Road, Street, or Sidewalk",2100-2199,RUNNELS,-,-,1
2016-11-13T00:00:00Z,04,Burglary,10H10,Residence or House,5300-5399,CANAL,ST,-,1
2016-11-13T00:00:00Z,07,Theft,10H10,Apartment Parking Lot,2400-2499,NAVIGATION,-,-,1
2016-11-14T00:00:00Z,14,Theft,10H10,Commercial Parking Lot or Garage,3000-3099,NAVIGATION,-,-,1
2016-11-15T00:00:00Z,15,Theft,10H10,Vehicle/Auto Sales/Lease/Auto Parts Store,100-199,HUTCHESON,-,-,1
2016-11-16T00:00:00Z,06,Robbery,10H10,Pool Hall or Game Room,5900-5999,HARRISBURG,BLVD,-,1
2016-11-16T00:00:00Z,20,Robbery,10H10,Apartment Parking Lot,1900-1999,RUNNELS,-,-,1
2016-11-17T00:00:00Z,14,Theft,10H10,Light Rail Platform,4500-4599,HARRISBURG,BLVD,-,1
2016-11-18T00:00:00Z,18,Theft,10H10,Department or Discount Store,4500-4599,HARRISBURG,BLVD,-,1
2016-10-07T00:00:00Z,22,Aggravated Assault,10H10,"Road, Street, or Sidewalk",4500-4599,HARRISBURG,-,-,1
2016-10-20T00:00:00Z,22,Burglary,10H10,Apartment,200-299,MILBY,ST,N,1
2016-11-01T00:00:00Z,21,Theft,10H10,Other Parking Lot,2300-2399,COMMERCE,ST,-,1
2016-11-03T00:00:00Z,23,Aggravated Assault,10H10,"Road, Street, or Sidewalk",6000-6099,CANAL,ST,-,1
2016-11-04T00:00:00Z,04,Burglary,10H10,Convenience Store,3300-3399,CANAL,ST,-,1
2016-11-04T00:00:00Z,06,Auto Theft,10H10,Residence or House,4400-4499,SHERMAN,-,-,1
2016-11-04T00:00:00Z,23,Robbery,10H10,"Road, Street, or Sidewalk",4700-4799,CANAL,ST,-,1
2016-11-06T00:00:00Z,09,Theft,10H10,"Road, Street, or Sidewalk",300-399,JENSEN,DR,S,1
2016-11-06T00:00:00Z,16,Robbery,10H10,Light Rail Platform,4600-4699,HARRISBURG,BLVD,-,1
2016-11-06T00:00:00Z,19,Theft,10H10,"Road, Street, or Sidewalk",2400-2499,NAVIGATION,-,-,1
2016-11-07T00:00:00Z,13,Aggravated Assault,10H10,Residence or House,400-499,EVERTON,ST,N,2
2016-11-07T00:00:00Z,14,Auto Theft,10H10,"Road, Street, or Sidewalk",3400-3499,NAVIGATION,-,-,1
2016-11-07T00:00:00Z,22,Robbery,10H10,Apartment Parking Lot,3800-3899,MENARD,-,-,1
2016-11-20T00:00:00Z,16,Auto Theft,10H10,Other Parking Lot,400-499,LOCKWOOD,DR,-,1
2016-11-20T00:00:00Z,17,Theft,10H10,Light Rail (Metro Rail) Vehicle,5500-5599,HARRISBURG,BLVD,-,1
2016-11-21T00:00:00Z,06,Auto Theft,10H10,Driveway,UNK,CLIFTON,-,-,1
2016-11-21T00:00:00Z,07,Theft,10H10,Construction Site,3300-3399,CANAL,ST,-,1
2016-11-21T00:00:00Z,10,Theft,10H10,,3300-3399,CANAL,ST,-,1
2016-11-21T00:00:00Z,23,Theft,10H10,"Road, Street, or Sidewalk",3000-3099,CANAL,ST,-,1
2016-11-22T00:00:00Z,16,Theft,10H10,"Road, Street, or Sidewalk",300-399,SIDNEY,-,-,1
2016-11-22T00:00:00Z,19,Burglary,10H10,Residence or House,5400-5499,CANAL,ST,-,1
2016-11-24T00:00:00Z,07,Auto Theft,10H10,Apartment Parking Lot,2100-2199,RUNNELS,-,-,1
2016-11-25T00:00:00Z,16,Robbery,10H10,Miscellaneous Business (Non-Specific),2000-2099,RUNNELS,-,-,1
2016-11-27T00:00:00Z,03,Burglary,10H10,Specialty Store (Non-Specific),5100-5199,HARRISBURG,BLVD,-,1
2016-11-27T00:00:00Z,08,Theft,10H10,"Road, Street, or Sidewalk",100-199,ADAM,LN,-,1
2016-11-27T00:00:00Z,12,Theft,10H10,Driveway,200-299,DRENNAN,ST,-,1
2016-11-27T00:00:00Z,14,Theft,10H10,Driveway,200-299,DRENNAN,ST,-,1
2016-11-27T00:00:00Z,18,Theft,10H10,"Road, Street, or Sidewalk",2300-2399,COMMERCE,ST,-,1
2016-11-28T00:00:00Z,23,Aggravated Assault,10H10,Residence or House,200-299,MARSDEN,-,-,2
2016-11-29T00:00:00Z,10,Aggravated Assault,10H10,Commercial Building,3100-3199,NAVIGATION,-,-,1
2016-11-30T00:00:00Z,15,Auto Theft,10H10,Miscellaneous Business (Non-Specific),3300-3399,CANAL,ST,-,1
2016-11-16T00:00:00Z,22,Auto Theft,10H20,Other Parking Lot,1100-1199,MUNGER,ST,-,1
2016-11-17T00:00:00Z,17,Theft,10H20,Convenience Store Parking Lot,4700-4799,GULF,FWY,-,1
2016-11-15T00:00:00Z,19,Theft,10H20,Residence or House,1500-1599,KEATING,-,-,1
2016-11-14T00:00:00Z,16,Auto Theft,10H20,Other Parking Lot,4500-4599,GULF FREEWAY,-,-,1
2016-11-10T00:00:00Z,08,Theft,10H20,Light Rail (Metro Rail) Vehicle,4600-4699,LEELAND,-,-,1
2016-11-07T00:00:00Z,19,Burglary,10H20,Residence or House,4700-4799,CLAY,-,-,1
2016-11-04T00:00:00Z,22,Robbery,10H20,Convenience Store,5300-5399,POLK,-,-,1
