category_name,month,count,rollavg_3month
Drug Offenses,2019-01-01,986,NA
Drug Offenses,2019-02-01,856,NA
Drug Offenses,2019-03-01,1032,958
Drug Offenses,2019-04-01,889,926
Drug Offenses,2019-05-01,885,935
Drug Offenses,2019-06-01,848,874
Drug Offenses,2019-07-01,802,845
Drug Offenses,2019-08-01,842,831
Drug Offenses,2019-09-01,805,816
Drug Offenses,2019-10-01,836,828
Drug Offenses,2019-11-01,742,794
Drug Offenses,2019-12-01,699,759
Drug Offenses,2020-01-01,766,736
Drug Offenses,2020-02-01,717,727
Drug Offenses,2020-03-01,740,741
Drug Offenses,2020-04-01,712,723
Drug Offenses,2020-05-01,1001,818
Drug Offenses,2020-06-01,574,762
Drug Offenses,2020-07-01,591,722
Drug Offenses,2020-08-01,719,628
Drug Offenses,2020-09-01,700,670
Drug Offenses,2020-10-01,841,753
Drug Offenses,2020-11-01,817,786
Drug Offenses,2020-12-01,786,815
Drug Offenses,2021-01-01,832,812
Drug Offenses,2021-02-01,644,754
Drug Offenses,2021-03-01,922,799
Drug Offenses,2021-04-01,887,818
Drug Offenses,2021-05-01,798,869
Drug Offenses,2021-06-01,807,831
Drug Offenses,2021-07-01,817,807
Drug Offenses,2021-08-01,684,769
Drug Offenses,2021-09-01,730,744
Drug Offenses,2021-10-01,784,733
Drug Offenses,2021-11-01,699,738
Drug Offenses,2021-12-01,752,745
Drug Offenses,2022-01-01,718,723
Drug Offenses,2022-02-01,821,764
Drug Offenses,2022-03-01,901,813
Drug Offenses,2022-04-01,818,847
Drug Offenses,2022-05-01,782,834
Drug Offenses,2022-06-01,716,772
Drug Offenses,2022-07-01,863,787
Drug Offenses,2022-08-01,829,803
Drug Offenses,2022-09-01,771,821
Drug Offenses,2022-10-01,853,818
Drug Offenses,2022-11-01,697,774
Drug Offenses,2022-12-01,523,691
Drug Offenses,2023-01-01,842,687
Drug Offenses,2023-02-01,793,719
Drug Offenses,2023-03-01,795,810
Drug Offenses,2023-04-01,726,771
Drug Offenses,2023-05-01,666,729
Drug Offenses,2023-06-01,595,662
Drug Offenses,2023-07-01,617,626
Drug Offenses,2023-08-01,341,518
