category_name,month,count,rollavg_3month
Burglary,2019-01-01,1298,NA
Burglary,2019-02-01,1195,NA
Burglary,2019-03-01,1285,1259
Burglary,2019-04-01,1349,1276
Burglary,2019-05-01,1555,1396
Burglary,2019-06-01,1460,1455
Burglary,2019-07-01,1511,1509
Burglary,2019-08-01,1447,1473
Burglary,2019-09-01,1475,1478
Burglary,2019-10-01,1394,1439
Burglary,2019-11-01,1453,1441
Burglary,2019-12-01,1479,1442
Burglary,2020-01-01,1474,1469
Burglary,2020-02-01,1150,1368
Burglary,2020-03-01,1200,1275
Burglary,2020-04-01,1102,1151
Burglary,2020-05-01,1244,1182
Burglary,2020-06-01,1270,1205
Burglary,2020-07-01,1341,1285
Burglary,2020-08-01,1368,1326
Burglary,2020-09-01,1214,1308
Burglary,2020-10-01,1352,1311
Burglary,2020-11-01,1300,1289
Burglary,2020-12-01,1358,1337
Burglary,2021-01-01,1258,1305
Burglary,2021-02-01,1248,1288
Burglary,2021-03-01,1013,1173
Burglary,2021-04-01,1034,1098
Burglary,2021-05-01,1187,1078
Burglary,2021-06-01,1083,1101
Burglary,2021-07-01,1159,1143
Burglary,2021-08-01,1144,1129
Burglary,2021-09-01,1139,1147
Burglary,2021-10-01,1236,1173
Burglary,2021-11-01,1178,1184
Burglary,2021-12-01,1231,1215
Burglary,2022-01-01,1096,1168
Burglary,2022-02-01,1051,1126
Burglary,2022-03-01,1140,1096
Burglary,2022-04-01,1138,1110
Burglary,2022-05-01,1225,1168
Burglary,2022-06-01,1150,1171
Burglary,2022-07-01,1340,1238
Burglary,2022-08-01,1260,1250
Burglary,2022-09-01,1210,1270
Burglary,2022-10-01,1234,1235
Burglary,2022-11-01,1109,1184
Burglary,2022-12-01,1110,1151
Burglary,2023-01-01,1305,1175
Burglary,2023-02-01,1146,1187
Burglary,2023-03-01,1211,1221
Burglary,2023-04-01,1102,1153
Burglary,2023-05-01,1171,1161
Burglary,2023-06-01,1072,1115
Burglary,2023-07-01,1166,1136
Burglary,2023-08-01,1013,1084
Burglary,2023-09-01,998,1059
Burglary,2023-10-01,1005,1005
Burglary,2023-11-01,978,994
Burglary,2023-12-01,560,848
Burglary,2024-01-01,1277,938
Burglary,2024-02-01,437,758
