category_name,month,count,rollavg_3month
Theft,2019-01-01,5427,NA
Theft,2019-02-01,5107,NA
Theft,2019-03-01,5464,5333
Theft,2019-04-01,5874,5482
Theft,2019-05-01,6716,6018
Theft,2019-06-01,6075,6222
Theft,2019-07-01,6723,6505
Theft,2019-08-01,6616,6471
Theft,2019-09-01,5971,6437
Theft,2019-10-01,6258,6282
Theft,2019-11-01,6349,6193
Theft,2019-12-01,6597,6401
Theft,2020-01-01,6561,6502
Theft,2020-02-01,6335,6498
Theft,2020-03-01,5507,6134
Theft,2020-04-01,4715,5519
Theft,2020-05-01,5450,5224
Theft,2020-06-01,5914,5360
Theft,2020-07-01,5480,5615
Theft,2020-08-01,5696,5697
Theft,2020-09-01,5386,5521
Theft,2020-10-01,5830,5637
Theft,2020-11-01,5797,5671
Theft,2020-12-01,6088,5905
Theft,2021-01-01,5698,5861
Theft,2021-02-01,4858,5548
Theft,2021-03-01,5365,5307
Theft,2021-04-01,5322,5182
Theft,2021-05-01,5717,5468
Theft,2021-06-01,5724,5588
Theft,2021-07-01,5392,5611
Theft,2021-08-01,5560,5559
Theft,2021-09-01,5704,5552
Theft,2021-10-01,5998,5754
Theft,2021-11-01,5865,5856
Theft,2021-12-01,5886,5916
Theft,2022-01-01,6224,5992
Theft,2022-02-01,5895,6002
Theft,2022-03-01,6529,6216
Theft,2022-04-01,6355,6260
Theft,2022-05-01,6483,6456
Theft,2022-06-01,6325,6388
Theft,2022-07-01,6431,6413
Theft,2022-08-01,6311,6356
Theft,2022-09-01,5804,6182
Theft,2022-10-01,6126,6080
Theft,2022-11-01,5717,5882
Theft,2022-12-01,4911,5585
Theft,2023-01-01,6202,5610
Theft,2023-02-01,5459,5524
Theft,2023-03-01,5868,5843
Theft,2023-04-01,6172,5833
Theft,2023-05-01,6282,6107
Theft,2023-06-01,5614,6023
Theft,2023-07-01,6515,6137
