category_name,month,count,rollavg_3month
Auto Theft,2019-01-01,1020,NA
Auto Theft,2019-02-01,946,NA
Auto Theft,2019-03-01,1019,995
Auto Theft,2019-04-01,1056,1007
Auto Theft,2019-05-01,1128,1068
Auto Theft,2019-06-01,1152,1112
Auto Theft,2019-07-01,1210,1163
Auto Theft,2019-08-01,1229,1197
Auto Theft,2019-09-01,1242,1227
Auto Theft,2019-10-01,1265,1245
Auto Theft,2019-11-01,1176,1228
Auto Theft,2019-12-01,1202,1214
Auto Theft,2020-01-01,1180,1186
Auto Theft,2020-02-01,1168,1183
Auto Theft,2020-03-01,1079,1142
Auto Theft,2020-04-01,1119,1122
Auto Theft,2020-05-01,1242,1147
Auto Theft,2020-06-01,1422,1261
Auto Theft,2020-07-01,1410,1358
Auto Theft,2020-08-01,1366,1399
Auto Theft,2020-09-01,1310,1362
Auto Theft,2020-10-01,1419,1365
Auto Theft,2020-11-01,1157,1295
Auto Theft,2020-12-01,1290,1289
Auto Theft,2021-01-01,1460,1302
Auto Theft,2021-02-01,1165,1305
Auto Theft,2021-03-01,1113,1246
Auto Theft,2021-04-01,1275,1184
Auto Theft,2021-05-01,1406,1265
Auto Theft,2021-06-01,1394,1358
Auto Theft,2021-07-01,1298,1366
Auto Theft,2021-08-01,1387,1360
Auto Theft,2021-09-01,1438,1374
Auto Theft,2021-10-01,1352,1392
Auto Theft,2021-11-01,1372,1387
Auto Theft,2021-12-01,1316,1347
Auto Theft,2022-01-01,1483,1390
Auto Theft,2022-02-01,1258,1352
Auto Theft,2022-03-01,1294,1345
Auto Theft,2022-04-01,1339,1297
Auto Theft,2022-05-01,1457,1363
Auto Theft,2022-06-01,1608,1468
Auto Theft,2022-07-01,1750,1605
Auto Theft,2022-08-01,1569,1642
Auto Theft,2022-09-01,1473,1597
Auto Theft,2022-10-01,1540,1527
Auto Theft,2022-11-01,1490,1501
Auto Theft,2022-12-01,1518,1516
Auto Theft,2023-01-01,1614,1541
Auto Theft,2023-02-01,1481,1538
Auto Theft,2023-03-01,1619,1571
Auto Theft,2023-04-01,1615,1572
Auto Theft,2023-05-01,1932,1722
Auto Theft,2023-06-01,490,1346
