Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2015-08-07T00:00:00Z,12,Theft,10H10,"Other, Unknown, or Not Listed",300-399,ADAMS,ST,N,1
2015-09-01T00:00:00Z,03,Aggravated Assault,10H10,Apartment,1900-1999,RUNNELS,-,-,1
2015-09-03T00:00:00Z,14,Theft,10H10,Restaurant or Cafeteria Parking Lot,3700-3799,NAVIGATION,-,-,1
2015-09-18T00:00:00Z,10,Theft,10H10,"Field, Woods, Forest, Park",800-899,YORK,-,N,1
2015-09-23T00:00:00Z,16,Aggravated Assault,10H10,"Road, Street, or Sidewalk",200-299,HUTCHESON,-,-,1
2015-09-30T00:00:00Z,20,Theft,10H10,Restaurant or Cafeteria Parking Lot,2800-2899,NAVIGATION,-,-,1
2015-07-14T00:00:00Z,14,Burglary,10H10,Residence or House,200-299,HUNT,-,-,1
2015-09-08T00:00:00Z,09,Burglary,10H10,Warehouse,500-599,BRYAN,-,N,1
2015-09-11T00:00:00Z,10,Theft,10H10,Apartment Parking Lot,2100-2199,CANAL,ST,-,1
2015-09-27T00:00:00Z,23,Robbery,10H10,"Road, Street, or Sidewalk",100-199,EASTWOOD,ST,N,1
2015-09-01T00:00:00Z,16,Auto Theft,10H10,"Road, Street, or Sidewalk",UNK,ENNIS,ST,N,1
2015-09-02T00:00:00Z,08,Burglary,10H10,"Laundry, Dry Cleaners, Washaterias",5500-5599,SHERMAN,-,-,1
2015-09-03T00:00:00Z,13,Burglary,10H10,Apartment,5100-5199,SHERMAN,-,-,1
2015-09-06T00:00:00Z,22,Theft,10H10,Service or Gas Station,500-599,LOCKWOOD,DR,-,1
2015-09-08T00:00:00Z,04,Theft,10H10,Driveway,200-299,ESTELLE,ST,-,1
2015-09-11T00:00:00Z,10,Theft,10H10,Residence or House,200-299,SUPER,-,-,1
2015-09-16T00:00:00Z,23,Theft,10H10,"Road, Street, or Sidewalk",100-199,ENNIS,ST,N,1
2015-09-19T00:00:00Z,01,Burglary,10H10,Department or Discount Store,3400-3499,NAVIGATION,-,-,1
2015-09-25T00:00:00Z,11,Theft,10H10,Vehicle/Auto Sales/Lease/Auto Parts Store,4600-4699,HARRISBURG,-,-,1
2015-09-01T00:00:00Z,13,Burglary,10H10,Residence or House,100-199,HAGERMAN,ST,N,1
2015-09-11T00:00:00Z,08,Theft,10H10,"Road, Street, or Sidewalk",2800-2899,ENGELKE,-,-,1
2015-09-19T00:00:00Z,17,Theft,10H10,"Road, Street, or Sidewalk",4300-4399,HARRISBURG,-,-,1
2015-09-19T00:00:00Z,20,Aggravated Assault,10H10,"Field, Woods, Forest, Park",5000-5099,HARRISBURG,-,-,1
2015-09-22T00:00:00Z,11,Theft,10H10,Restaurant or Cafeteria Parking Lot,2700-2799,NAVIGATION,-,-,1
2015-09-24T00:00:00Z,14,Theft,10H10,Residence or House,6000-6099,CANAL,ST,-,1
2015-09-10T00:00:00Z,07,Burglary,10H10,"Vacant Single Occ Resd(House,Townhs,Dplex)",UNK,SAMPSON,ST,N,1
2015-09-10T00:00:00Z,18,Burglary,10H10,Residence or House,UNK,OLDHAM,-,-,1
2015-09-13T00:00:00Z,09,Burglary,10H10,Apartment,1900-1999,RUNNELS,-,-,1
2015-09-19T00:00:00Z,05,Burglary,10H10,Department or Discount Store,3400-3499,NAVIGATION,-,-,1
2015-09-21T00:00:00Z,07,Auto Theft,10H10,Residence or House,2100-2199,CANAL,ST,-,1
2015-09-14T00:00:00Z,19,Theft,10H10,Residence or House,300-399,ADAMS,ST,N,1
2015-09-18T00:00:00Z,22,Robbery,10H10,Grocery Store or Supermarket,4400-4499,HARRISBURG,-,-,1
2015-09-20T00:00:00Z,09,Burglary,10H10,Apartment,1900-1999,RUNNELS,-,-,1
2015-09-24T00:00:00Z,12,Theft,10H10,Residence or House,UNK,NORWOOD,-,-,1
2015-09-25T00:00:00Z,07,Theft,10H10,Driveway,2400-2499,ROUFA,RD,-,1
