beat,district,area_sq_mi,placename,population,type,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
8C20,8,3.36154214,"Houston Gardens, Rosewood and Homestead",7247,Violent,281,312,297,82,273,890,296.7,5.7,-2.8,-8.1,-8,3877.5,4305.2,4098.2,3767.1,4094.1
8C30,8,4.6258259,"Parkhurst, East Houston and Clairmont Place",10545,Violent,378,499,419,115,394,1296,432,10.8,4.2,-6,-9,3584.6,4732.1,3973.4,3736.4,4096.7
8C40,8,4.97945551,"Lake Houston, Greenriver, Knoll and Lake Forest",7607,Violent,176,202,175,39,159,553,184.3,-0.6,-9.7,-9.1,-14,2313.7,2655.4,2300.5,2090.2,2422.8
8C50,8,3.31739498,"Park North, Forest Green, Kentshire Place, Glenwood Forest and Dorchester",8133,Violent,443,475,430,107,396,1348,449.3,-2.9,-10.6,-7.9,-12,5446.9,5840.4,5287.1,4869.1,5524.4
8C60,8,5.79693312,"Edgeworth, Northwood Manor and Scenic Woods",19229,Violent,639,713,545,164,541,1897,632.3,-14.7,-15.3,-0.7,-14,3323.1,3707.9,2834.3,2813.5,3288.3
9C10,9,5.21185619,"Port of Houston, Clinton Park, Pleasantville and Fidelity Manor",5597,Violent,180,216,171,36,154,567,189,-5,-14.4,-9.9,-19,3216,3859.2,3055.2,2751.5,3376.8
9C20,9,7.5383173,Denver Harbor and Houston Harbor,15752,Violent,402,447,348,114,342,1197,399,-13.4,-14.9,-1.7,-14,2552.1,2837.7,2209.2,2171.2,2533
9C30,9,8.13353768,"City Park East, Wynnewood Acres and Wallisville Gardens",9165,Violent,222,293,278,86,267,793,264.3,25.2,20.3,-4,1,2422.3,3196.9,3033.3,2913.3,2883.8
9C40,9,10.42549456,"Greens Bayou Estates, Shady Brook, Northshore",22769,Violent,766,764,696,184,667,2226,742,-9.1,-12.9,-4.2,-10,3364.2,3355.4,3056.8,2929.4,3258.8
10H10,10,2.81830654,Oak Lawn and Ranger,11304,Violent,315,271,259,71,245,845,281.7,-17.8,-22.2,-5.4,-13,2786.6,2397.4,2291.2,2167.4,2492
10H20,10,1.75743169,Eastwood and Broadmoor,10142,Violent,190,200,197,82,200,587,195.7,3.7,5.3,1.5,2,1873.4,1972,1942.4,1972,1929.6
