beat,district,area_sq_mi,population,type,total19,total20,total21,total22,projected22,inc_19to21,inc_19to22sofar,inc_21to22sofar,inc_3yearto22sofar,geometry,rate19,rate20,rate21,rate22,rate_multiyear
23J40,23,3.03933481,0,Other,3,1,0,1,6,-100,100,NA,350,"list(list(c(-95.1407159, -95.1445689, -95.1449349, -95.1537929, -95.1539449, -95.1625049, -95.1625589, -95.1638709, -95.1638859, -95.165145, -95.1651299, -95.1666939, -95.1666409, -95.1707759, -95.1708369, -95.1747349, -95.1747739, -95.1742619, -95.1741559, -95.1747049, -95.1745899, -95.178901, -95.180038, -95.1800229, -95.1788779, -95.1786869, -95.1765209, -95.1700739, -95.16761, -95.1645499, -95.1645499, -95.1643979, -95.164359, -95.1644359, -95.1644359, -95.1643519, -95.1643439, -95.1631159, -95.1631159, 
-95.1629709, -95.1629859, -95.1534189, -95.1535869, -95.1447139, -95.1438969, -95.1407159, 29.6149572, 29.6182002, 29.6178732, 29.6125792, 29.6210012, 29.6208162, 29.6226612, 29.6226382, 29.6230542, 29.6230212, 29.6226072, 29.6225752, 29.6207382, 29.6206622, 29.6230542, 29.6229792, 29.6215952, 29.6196932, 29.6145742, 29.6122702, 29.6105592, 29.6104502, 29.6104842, 29.6095962, 29.6096262, 29.6031262, 29.6007842, 29.5939092, 29.5912602, 29.5913022, 29.5907892, 29.5907852, 29.5893472, 29.5893452, 29.5892232, 
29.5892252, 29.5888872, 29.5889052, 29.5908232, 29.5908292, 29.5913212, 29.5914872, 29.6035552, 29.6116272, 29.6120872, 29.6149572)))",NA,NA,NA,NA,NA
23J40,23,3.03933481,0,Property,4,2,2,0,0,-50,-100,-100,-100,"list(list(c(-95.1407159, -95.1445689, -95.1449349, -95.1537929, -95.1539449, -95.1625049, -95.1625589, -95.1638709, -95.1638859, -95.165145, -95.1651299, -95.1666939, -95.1666409, -95.1707759, -95.1708369, -95.1747349, -95.1747739, -95.1742619, -95.1741559, -95.1747049, -95.1745899, -95.178901, -95.180038, -95.1800229, -95.1788779, -95.1786869, -95.1765209, -95.1700739, -95.16761, -95.1645499, -95.1645499, -95.1643979, -95.164359, -95.1644359, -95.1644359, -95.1643519, -95.1643439, -95.1631159, -95.1631159, 
-95.1629709, -95.1629859, -95.1534189, -95.1535869, -95.1447139, -95.1438969, -95.1407159, 29.6149572, 29.6182002, 29.6178732, 29.6125792, 29.6210012, 29.6208162, 29.6226612, 29.6226382, 29.6230542, 29.6230212, 29.6226072, 29.6225752, 29.6207382, 29.6206622, 29.6230542, 29.6229792, 29.6215952, 29.6196932, 29.6145742, 29.6122702, 29.6105592, 29.6104502, 29.6104842, 29.6095962, 29.6096262, 29.6031262, 29.6007842, 29.5939092, 29.5912602, 29.5913022, 29.5907892, 29.5907852, 29.5893472, 29.5893452, 29.5892232, 
29.5892252, 29.5888872, 29.5889052, 29.5908232, 29.5908292, 29.5913212, 29.5914872, 29.6035552, 29.6116272, 29.6120872, 29.6149572)))",NA,NA,NA,NA,NA
23J50,23,2.12389492,0,Other,135,209,266,44,272,97,101.5,2.3,34,"list(list(c(-95.266731, -95.2677, -95.26844, -95.269584, -95.273597, -95.27362, -95.276222, -95.276649, -95.276664, -95.27671, -95.277335, -95.278114, -95.278602, -95.278915, -95.280204, -95.280952, -95.281234, -95.281669, -95.281646, -95.285415, -95.285598, -95.285896, -95.286437, -95.288856, -95.288841, -95.288818, -95.288787, -95.288741, -95.288749, -95.288749, -95.288734, -95.288696, -95.288696, -95.288223, -95.2882, -95.287849, -95.287841, -95.288192, -95.288177, -95.288665, -95.288665, -95.288619, 
-95.288635, -95.288658, -95.288719, -95.288734, -95.288886, -95.288902, -95.288917, -95.288925, -95.288856, -95.288688, -95.288497, -95.288383, -95.287582, -95.286743, -95.286674, -95.286338, -95.286216, -95.285697, -95.285705, -95.285659, -95.285728, -95.284324, -95.283279, -95.281806, -95.27687, -95.275886, -95.271392, -95.268638, -95.26834, -95.267173, -95.266998, -95.26683, -95.266769, -95.266769, -95.26477, -95.264755, -95.264785, -95.264808, -95.264816, -95.265418, -95.265579, -95.266761, -95.267051, 
-95.267074, -95.267166, -95.267242, -95.267303, -95.267333, -95.267166, -95.267066, -95.264617, -95.264762, -95.265312, -95.266082, -95.266731, 29.6573502, 29.6577062, 29.6578712, 29.6579072, 29.6577832, 29.6575562, 29.6574912, 29.6576322, 29.6578172, 29.6579052, 29.6578822, 29.6578692, 29.6578482, 29.6578532, 29.6578252, 29.6578092, 29.6578022, 29.6577902, 29.6573672, 29.6572722, 29.6572142, 29.6571042, 29.6568622, 29.6556682, 29.6549902, 29.6534782, 29.6515592, 29.6501512, 29.6498442, 29.6495962, 
29.6487842, 29.6481352, 29.6481132, 29.6481162, 29.6467742, 29.6467752, 29.6464972, 29.6464952, 29.6461522, 29.6461572, 29.6461312, 29.6441052, 29.6419272, 29.6417272, 29.6410362, 29.6409262, 29.6395752, 29.6391942, 29.6389172, 29.6388032, 29.6380762, 29.6373702, 29.6369472, 29.6367542, 29.6355742, 29.6343382, 29.6342402, 29.6336532, 29.6334132, 29.6319902, 29.6321102, 29.6323672, 29.6343052, 29.6343282, 29.6343612, 29.6343682, 29.6344502, 29.6344752, 29.6345422, 29.6345682, 29.6344652, 29.6335822, 
29.6334302, 29.6331382, 29.6329032, 29.6326442, 29.6326612, 29.6341512, 29.6344392, 29.6350832, 29.6360812, 29.6360752, 29.6361172, 29.6372022, 29.6371972, 29.6399472, 29.6437242, 29.6467162, 29.6495792, 29.6520382, 29.6520402, 29.6535472, 29.6559522, 29.6560722, 29.6565322, 29.6570162, 29.6573502)), list(c(-95.285606, -95.285789, -95.287093, -95.288726, -95.288864, -95.288833, -95.285606, 29.6573962, 29.6575842, 29.6575672, 29.6575312, 29.6574782, 29.6558532, 29.6573962)))",NA,NA,NA,NA,NA
23J50,23,2.12389492,0,Property,135,71,117,25,155,-13.3,14.8,32.5,44,"list(list(c(-95.266731, -95.2677, -95.26844, -95.269584, -95.273597, -95.27362, -95.276222, -95.276649, -95.276664, -95.27671, -95.277335, -95.278114, -95.278602, -95.278915, -95.280204, -95.280952, -95.281234, -95.281669, -95.281646, -95.285415, -95.285598, -95.285896, -95.286437, -95.288856, -95.288841, -95.288818, -95.288787, -95.288741, -95.288749, -95.288749, -95.288734, -95.288696, -95.288696, -95.288223, -95.2882, -95.287849, -95.287841, -95.288192, -95.288177, -95.288665, -95.288665, -95.288619, 
-95.288635, -95.288658, -95.288719, -95.288734, -95.288886, -95.288902, -95.288917, -95.288925, -95.288856, -95.288688, -95.288497, -95.288383, -95.287582, -95.286743, -95.286674, -95.286338, -95.286216, -95.285697, -95.285705, -95.285659, -95.285728, -95.284324, -95.283279, -95.281806, -95.27687, -95.275886, -95.271392, -95.268638, -95.26834, -95.267173, -95.266998, -95.26683, -95.266769, -95.266769, -95.26477, -95.264755, -95.264785, -95.264808, -95.264816, -95.265418, -95.265579, -95.266761, -95.267051, 
-95.267074, -95.267166, -95.267242, -95.267303, -95.267333, -95.267166, -95.267066, -95.264617, -95.264762, -95.265312, -95.266082, -95.266731, 29.6573502, 29.6577062, 29.6578712, 29.6579072, 29.6577832, 29.6575562, 29.6574912, 29.6576322, 29.6578172, 29.6579052, 29.6578822, 29.6578692, 29.6578482, 29.6578532, 29.6578252, 29.6578092, 29.6578022, 29.6577902, 29.6573672, 29.6572722, 29.6572142, 29.6571042, 29.6568622, 29.6556682, 29.6549902, 29.6534782, 29.6515592, 29.6501512, 29.6498442, 29.6495962, 
29.6487842, 29.6481352, 29.6481132, 29.6481162, 29.6467742, 29.6467752, 29.6464972, 29.6464952, 29.6461522, 29.6461572, 29.6461312, 29.6441052, 29.6419272, 29.6417272, 29.6410362, 29.6409262, 29.6395752, 29.6391942, 29.6389172, 29.6388032, 29.6380762, 29.6373702, 29.6369472, 29.6367542, 29.6355742, 29.6343382, 29.6342402, 29.6336532, 29.6334132, 29.6319902, 29.6321102, 29.6323672, 29.6343052, 29.6343282, 29.6343612, 29.6343682, 29.6344502, 29.6344752, 29.6345422, 29.6345682, 29.6344652, 29.6335822, 
29.6334302, 29.6331382, 29.6329032, 29.6326442, 29.6326612, 29.6341512, 29.6344392, 29.6350832, 29.6360812, 29.6360752, 29.6361172, 29.6372022, 29.6371972, 29.6399472, 29.6437242, 29.6467162, 29.6495792, 29.6520382, 29.6520402, 29.6535472, 29.6559522, 29.6560722, 29.6565322, 29.6570162, 29.6573502)), list(c(-95.285606, -95.285789, -95.287093, -95.288726, -95.288864, -95.288833, -95.285606, 29.6573962, 29.6575842, 29.6575672, 29.6575312, 29.6574782, 29.6558532, 29.6573962)))",NA,NA,NA,NA,NA
23J50,23,2.12389492,0,Violent,20,18,23,7,43,15,115,87,111,"list(list(c(-95.266731, -95.2677, -95.26844, -95.269584, -95.273597, -95.27362, -95.276222, -95.276649, -95.276664, -95.27671, -95.277335, -95.278114, -95.278602, -95.278915, -95.280204, -95.280952, -95.281234, -95.281669, -95.281646, -95.285415, -95.285598, -95.285896, -95.286437, -95.288856, -95.288841, -95.288818, -95.288787, -95.288741, -95.288749, -95.288749, -95.288734, -95.288696, -95.288696, -95.288223, -95.2882, -95.287849, -95.287841, -95.288192, -95.288177, -95.288665, -95.288665, -95.288619, 
-95.288635, -95.288658, -95.288719, -95.288734, -95.288886, -95.288902, -95.288917, -95.288925, -95.288856, -95.288688, -95.288497, -95.288383, -95.287582, -95.286743, -95.286674, -95.286338, -95.286216, -95.285697, -95.285705, -95.285659, -95.285728, -95.284324, -95.283279, -95.281806, -95.27687, -95.275886, -95.271392, -95.268638, -95.26834, -95.267173, -95.266998, -95.26683, -95.266769, -95.266769, -95.26477, -95.264755, -95.264785, -95.264808, -95.264816, -95.265418, -95.265579, -95.266761, -95.267051, 
-95.267074, -95.267166, -95.267242, -95.267303, -95.267333, -95.267166, -95.267066, -95.264617, -95.264762, -95.265312, -95.266082, -95.266731, 29.6573502, 29.6577062, 29.6578712, 29.6579072, 29.6577832, 29.6575562, 29.6574912, 29.6576322, 29.6578172, 29.6579052, 29.6578822, 29.6578692, 29.6578482, 29.6578532, 29.6578252, 29.6578092, 29.6578022, 29.6577902, 29.6573672, 29.6572722, 29.6572142, 29.6571042, 29.6568622, 29.6556682, 29.6549902, 29.6534782, 29.6515592, 29.6501512, 29.6498442, 29.6495962, 
29.6487842, 29.6481352, 29.6481132, 29.6481162, 29.6467742, 29.6467752, 29.6464972, 29.6464952, 29.6461522, 29.6461572, 29.6461312, 29.6441052, 29.6419272, 29.6417272, 29.6410362, 29.6409262, 29.6395752, 29.6391942, 29.6389172, 29.6388032, 29.6380762, 29.6373702, 29.6369472, 29.6367542, 29.6355742, 29.6343382, 29.6342402, 29.6336532, 29.6334132, 29.6319902, 29.6321102, 29.6323672, 29.6343052, 29.6343282, 29.6343612, 29.6343682, 29.6344502, 29.6344752, 29.6345422, 29.6345682, 29.6344652, 29.6335822, 
29.6334302, 29.6331382, 29.6329032, 29.6326442, 29.6326612, 29.6341512, 29.6344392, 29.6350832, 29.6360812, 29.6360752, 29.6361172, 29.6372022, 29.6371972, 29.6399472, 29.6437242, 29.6467162, 29.6495792, 29.6520382, 29.6520402, 29.6535472, 29.6559522, 29.6560722, 29.6565322, 29.6570162, 29.6573502)), list(c(-95.285606, -95.285789, -95.287093, -95.288726, -95.288864, -95.288833, -95.285606, 29.6573962, 29.6575842, 29.6575672, 29.6575312, 29.6574782, 29.6558532, 29.6573962)))",NA,NA,NA,NA,NA
1A10,1,1.74646692,12016,Other,1018,1681,2002,276,1707,96.7,67.7,-14.7,9,"list(list(c(-95.35057, -95.350478, -95.350425, -95.35041, -95.350295, -95.350326, -95.350318, -95.350448, -95.350585, -95.351432, -95.352081, -95.352683, -95.353088, -95.354812, -95.355506, -95.355766, -95.35601, -95.357124, -95.35826, -95.358924, -95.359237, -95.359672, -95.360137, -95.360351, -95.360488, -95.36071, -95.361068, -95.361419, -95.361625, -95.364005, -95.36444, -95.364692, -95.364936, -95.365203, -95.365447, -95.365676, -95.36592, -95.366195, -95.366645, -95.366989, -95.367195, -95.367362, 
-95.367668, -95.36798, -95.368163, -95.368469, -95.368705, -95.369041, -95.369468, -95.369743, -95.370117, -95.370483, -95.370689, -95.370925, -95.371208, -95.371391, -95.371604, -95.371803, -95.371978, -95.372154, -95.372299, -95.372444, -95.372573, -95.372718, -95.372871, -95.373031, -95.373184, -95.373336, -95.373481, -95.373596, -95.373733, -95.373878, -95.374015, -95.374107, -95.374297, -95.374481, -95.374572, -95.374664, -95.37474, -95.374801, -95.374877, -95.374923, -95.374961, -95.374976, 
-95.374992, -95.375015, -95.375022, -95.374999, -95.374984, -95.374954, -95.374755, -95.374732, -95.374702, -95.374664, -95.374626, -95.374587, -95.374534, -95.374473, -95.37442, -95.374351, -95.374244, -95.374114, -95.373962, -95.373794, -95.37358, -95.37326, -95.372833, -95.371948, -95.371032, -95.370178, -95.369346, -95.368446, -95.367591, -95.366737, -95.365882, -95.365028, -95.364761, -95.364639, -95.364456, -95.364303, -95.364158, -95.364066, -95.364028, -95.363967, -95.364005, -95.364051, 
-95.364585, -95.364044, -95.363929, -95.363517, -95.363365, -95.363105, -95.362884, -95.3627315, -95.362579, -95.362304, -95.362007, -95.361648, -95.361022, -95.360793, -95.360381, -95.359542, -95.3594829, -95.359199, -95.360008, -95.360862, -95.361091, -95.361312, -95.361396, -95.3614507, -95.361511, -95.361518, -95.361518, -95.361488, -95.361381, -95.360397, -95.360061, -95.359886, -95.358726, -95.358322, -95.357658, -95.357124, -95.356902, -95.355819, -95.355239, -95.354637, -95.354026, -95.353393, 
-95.352836, -95.352226, -95.351623, -95.351051, -95.350425, -95.350295, -95.349967, -95.349792, -95.349746, -95.349731, -95.349708, -95.349677, -95.349563, -95.349296, -95.348754, -95.347961, -95.347404, -95.347122, -95.347221, -95.347831, -95.348045, -95.348327, -95.348525, -95.348693, -95.348846, -95.349037, -95.349151, -95.349372, -95.3494277, -95.349494, -95.349723, -95.349876, -95.35073, -95.350814, -95.350807, -95.35057, 29.7669802, 29.7675512, 29.7681082, 29.7686052, 29.7686022, 29.7696112, 
29.7700132, 29.7700152, 29.7699922, 29.7699182, 29.7697632, 29.7695652, 29.7693952, 29.7686382, 29.7683142, 29.7681722, 29.7680662, 29.7676942, 29.7673052, 29.7670992, 29.7670302, 29.7669942, 29.7669982, 29.7670172, 29.7670362, 29.7670932, 29.7672002, 29.7673242, 29.7673492, 29.7680102, 29.7680922, 29.7681042, 29.7680832, 29.7680332, 29.7679252, 29.7677872, 29.7675552, 29.7672672, 29.7662272, 29.7663072, 29.7658912, 29.7655802, 29.7651262, 29.7648082, 29.7646362, 29.7644262, 29.7642892, 29.7641002, 
29.7638812, 29.7637462, 29.7635722, 29.7634312, 29.7633892, 29.7633432, 29.7632882, 29.7632362, 29.7631752, 29.7631182, 29.7630652, 29.7630072, 29.7629502, 29.7628912, 29.7628382, 29.7627562, 29.7626832, 29.7626012, 29.7625062, 29.7624052, 29.7622942, 29.7621972, 29.7620712, 29.7619412, 29.7618022, 29.7616952, 29.7614642, 29.7611652, 29.7610142, 29.7608412, 29.7606522, 29.7604732, 29.7602532, 29.7600832, 29.7599122, 29.7597692, 29.7596032, 29.7592162, 29.7578122, 29.7567462, 29.7555382, 29.7539512, 
29.7534402, 29.7531712, 29.7529882, 29.7527922, 29.7526142, 29.7524852, 29.7523012, 29.7521372, 29.7520152, 29.7518802, 29.7516822, 29.7514872, 29.7513022, 29.7510862, 29.7508442, 29.7505522, 29.7502402, 29.7497192, 29.7491872, 29.7486872, 29.7481972, 29.7476612, 29.7471402, 29.7466252, 29.7461062, 29.7455952, 29.7454202, 29.7452462, 29.7450552, 29.7448462, 29.7445792, 29.7443332, 29.7441802, 29.7437152, 29.7433622, 29.7431422, 29.7424822, 29.7421472, 29.7420742, 29.7426752, 29.7430152, 29.7431752, 
29.7432842, 29.7433372, 29.7433902, 29.7434592, 29.7434892, 29.7435092, 29.7434342, 29.7433942, 29.7432972, 29.7430972, 29.7430694, 29.7434246, 29.7439322, 29.7444572, 29.7446242, 29.7448892, 29.7450252, 29.7451608, 29.7453912, 29.7455592, 29.7457632, 29.7458682, 29.7460012, 29.7471252, 29.7475752, 29.7477412, 29.7491142, 29.7496202, 29.7503942, 29.7510042, 29.7512962, 29.7526092, 29.7533182, 29.7540812, 29.7548712, 29.7556812, 29.7563772, 29.7571482, 29.7579152, 29.7586362, 29.7594122, 29.7595862, 
29.7601332, 29.7606462, 29.7609492, 29.7612702, 29.7617052, 29.7625672, 29.7630092, 29.7641582, 29.7652082, 29.7658492, 29.7662122, 29.7662982, 29.7664482, 29.7665532, 29.7665532, 29.7665532, 29.7665532, 29.7664312, 29.7663132, 29.7661702, 29.7660842, 29.7659162, 29.765876, 29.7658282, 29.7656512, 29.7656052, 29.7653382, 29.7653382, 29.7653882, 29.7669802)))",8472,13989.7,16661.1,14206.1,13040.9
1A10,1,1.74646692,12016,Property,1740,1112,1255,222,1373,-27.9,-21.1,9.4,0,"list(list(c(-95.35057, -95.350478, -95.350425, -95.35041, -95.350295, -95.350326, -95.350318, -95.350448, -95.350585, -95.351432, -95.352081, -95.352683, -95.353088, -95.354812, -95.355506, -95.355766, -95.35601, -95.357124, -95.35826, -95.358924, -95.359237, -95.359672, -95.360137, -95.360351, -95.360488, -95.36071, -95.361068, -95.361419, -95.361625, -95.364005, -95.36444, -95.364692, -95.364936, -95.365203, -95.365447, -95.365676, -95.36592, -95.366195, -95.366645, -95.366989, -95.367195, -95.367362, 
-95.367668, -95.36798, -95.368163, -95.368469, -95.368705, -95.369041, -95.369468, -95.369743, -95.370117, -95.370483, -95.370689, -95.370925, -95.371208, -95.371391, -95.371604, -95.371803, -95.371978, -95.372154, -95.372299, -95.372444, -95.372573, -95.372718, -95.372871, -95.373031, -95.373184, -95.373336, -95.373481, -95.373596, -95.373733, -95.373878, -95.374015, -95.374107, -95.374297, -95.374481, -95.374572, -95.374664, -95.37474, -95.374801, -95.374877, -95.374923, -95.374961, -95.374976, 
-95.374992, -95.375015, -95.375022, -95.374999, -95.374984, -95.374954, -95.374755, -95.374732, -95.374702, -95.374664, -95.374626, -95.374587, -95.374534, -95.374473, -95.37442, -95.374351, -95.374244, -95.374114, -95.373962, -95.373794, -95.37358, -95.37326, -95.372833, -95.371948, -95.371032, -95.370178, -95.369346, -95.368446, -95.367591, -95.366737, -95.365882, -95.365028, -95.364761, -95.364639, -95.364456, -95.364303, -95.364158, -95.364066, -95.364028, -95.363967, -95.364005, -95.364051, 
-95.364585, -95.364044, -95.363929, -95.363517, -95.363365, -95.363105, -95.362884, -95.3627315, -95.362579, -95.362304, -95.362007, -95.361648, -95.361022, -95.360793, -95.360381, -95.359542, -95.3594829, -95.359199, -95.360008, -95.360862, -95.361091, -95.361312, -95.361396, -95.3614507, -95.361511, -95.361518, -95.361518, -95.361488, -95.361381, -95.360397, -95.360061, -95.359886, -95.358726, -95.358322, -95.357658, -95.357124, -95.356902, -95.355819, -95.355239, -95.354637, -95.354026, -95.353393, 
-95.352836, -95.352226, -95.351623, -95.351051, -95.350425, -95.350295, -95.349967, -95.349792, -95.349746, -95.349731, -95.349708, -95.349677, -95.349563, -95.349296, -95.348754, -95.347961, -95.347404, -95.347122, -95.347221, -95.347831, -95.348045, -95.348327, -95.348525, -95.348693, -95.348846, -95.349037, -95.349151, -95.349372, -95.3494277, -95.349494, -95.349723, -95.349876, -95.35073, -95.350814, -95.350807, -95.35057, 29.7669802, 29.7675512, 29.7681082, 29.7686052, 29.7686022, 29.7696112, 
29.7700132, 29.7700152, 29.7699922, 29.7699182, 29.7697632, 29.7695652, 29.7693952, 29.7686382, 29.7683142, 29.7681722, 29.7680662, 29.7676942, 29.7673052, 29.7670992, 29.7670302, 29.7669942, 29.7669982, 29.7670172, 29.7670362, 29.7670932, 29.7672002, 29.7673242, 29.7673492, 29.7680102, 29.7680922, 29.7681042, 29.7680832, 29.7680332, 29.7679252, 29.7677872, 29.7675552, 29.7672672, 29.7662272, 29.7663072, 29.7658912, 29.7655802, 29.7651262, 29.7648082, 29.7646362, 29.7644262, 29.7642892, 29.7641002, 
29.7638812, 29.7637462, 29.7635722, 29.7634312, 29.7633892, 29.7633432, 29.7632882, 29.7632362, 29.7631752, 29.7631182, 29.7630652, 29.7630072, 29.7629502, 29.7628912, 29.7628382, 29.7627562, 29.7626832, 29.7626012, 29.7625062, 29.7624052, 29.7622942, 29.7621972, 29.7620712, 29.7619412, 29.7618022, 29.7616952, 29.7614642, 29.7611652, 29.7610142, 29.7608412, 29.7606522, 29.7604732, 29.7602532, 29.7600832, 29.7599122, 29.7597692, 29.7596032, 29.7592162, 29.7578122, 29.7567462, 29.7555382, 29.7539512, 
29.7534402, 29.7531712, 29.7529882, 29.7527922, 29.7526142, 29.7524852, 29.7523012, 29.7521372, 29.7520152, 29.7518802, 29.7516822, 29.7514872, 29.7513022, 29.7510862, 29.7508442, 29.7505522, 29.7502402, 29.7497192, 29.7491872, 29.7486872, 29.7481972, 29.7476612, 29.7471402, 29.7466252, 29.7461062, 29.7455952, 29.7454202, 29.7452462, 29.7450552, 29.7448462, 29.7445792, 29.7443332, 29.7441802, 29.7437152, 29.7433622, 29.7431422, 29.7424822, 29.7421472, 29.7420742, 29.7426752, 29.7430152, 29.7431752, 
29.7432842, 29.7433372, 29.7433902, 29.7434592, 29.7434892, 29.7435092, 29.7434342, 29.7433942, 29.7432972, 29.7430972, 29.7430694, 29.7434246, 29.7439322, 29.7444572, 29.7446242, 29.7448892, 29.7450252, 29.7451608, 29.7453912, 29.7455592, 29.7457632, 29.7458682, 29.7460012, 29.7471252, 29.7475752, 29.7477412, 29.7491142, 29.7496202, 29.7503942, 29.7510042, 29.7512962, 29.7526092, 29.7533182, 29.7540812, 29.7548712, 29.7556812, 29.7563772, 29.7571482, 29.7579152, 29.7586362, 29.7594122, 29.7595862, 
29.7601332, 29.7606462, 29.7609492, 29.7612702, 29.7617052, 29.7625672, 29.7630092, 29.7641582, 29.7652082, 29.7658492, 29.7662122, 29.7662982, 29.7664482, 29.7665532, 29.7665532, 29.7665532, 29.7665532, 29.7664312, 29.7663132, 29.7661702, 29.7660842, 29.7659162, 29.765876, 29.7658282, 29.7656512, 29.7656052, 29.7653382, 29.7653382, 29.7653882, 29.7669802)))",14480.7,9254.3,10444.4,11426.4,11393.1
