beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
8C30,8,4.6258259,"Parkhurst, East Houston and Clairmont Place",10545,Burglary,112,83,84,28,87,279,93,-25,-22.3,3.6,-6,1062.1,787.1,796.6,825,881.9
8C40,8,4.97945551,"Lake Houston, Greenriver, Knoll and Lake Forest",7607,Burglary,54,32,27,4,21,113,37.7,-50,-61.1,-22.2,-44,709.9,420.7,354.9,276.1,495.6
8C50,8,3.31739498,"Park North, Forest Green, Kentshire Place, Glenwood Forest and Dorchester",8133,Burglary,93,58,59,15,63,210,70,-36.6,-32.3,6.8,-10,1143.5,713.1,725.4,774.6,860.7
8C60,8,5.79693312,"Edgeworth, Northwood Manor and Scenic Woods",19229,Burglary,140,102,109,21,107,351,117,-22.1,-23.6,-1.8,-9,728.1,530.4,566.9,556.5,608.5
9C10,9,5.21185619,"Port of Houston, Clinton Park, Pleasantville and Fidelity Manor",5597,Burglary,36,33,40,10,40,109,36.3,11.1,11.1,0,10,643.2,589.6,714.7,714.7,648.6
9C20,9,7.5383173,Denver Harbor and Houston Harbor,15752,Burglary,109,91,70,20,70,270,90,-35.8,-35.8,0,-22,692,577.7,444.4,444.4,571.4
9C30,9,8.13353768,"City Park East, Wynnewood Acres and Wallisville Gardens",9165,Burglary,54,72,50,9,43,176,58.7,-7.4,-20.4,-14,-27,589.2,785.6,545.6,469.2,640.5
9C40,9,10.42549456,"Greens Bayou Estates, Shady Brook, Northshore",22769,Burglary,188,181,163,35,163,532,177.3,-13.3,-13.3,0,-8,825.7,794.9,715.9,715.9,778.7
10H10,10,2.81830654,Oak Lawn and Ranger,11304,Burglary,53,87,64,12,61,204,68,20.8,15.1,-4.7,-10,468.9,769.6,566.2,539.6,601.6
10H20,10,1.75743169,Eastwood and Broadmoor,10142,Burglary,62,86,59,14,63,207,69,-4.8,1.6,6.8,-9,611.3,848,581.7,621.2,680.3
10H30,10,1.02691154,Near East End,4160,Burglary,51,50,47,9,47,148,49.3,-7.8,-7.8,0,-5,1226,1201.9,1129.8,1129.8,1185.1
10H40,10,0.99627062,Midtown,8194,Burglary,141,151,102,18,98,394,131.3,-27.7,-30.5,-3.9,-25,1720.8,1842.8,1244.8,1196,1602.4
10H50,10,2.30843079,the University of Houston area,12867,Burglary,187,188,158,25,139,533,177.7,-15.5,-25.7,-12,-22,1453.3,1461.1,1227.9,1080.3,1381.1
10H60,10,3.08931006,"University Oaks, Riverside Terrace and the Texas Southern University area",20363,Burglary,137,124,141,26,136,402,134,2.9,-0.7,-3.5,1,672.8,608.9,692.4,667.9,658.1
10H70,10,3.52217952,"Texas Medical Center, Hermann Park, Houston Zoo and Miller Outdoor Theatre",15650,Burglary,154,136,111,29,110,401,133.7,-27.9,-28.6,-0.9,-18,984,869,709.3,702.9,854.3
10H80,10,2.73862779,"Southampton, Rice University area, Shadow Lawn and Broad Acres",18584,Burglary,119,101,87,21,89,307,102.3,-26.9,-25.2,2.3,-13,640.3,543.5,468.1,478.9,550.5
11H10,11,5.31502815,"Mason Park, Forest Hill, Sunnyland and Central Park",27726,Burglary,177,176,125,31,126,478,159.3,-29.4,-28.8,0.8,-21,638.4,634.8,450.8,454.4,574.6
11H20,11,3.9311161,"Harrisburg, Manchester and Pecan Park",18100,Burglary,55,62,62,10,54,179,59.7,12.7,-1.8,-12.9,-10,303.9,342.5,342.5,298.3,329.8
11H30,11,2.84278059,Meadow Brook and Park Place,15237,Burglary,102,74,75,16,69,251,83.7,-26.5,-32.4,-8,-18,669.4,485.7,492.2,452.8,549.3
11H40,11,6.14001938,Allendale and Oak Meadows,8423,Burglary,34,22,17,5,18,73,24.3,-50,-47.1,5.9,-26,403.7,261.2,201.8,213.7,288.5
11H50,11,2.09534157,"Meadow Creek, Ferndale Addition and Glenbrook Industrial",7615,Burglary,42,37,45,10,46,124,41.3,7.1,9.5,2.2,11,551.5,485.9,590.9,604.1,542.4
12D10,12,8.55384717,"Almeda Mall, Southridge, Edgebrook and South Houston Gardens",43826,Burglary,289,285,289,78,311,863,287.7,0,7.6,7.6,8,659.4,650.3,659.4,709.6,656.5
12D20,12,3.83700574,Sage,22428,Burglary,131,131,170,59,203,432,144,29.8,55,19.4,41,584.1,584.1,758,905.1,642.1
12D30,12,3.99301158,Gulf Palms and Beamer,14676,Burglary,62,79,48,13,54,189,63,-22.6,-12.9,12.5,-14,422.5,538.3,327.1,367.9,429.3
12D40,12,9.68663455,Scarsdale and Ellington Field,10667,Burglary,75,68,79,22,86,222,74,5.3,14.7,8.9,16,703.1,637.5,740.6,806.2,693.7
12D50,12,8.93327581,"Bay Glen, Bay Oaks, Brook Forest and Bay Forest",25606,Burglary,41,32,32,16,41,105,35,-22,0,28.1,17,160.1,125,125,160.1,136.7
12D60,12,6.35832041,"NASA's Johnson Space Center, Meadow Green, Oakbrook West and Camino South",22499,Burglary,76,62,85,11,79,223,74.3,11.8,3.9,-7.1,6,337.8,275.6,377.8,351.1,330.2
12D70,12,5.39156317,Baybrook Mall and Sterling Knoll,11955,Burglary,82,90,96,18,99,268,89.3,17.1,20.7,3.1,11,685.9,752.8,803,828.1,747
13D10,13,5.2433708,"Gulfgate Mall, Bay Forest, Riverview, Hampshire, Golfcrest and Barnett Stadium",23207,Burglary,166,171,116,30,116,453,151,-30.1,-30.1,0,-23,715.3,736.8,499.8,499.8,650.7
13D20,13,6.66870859,"Fairlawn, Garden Villas, Glenbrook Valley and Santa Rosa",36151,Burglary,328,256,243,66,244,827,275.7,-25.9,-25.6,0.4,-11,907.3,708.1,672.2,674.9,762.6
13D30,13,3.07402543,"Allen Farms, Airport Gardens and the Hobby Airport area",1524,Burglary,12,10,13,3,12,35,11.7,8.3,0,-7.7,3,787.4,656.2,853,787.4,767.7
13D40,13,5.0688163,"Val Verde East, Gulf Meadows and Houston Skyscraper Shadows",13362,Burglary,66,77,35,15,44,178,59.3,-47,-33.3,25.7,-26,493.9,576.3,261.9,329.3,443.8
14D10,14,3.66057918,McGregor Terrace and Riverside Terrace,17296,Burglary,242,205,126,27,128,573,191,-47.9,-47.1,1.6,-33,1399.2,1185.2,728.5,740.1,1104.3
14D20,14,7.25646368,"Blueridge, Sunnyside, Brook Haven and Bayou Estates",28038,Burglary,409,291,285,57,265,985,328.3,-30.3,-35.2,-7,-19,1458.7,1037.9,1016.5,945.1,1170.9
14D30,14,4.20537595,"Crestmont, Edgewood, Bellfort Park, Inwood Terrace and Southpark",20724,Burglary,184,155,126,25,111,465,155,-31.5,-39.7,-11.9,-28,887.9,747.9,608,535.6,747.9
14D40,14,6.61224595,"South Acres, Shamrock Manor, Hillwood and Cloverland",20619,Burglary,115,116,87,28,89,318,106,-24.3,-22.6,2.3,-16,557.7,562.6,421.9,431.6,514.1
14D50,14,8.69627992,"Golden Glade Estates, Langston and Almeda Genoa",9247,Burglary,91,58,59,10,54,208,69.3,-35.2,-40.7,-8.5,-22,984.1,627.2,638,584,749.4
15E10,15,4.34996776,"Meyerland Plaza, Robindell, Meyerland, Braeburn Terrace and Maplewood South",24186,Burglary,201,102,122,25,109,425,141.7,-39.3,-45.8,-10.7,-23,831.1,421.7,504.4,450.7,585.9
15E20,15,3.58384499,"Westbury, Park West and Willow Creek",17754,Burglary,102,69,91,8,64,262,87.3,-10.8,-37.3,-29.7,-27,574.5,388.6,512.6,360.5,491.7
15E30,15,6.29133294,"Meyer Park, Post Oak Manor, Westwood, Willow Bend and Linkwood",34338,Burglary,269,210,165,31,139,644,214.7,-38.7,-48.3,-15.8,-35,783.4,611.6,480.5,404.8,625.3
15E40,15,10.0079174,"The Astrodome, Six Flags Astroworld, Lakes at 610 and Plaza del Oro",30317,Burglary,350,288,248,77,269,886,295.3,-29.1,-23.1,8.5,-9,1154.5,950,818,887.3,974
16E10,16,5.38940818,Canterbury Village and Monarch Estates,15009,Burglary,85,49,34,12,35,168,56,-60,-58.8,2.9,-38,566.3,326.5,226.5,233.2,373.1
16E20,16,8.15202134,"Almeda Plaza, South Glen, Dumbarton Oaks and Briarwick",35118,Burglary,114,114,111,26,105,339,113,-2.6,-7.9,-5.4,-7,324.6,324.6,316.1,299,321.8
16E30,16,7.00932789,"Greenpark, Southwest Crossing and Windsor Village",21532,Burglary,93,95,90,13,64,278,92.7,-3.2,-31.2,-28.9,-31,431.9,441.2,418,297.2,430.5
16E40,16,7.49721482,"Chasewood, Willowpark, Briarwick, Ridgemont and Quail Run",35307,Burglary,130,105,92,18,90,327,109,-29.2,-30.8,-2.2,-17,368.2,297.4,260.6,254.9,308.7
17E10,17,3.3104034,"Southwest Memorial Hospital, Burnett Bayland Park and Westmoreland",51281,Burglary,317,244,290,71,285,851,283.7,-8.5,-10.1,-1.7,0,618.2,475.8,565.5,555.8,553.2
17E20,17,3.92767309,the Houston Baptist University area and Maplewood West,26917,Burglary,159,119,106,19,96,384,128,-33.3,-39.6,-9.4,-25,590.7,442.1,393.8,356.7,475.5
17E30,17,3.8060455,Braeburn Valley West and Glenshire,21251,Burglary,121,162,142,31,134,425,141.7,17.4,10.7,-5.6,-5,569.4,762.3,668.2,630.6,666.8
17E40,17,4.70920035,"Creekbend, Southwood and Fondren Southwest",45632,Burglary,290,279,252,53,223,821,273.7,-13.1,-23.1,-11.5,-19,635.5,611.4,552.2,488.7,599.8
18F10,18,1.95881352,"Saddlebrook, Bayou Woods and Sherwood Forest",7322,Burglary,51,51,46,16,54,148,49.3,-9.8,5.9,17.4,10,696.5,696.5,628.2,737.5,673.3
18F20,18,3.51641691,"The Galleria, Tanglewood, Riverway and Post Oak",23875,Burglary,212,177,186,27,159,575,191.7,-12.3,-25,-14.5,-17,888,741.4,779.1,666,802.9
18F30,18,3.80008564,"The Richmond Strip, Briargrove, Post Oak Estates and Westhaven",35589,Burglary,303,296,264,45,246,863,287.7,-12.9,-18.8,-6.8,-14,851.4,831.7,741.8,691.2,808.4
18F40,18,2.9060249,"Rosewood General Hospital, Woodlake and Briarmeadow",34762,Burglary,392,450,367,83,338,1209,403,-6.4,-13.8,-7.9,-16,1127.7,1294.5,1055.8,972.3,1159.3
18F50,18,2.96939217,"Tanglewild, Sharpstown Mall and Regency Square",20389,Burglary,234,250,215,39,195,699,233,-8.1,-16.7,-9.3,-16,1147.7,1226.2,1054.5,956.4,1142.8
18F60,18,3.62528697,Sharpstown Country Club and Southway Center,27923,Burglary,191,186,142,32,149,519,173,-25.7,-22,4.9,-14,684,666.1,508.5,533.6,619.6
19G10,19,2.74020376,Concourse South and Westwood Mall,30517,Burglary,280,269,230,58,221,779,259.7,-17.9,-21.1,-3.9,-15,917.5,881.5,753.7,724.2,851
19G20,19,3.29219023,"Catalina Square, Bellaire West, Imperial Point",24940,Burglary,150,135,152,35,145,437,145.7,1.3,-3.3,-4.6,-0,601.4,541.3,609.5,581.4,584.2
19G30,19,2.49064202,"Rodeo Square, Wildflower Green, Braewood Glen",18412,Burglary,107,102,84,16,70,293,97.7,-21.5,-34.6,-16.7,-28,581.1,554,456.2,380.2,530.6
19G40,19,4.56425364,"Huntington Village, Wellington Park, Leawood, Keegans Glen",37045,Burglary,212,183,167,41,174,562,187.3,-21.2,-17.9,4.2,-7,572.3,494,450.8,469.7,505.6
19G50,19,2.30578624,"Forum Park, Stancliff and Southwest Park",17516,Burglary,117,148,137,44,144,402,134,17.1,23.1,5.1,7,668,844.9,782.1,822.1,765
20G10,20,3.06600809,"Westchase, Woodchase Village and Point West",28775,Burglary,291,288,214,48,205,793,264.3,-26.5,-29.6,-4.2,-22,1011.3,1000.9,743.7,712.4,918.5
20G20,20,3.27621655,"Lakeside Estates, City West Place, Rivercrest and Briargrove Park",18353,Burglary,140,99,85,23,88,324,108,-39.3,-37.1,3.5,-19,762.8,539.4,463.1,479.5,588.5
20G30,20,3.97953501,"West Houston Medical Center, Andrau Airport, Westchase and Westchase Mall",26103,Burglary,312,253,278,70,252,843,281,-10.9,-19.2,-9.4,-10,1195.3,969.2,1065,965.4,1076.5
20G40,20,4.16594899,"Lakeview Forest, Lakeside Place, Ashford Village and Southlake",27946,Burglary,278,230,180,40,172,688,229.3,-35.3,-38.1,-4.4,-25,994.8,823,644.1,615.5,820.5
20G70,20,2.38283582,Westpark Village and Ashford Point,20787,Burglary,143,157,175,22,140,475,158.3,22.4,-2.1,-20,-12,687.9,755.3,841.9,673.5,761.5
20G80,20,25.33626534,City Limits,37327,Burglary,374,321,298,81,316,993,331,-20.3,-15.5,6,-5,1002,860,798.3,846.6,886.8
21I10,21,0.00549966,Hobby Airport,0,Burglary,0,1,0,0,0,1,0.3,NA,NA,NA,-100,NA,NA,NA,NA,NA
21I20,21,0.01205019,Hobby Airport,0,Burglary,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
21I50,21,14.61100076,Hobby Airport,0,Burglary,1,1,5,3,8,7,2.3,400,700,60,248,NA,NA,NA,NA,NA
22B10,22,3.28874287,"Willowbrook, Willow Chase Park and Centerfield",8046,Burglary,88,111,120,19,114,319,106.3,36.4,29.5,-5,7,1093.7,1379.6,1491.4,1416.9,1321.2
5F20,5,5.94082911,Spring Branch and Schwartz Park,41925,Burglary,219,185,157,44,165,561,187,-28.3,-24.7,5.1,-12,522.4,441.3,374.5,393.6,446
4F10,4,4.13606469,"Timber Oaks, Shadow Oaks and Long Point Acres",22505,Burglary,139,162,137,33,138,438,146,-1.4,-0.7,0.7,-5,617.6,719.8,608.8,613.2,648.7
20G50,20,5.88593521,"Nottingham, Yorkshire, Wilchester, Town and Country Village and Memorial City Shopping Center",30070,Burglary,143,107,100,15,94,350,116.7,-30.1,-34.3,-6,-19,475.6,355.8,332.6,312.6,388.1
4F20,4,5.85840284,"Claymore Park, Westbranch, Spring Shadows and Kempwood Forest",27918,Burglary,147,118,112,23,112,377,125.7,-23.8,-23.8,0,-11,526.5,422.7,401.2,401.2,450.2
20G60,20,4.54207617,"Barkers Landing, Fleetwood, Thornwood and Darrel Tully Stadium",22500,Burglary,136,155,124,21,112,415,138.3,-8.8,-17.6,-9.7,-19,604.4,688.9,551.1,497.8,614.7
4F30,4,26.30690179,"Addicks Reservoir Area, Claymore Park, Brittmore Village, Park Ten Place and Mayde Creek Farms",17589,Burglary,160,129,128,17,106,417,139,-20,-33.8,-17.2,-24,909.7,733.4,727.7,602.6,790.3
24C10,24,5.44044978,Kingwood,13401,Burglary,55,46,38,14,42,139,46.3,-30.9,-23.6,10.5,-9,410.4,343.3,283.6,313.4,345.5
24C20,24,6.8291794,Kingwood,17897,Burglary,37,31,28,7,28,96,32,-24.3,-24.3,0,-12,206.7,173.2,156.5,156.5,178.8
24C30,24,9.78735527,Kingwood,28717,Burglary,49,36,34,11,34,119,39.7,-30.6,-30.6,0,-14,170.6,125.4,118.4,118.4,138.2
24C40,24,35.7992771,Kingwood,6374,Burglary,37,28,19,6,24,84,28,-48.6,-35.1,26.3,-14,580.5,439.3,298.1,376.5,439.3
24C50,24,7.51791807,Kingwood,5184,Burglary,65,45,51,12,55,161,53.7,-21.5,-15.4,7.8,2,1253.9,868.1,983.8,1061,1035.9
24C60,24,4.86823328,Kingwood,21021,Burglary,28,14,6,2,8,48,16,-78.6,-71.4,33.3,-50,133.2,66.6,28.5,38.1,76.1
HCSO,NA,NA,NA,NA,Burglary,17,16,4,0,2,37,12.3,-76.5,-88.2,-50,-84,NA,NA,NA,NA,NA
OOJ,NA,NA,NA,NA,Burglary,23,37,4,0,3,64,21.3,-82.6,-87,-25,-86,NA,NA,NA,NA,NA
Unknown,NA,NA,NA,NA,Burglary,6,2,1,0,0,9,3,-83.3,-100,-100,-100,NA,NA,NA,NA,NA
