beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
23J50,23,2.12389492,Intercontinental Airport,0,Auto Theft,19,14,32,5,34,65,21.7,68.4,78.9,6.2,57,NA,NA,NA,NA,NA
1A10,1,1.74646692,Downtown Central Business District,12016,Auto Theft,155,146,237,41,254,538,179.3,52.9,63.9,7.2,42,1289.9,1215,1972.4,2113.8,1492.2
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",25276,Auto Theft,179,199,264,55,284,642,214,47.5,58.7,7.6,33,708.2,787.3,1044.5,1123.6,846.7
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",26220,Auto Theft,66,97,121,16,118,284,94.7,83.3,78.8,-2.5,25,251.7,369.9,461.5,450,361.2
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7366,Auto Theft,10,13,14,4,15,37,12.3,40,50,7.1,22,135.8,176.5,190.1,203.6,167
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",24503,Auto Theft,140,205,236,52,262,581,193.7,68.6,87.1,11,35,571.4,836.6,963.1,1069.3,790.5
2A10,2,3.30928608,Irvington and Ryon,17885,Auto Theft,70,104,151,18,151,325,108.3,115.7,115.7,0,39,391.4,581.5,844.3,844.3,605.5
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11560,Auto Theft,58,64,81,19,88,203,67.7,39.7,51.7,8.6,30,501.7,553.6,700.7,761.2,585.6
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",30557,Auto Theft,128,142,178,32,176,448,149.3,39.1,37.5,-1.1,18,418.9,464.7,582.5,576,488.6
2A40,2,1.60546103,Old Sixth Ward and the First Ward,7295,Auto Theft,48,56,72,15,70,176,58.7,50,45.8,-2.8,19,658,767.6,987,959.6,804.7
