beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
8C30,8,4.6258259,"Parkhurst, East Houston and Clairmont Place",9225,Assault,501,626,554,70,549,1681,560.3,10.6,9.6,-0.9,-2,5430.9,6785.9,6005.4,5951.2,6073.7
8C40,8,4.97945551,"Lake Houston, Greenriver, Knoll and Lake Forest",7363,Assault,229,234,235,29,222,698,232.7,2.6,-3.1,-5.5,-5,3110.1,3178.1,3191.6,3015.1,3160.4
8C50,8,3.31739498,"Park North, Forest Green, Kentshire Place, Glenwood Forest and Dorchester",6853,Assault,564,612,571,51,525,1747,582.3,1.2,-6.9,-8.1,-10,8230,8930.4,8332.1,7660.9,8497
8C60,8,5.79693312,"Edgeworth, Northwood Manor and Scenic Woods",19339,Assault,792,926,720,91,704,2438,812.7,-9.1,-11.1,-2.2,-13,4095.4,4788.3,3723,3640.3,4202.4
9C10,9,5.21185619,"Port of Houston, Clinton Park, Pleasantville and Fidelity Manor",6208,Assault,215,272,220,16,201,707,235.7,2.3,-6.5,-8.6,-15,3463.3,4381.4,3543.8,3237.8,3796.7
9C20,9,7.5383173,Denver Harbor and Houston Harbor,16859,Assault,470,519,499,66,474,1488,496,6.2,0.9,-5,-4,2787.8,3078.5,2959.8,2811.6,2942
9C30,9,8.13353768,"City Park East, Wynnewood Acres and Wallisville Gardens",9391,Assault,265,320,326,42,316,911,303.7,23,19.2,-3.1,4,2821.9,3407.5,3471.4,3364.9,3233.9
9C40,9,10.42549456,"Greens Bayou Estates, Shady Brook, Northshore",24349,Assault,821,890,824,107,790,2535,845,0.4,-3.8,-4.1,-7,3371.8,3655.2,3384.1,3244.5,3470.4
10H10,10,2.81830654,Oak Lawn and Ranger,10984,Assault,363,307,319,43,321,989,329.7,-12.1,-11.6,0.6,-3,3304.8,2795,2904.2,2922.4,3001.6
10H20,10,1.75743169,Eastwood and Broadmoor,10612,Assault,226,261,270,50,276,757,252.3,19.5,22.1,2.2,9,2129.7,2459.5,2544.3,2600.8,2377.5
10H30,10,1.02691154,Near East End,3326,Assault,162,190,204,37,213,556,185.3,25.9,31.5,4.4,15,4870.7,5712.6,6133.5,6404.1,5571.3
10H40,10,0.99627062,Midtown,6926,Assault,677,609,580,103,605,1866,622,-14.3,-10.6,4.3,-3,9774.8,8793,8374.2,8735.2,8980.7
10H50,10,2.30843079,the University of Houston area,12720,Assault,838,800,729,111,713,2367,789,-13,-14.9,-2.2,-10,6588.1,6289.3,5731.1,5605.3,6202.8
10H60,10,3.08931006,"University Oaks, Riverside Terrace and the Texas Southern University area",17373,Assault,572,643,621,99,639,1836,612,8.6,11.7,2.9,4,3292.5,3701.1,3574.5,3678.1,3522.7
10H70,10,3.52217952,"Texas Medical Center, Hermann Park, Houston Zoo and Miller Outdoor Theatre",17327,Assault,469,512,548,68,541,1529,509.7,16.8,15.4,-1.3,6,2706.8,2954.9,3162.7,3122.3,2941.7
10H80,10,2.73862779,"Southampton, Rice University area, Shadow Lawn and Broad Acres",17807,Assault,115,136,128,16,128,379,126.3,11.3,11.3,0,1,645.8,763.7,718.8,718.8,709.3
11H10,11,5.31502815,"Mason Park, Forest Hill, Sunnyland and Central Park",28837,Assault,895,1103,929,139,928,2927,975.7,3.8,3.7,-0.1,-5,3103.7,3824.9,3221.6,3218.1,3383.5
11H20,11,3.9311161,"Harrisburg, Manchester and Pecan Park",18586,Assault,455,511,535,76,521,1501,500.3,17.6,14.5,-2.6,4,2448.1,2749.4,2878.5,2803.2,2691.8
11H30,11,2.84278059,Meadow Brook and Park Place,15413,Assault,449,566,533,107,556,1548,516,18.7,23.8,4.3,8,2913.1,3672.2,3458.1,3607.3,3347.8
11H40,11,6.14001938,Allendale and Oak Meadows,9881,Assault,134,200,150,27,151,484,161.3,11.9,12.7,0.7,-6,1356.1,2024.1,1518.1,1528.2,1632.4
11H50,11,2.09534157,"Meadow Creek, Ferndale Addition and Glenbrook Industrial",8435,Assault,153,210,223,32,222,586,195.3,45.8,45.1,-0.4,14,1813.9,2489.6,2643.7,2631.9,2315.4
12D10,12,8.55384717,"Almeda Mall, Southridge, Edgebrook and South Houston Gardens",47725,Assault,1166,1553,1713,301,1784,4432,1477.3,46.9,53,4.1,21,2443.2,3254.1,3589.3,3738.1,3095.4
12D20,12,3.83700574,Sage,23555,Assault,410,527,498,69,495,1435,478.3,21.5,20.7,-0.6,3,1740.6,2237.3,2114.2,2101.5,2030.6
12D30,12,3.99301158,Gulf Palms and Beamer,15022,Assault,245,278,269,27,252,792,264,9.8,2.9,-6.3,-5,1630.9,1850.6,1790.7,1677.5,1757.4
12D40,12,9.68663455,Scarsdale and Ellington Field,13053,Assault,265,315,352,55,356,932,310.7,32.8,34.3,1.1,15,2030.2,2413.2,2696.7,2727.3,2380.3
12D50,12,8.93327581,"Bay Glen, Bay Oaks, Brook Forest and Bay Forest",23716,Assault,119,127,142,13,120,388,129.3,19.3,0.8,-15.5,-7,501.8,535.5,598.8,506,545.2
12D60,12,6.35832041,"NASA's Johnson Space Center, Meadow Green, Oakbrook West and Camino South",22879,Assault,230,362,367,47,365,959,319.7,59.6,58.7,-0.5,14,1005.3,1582.2,1604.1,1595.3,1397.4
12D70,12,5.39156317,Baybrook Mall and Sterling Knoll,13592,Assault,254,313,304,43,301,871,290.3,19.7,18.5,-1,4,1868.7,2302.8,2236.6,2214.5,2135.8
13D10,13,5.2433708,"Gulfgate Mall, Bay Forest, Riverview, Hampshire, Golfcrest and Barnett Stadium",25256,Assault,632,735,660,120,670,2027,675.7,4.4,6,1.5,-1,2502.4,2910.2,2613.2,2652.8,2675.4
13D20,13,6.66870859,"Fairlawn, Garden Villas, Glenbrook Valley and Santa Rosa",40432,Assault,1173,1252,1012,168,1011,3437,1145.7,-13.7,-13.8,-0.1,-12,2901.2,3096.6,2503,2500.5,2833.6
13D30,13,3.07402543,"Allen Farms, Airport Gardens and the Hobby Airport area",2634,Assault,49,52,56,11,53,157,52.3,14.3,8.2,-5.4,1,1860.3,1974.2,2126,2012.1,1985.6
13D40,13,5.0688163,"Val Verde East, Gulf Meadows and Houston Skyscraper Shadows",14219,Assault,185,227,204,48,215,616,205.3,10.3,16.2,5.4,5,1301.1,1596.5,1434.7,1512.1,1443.8
14D10,14,3.66057918,McGregor Terrace and Riverside Terrace,15692,Assault,1140,1209,1040,144,1022,3389,1129.7,-8.8,-10.4,-1.7,-10,7264.8,7704.6,6627.6,6512.9,7199.2
14D20,14,7.25646368,"Blueridge, Sunnyside, Brook Haven and Bayou Estates",27812,Assault,1828,2056,1856,255,1790,5740,1913.3,1.5,-2.1,-3.6,-6,6572.7,7392.5,6673.4,6436.1,6879.4
14D30,14,4.20537595,"Crestmont, Edgewood, Bellfort Park, Inwood Terrace and Southpark",20295,Assault,883,946,876,124,823,2705,901.7,-0.8,-6.8,-6.1,-9,4350.8,4661.2,4316.3,4055.2,4443
14D40,14,6.61224595,"South Acres, Shamrock Manor, Hillwood and Cloverland",20527,Assault,715,777,766,112,765,2258,752.7,7.1,7,-0.1,2,3483.2,3785.3,3731.7,3726.8,3666.9
14D50,14,8.69627992,"Golden Glade Estates, Langston and Almeda Genoa",8920,Assault,209,294,299,59,300,802,267.3,43.1,43.5,0.3,12,2343,3296,3352,3363.2,2996.6
15E10,15,4.34996776,"Meyerland Plaza, Robindell, Meyerland, Braeburn Terrace and Maplewood South",22514,Assault,395,440,487,64,479,1322,440.7,23.3,21.3,-1.6,9,1754.5,1954.3,2163.1,2127.6,1957.4
15E20,15,3.58384499,"Westbury, Park West and Willow Creek",18932,Assault,312,350,300,36,288,962,320.7,-3.8,-7.7,-4,-10,1648,1848.7,1584.6,1521.2,1694
15E30,15,6.29133294,"Meyer Park, Post Oak Manor, Westwood, Willow Bend and Linkwood",35375,Assault,475,542,523,82,523,1540,513.3,10.1,10.1,0,2,1342.8,1532.2,1478.4,1478.4,1451
15E40,15,10.0079174,"The Astrodome, Six Flags Astroworld, Lakes at 610 and Plaza del Oro",29887,Assault,1027,1103,1210,181,1213,3340,1113.3,17.8,18.1,0.2,9,3436.3,3690.6,4048.6,4058.6,3725
16E10,16,5.38940818,Canterbury Village and Monarch Estates,14695,Assault,265,293,250,50,247,808,269.3,-5.7,-6.8,-1.2,-8,1803.3,1993.9,1701.3,1680.8,1832.6
16E20,16,8.15202134,"Almeda Plaza, South Glen, Dumbarton Oaks and Briarwick",35528,Assault,748,890,900,141,882,2538,846,20.3,17.9,-2,4,2105.4,2505.1,2533.2,2482.5,2381.2
16E30,16,7.00932789,"Greenpark, Southwest Crossing and Windsor Village",23719,Assault,545,574,553,67,528,1672,557.3,1.5,-3.1,-4.5,-5,2297.7,2420,2331.5,2226.1,2349.6
16E40,16,7.49721482,"Chasewood, Willowpark, Briarwick, Ridgemont and Quail Run",31524,Assault,749,821,773,112,753,2343,781,3.2,0.5,-2.6,-4,2376,2604.4,2452.1,2388.7,2477.5
17E10,17,3.3104034,"Southwest Memorial Hospital, Burnett Bayland Park and Westmoreland",55959,Assault,1287,1512,1542,213,1516,4341,1447,19.8,17.8,-1.7,5,2299.9,2702,2755.6,2709.1,2585.8
17E20,17,3.92767309,the Houston Baptist University area and Maplewood West,27858,Assault,552,687,653,97,657,1892,630.7,18.3,19,0.6,4,1981.5,2466.1,2344,2358.4,2264
