beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
8C40,8,4.97945551,"Lake Houston, Greenriver, Knoll and Lake Forest",8000,Robbery,16,21,26,4,12,63,21,62.5,-25,-53.8,-43,200,262.5,325,150,262.5
8C50,8,3.31739498,"Park North, Forest Green, Kentshire Place, Glenwood Forest and Dorchester",8000,Robbery,44,45,40,5,32,129,43,-9.1,-27.3,-20,-26,550,562.5,500,400,537.5
8C60,8,5.79693312,"Edgeworth, Northwood Manor and Scenic Woods",19000,Robbery,56,57,54,22,61,167,55.7,-3.6,8.9,13,10,294.7,300,284.2,321.1,293.2
9C10,9,5.21185619,"Port of Houston, Clinton Park, Pleasantville and Fidelity Manor",6000,Robbery,18,21,16,4,9,55,18.3,-11.1,-50,-43.8,-51,300,350,266.7,150,305
9C20,9,7.5383173,Denver Harbor and Houston Harbor,16000,Robbery,50,52,39,19,44,141,47,-22,-12,12.8,-6,312.5,325,243.8,275,293.8
9C30,9,8.13353768,"City Park East, Wynnewood Acres and Wallisville Gardens",9000,Robbery,34,47,37,13,32,118,39.3,8.8,-5.9,-13.5,-19,377.8,522.2,411.1,355.6,436.7
9C40,9,10.42549456,"Greens Bayou Estates, Shady Brook, Northshore",23000,Robbery,132,147,111,35,103,390,130,-15.9,-22,-7.2,-21,573.9,639.1,482.6,447.8,565.2
10H10,10,2.81830654,Oak Lawn and Ranger,11000,Robbery,30,49,34,15,32,113,37.7,13.3,6.7,-5.9,-15,272.7,445.5,309.1,290.9,342.7
10H20,10,1.75743169,Eastwood and Broadmoor,10000,Robbery,18,26,14,6,15,58,19.3,-22.2,-16.7,7.1,-22,180,260,140,150,193
10H30,10,1.02691154,Near East End,4000,Robbery,34,26,19,6,16,79,26.3,-44.1,-52.9,-15.8,-39,850,650,475,400,657.5
10H40,10,0.99627062,Midtown,8000,Robbery,176,152,130,36,115,458,152.7,-26.1,-34.7,-11.5,-25,2200,1900,1625,1437.5,1908.8
10H50,10,2.30843079,the University of Houston area,13000,Robbery,101,90,88,34,82,279,93,-12.9,-18.8,-6.8,-12,776.9,692.3,676.9,630.8,715.4
10H60,10,3.08931006,"University Oaks, Riverside Terrace and the Texas Southern University area",20000,Robbery,82,64,63,29,65,209,69.7,-23.2,-20.7,3.2,-7,410,320,315,325,348.5
10H70,10,3.52217952,"Texas Medical Center, Hermann Park, Houston Zoo and Miller Outdoor Theatre",16000,Robbery,50,51,37,27,50,138,46,-26,0,35.1,9,312.5,318.8,231.2,312.5,287.5
10H80,10,2.73862779,"Southampton, Rice University area, Shadow Lawn and Broad Acres",19000,Robbery,25,20,18,2,14,63,21,-28,-44,-22.2,-33,131.6,105.3,94.7,73.7,110.5
11H10,11,5.31502815,"Mason Park, Forest Hill, Sunnyland and Central Park",28000,Robbery,117,122,114,36,97,353,117.7,-2.6,-17.1,-14.9,-18,417.9,435.7,407.1,346.4,420.4
11H20,11,3.9311161,"Harrisburg, Manchester and Pecan Park",18000,Robbery,66,35,42,13,41,143,47.7,-36.4,-37.9,-2.4,-14,366.7,194.4,233.3,227.8,265
11H30,11,2.84278059,Meadow Brook and Park Place,15000,Robbery,56,81,43,23,44,180,60,-23.2,-21.4,2.3,-27,373.3,540,286.7,293.3,400
11H40,11,6.14001938,Allendale and Oak Meadows,8000,Robbery,9,12,8,5,11,29,9.7,-11.1,22.2,37.5,13,112.5,150,100,137.5,121.2
11H50,11,2.09534157,"Meadow Creek, Ferndale Addition and Glenbrook Industrial",8000,Robbery,16,21,19,9,19,56,18.7,18.8,18.8,0,2,200,262.5,237.5,237.5,233.7
12D10,12,8.55384717,"Almeda Mall, Southridge, Edgebrook and South Houston Gardens",44000,Robbery,197,216,192,86,187,605,201.7,-2.5,-5.1,-2.6,-7,447.7,490.9,436.4,425,458.4
12D20,12,3.83700574,Sage,22000,Robbery,46,68,54,11,36,168,56,17.4,-21.7,-33.3,-36,209.1,309.1,245.5,163.6,254.5
12D30,12,3.99301158,Gulf Palms and Beamer,15000,Robbery,19,24,23,5,20,66,22,21.1,5.3,-13,-9,126.7,160,153.3,133.3,146.7
12D40,12,9.68663455,Scarsdale and Ellington Field,11000,Robbery,23,25,15,4,11,63,21,-34.8,-52.2,-26.7,-48,209.1,227.3,136.4,100,190.9
12D50,12,8.93327581,"Bay Glen, Bay Oaks, Brook Forest and Bay Forest",26000,Robbery,11,4,5,3,7,20,6.7,-54.5,-36.4,40,4,42.3,15.4,19.2,26.9,25.8
12D60,12,6.35832041,"NASA's Johnson Space Center, Meadow Green, Oakbrook West and Camino South",22000,Robbery,21,19,14,5,14,54,18,-33.3,-33.3,0,-22,95.5,86.4,63.6,63.6,81.8
12D70,12,5.39156317,Baybrook Mall and Sterling Knoll,12000,Robbery,37,25,30,9,23,92,30.7,-18.9,-37.8,-23.3,-25,308.3,208.3,250,191.7,255.8
13D10,13,5.2433708,"Gulfgate Mall, Bay Forest, Riverview, Hampshire, Golfcrest and Barnett Stadium",23000,Robbery,160,114,94,36,98,368,122.7,-41.2,-38.7,4.3,-20,695.7,495.7,408.7,426.1,533.5
13D20,13,6.66870859,"Fairlawn, Garden Villas, Glenbrook Valley and Santa Rosa",36000,Robbery,223,210,184,59,151,617,205.7,-17.5,-32.3,-17.9,-27,619.4,583.3,511.1,419.4,571.4
13D30,13,3.07402543,"Allen Farms, Airport Gardens and the Hobby Airport area",2000,Robbery,7,2,2,0,0,11,3.7,-71.4,-100,-100,-100,350,100,100,0,185
13D40,13,5.0688163,"Val Verde East, Gulf Meadows and Houston Skyscraper Shadows",13000,Robbery,24,44,30,13,23,98,32.7,25,-4.2,-23.3,-30,184.6,338.5,230.8,176.9,251.5
14D10,14,3.66057918,McGregor Terrace and Riverside Terrace,17000,Robbery,148,135,108,35,103,391,130.3,-27,-30.4,-4.6,-21,870.6,794.1,635.3,605.9,766.5
14D20,14,7.25646368,"Blueridge, Sunnyside, Brook Haven and Bayou Estates",28000,Robbery,232,167,146,69,158,545,181.7,-37.1,-31.9,8.2,-13,828.6,596.4,521.4,564.3,648.9
14D30,14,4.20537595,"Crestmont, Edgewood, Bellfort Park, Inwood Terrace and Southpark",21000,Robbery,110,63,52,34,61,225,75,-52.7,-44.5,17.3,-19,523.8,300,247.6,290.5,357.1
14D40,14,6.61224595,"South Acres, Shamrock Manor, Hillwood and Cloverland",21000,Robbery,77,90,82,44,92,249,83,6.5,19.5,12.2,11,366.7,428.6,390.5,438.1,395.2
14D50,14,8.69627992,"Golden Glade Estates, Langston and Almeda Genoa",9000,Robbery,26,25,35,14,34,86,28.7,34.6,30.8,-2.9,18,288.9,277.8,388.9,377.8,318.9
15E10,15,4.34996776,"Meyerland Plaza, Robindell, Meyerland, Braeburn Terrace and Maplewood South",24000,Robbery,58,75,64,27,65,197,65.7,10.3,12.1,1.6,-1,241.7,312.5,266.7,270.8,273.8
15E20,15,3.58384499,"Westbury, Park West and Willow Creek",18000,Robbery,52,57,55,19,39,164,54.7,5.8,-25,-29.1,-29,288.9,316.7,305.6,216.7,303.9
15E30,15,6.29133294,"Meyer Park, Post Oak Manor, Westwood, Willow Bend and Linkwood",34000,Robbery,75,79,73,25,68,227,75.7,-2.7,-9.3,-6.8,-10,220.6,232.4,214.7,200,222.6
15E40,15,10.0079174,"The Astrodome, Six Flags Astroworld, Lakes at 610 and Plaza del Oro",30000,Robbery,147,118,163,40,131,428,142.7,10.9,-10.9,-19.6,-8,490,393.3,543.3,436.7,475.7
16E10,16,5.38940818,Canterbury Village and Monarch Estates,15000,Robbery,27,26,19,3,16,72,24,-29.6,-40.7,-15.8,-33,180,173.3,126.7,106.7,160
16E20,16,8.15202134,"Almeda Plaza, South Glen, Dumbarton Oaks and Briarwick",35000,Robbery,92,86,56,37,61,234,78,-39.1,-33.7,8.9,-22,262.9,245.7,160,174.3,222.9
16E30,16,7.00932789,"Greenpark, Southwest Crossing and Windsor Village",22000,Robbery,88,79,59,34,67,226,75.3,-33,-23.9,13.6,-11,400,359.1,268.2,304.5,342.3
16E40,16,7.49721482,"Chasewood, Willowpark, Briarwick, Ridgemont and Quail Run",35000,Robbery,59,56,56,28,66,171,57,-5.1,11.9,17.9,16,168.6,160,160,188.6,162.9
17E10,17,3.3104034,"Southwest Memorial Hospital, Burnett Bayland Park and Westmoreland",51000,Robbery,328,323,259,97,220,910,303.3,-21,-32.9,-15.1,-27,643.1,633.3,507.8,431.4,594.7
17E20,17,3.92767309,the Houston Baptist University area and Maplewood West,27000,Robbery,112,110,84,35,85,306,102,-25,-24.1,1.2,-17,414.8,407.4,311.1,314.8,377.8
17E30,17,3.8060455,Braeburn Valley West and Glenshire,21000,Robbery,112,105,92,43,95,309,103,-17.9,-15.2,3.3,-8,533.3,500,438.1,452.4,490.5
17E40,17,4.70920035,"Creekbend, Southwood and Fondren Southwest",46000,Robbery,207,177,173,62,152,557,185.7,-16.4,-26.6,-12.1,-18,450,384.8,376.1,330.4,403.7
18F10,18,1.95881352,"Saddlebrook, Bayou Woods and Sherwood Forest",7000,Robbery,12,11,10,1,3,33,11,-16.7,-75,-70,-73,171.4,157.1,142.9,42.9,157.1
18F20,18,3.51641691,"The Galleria, Tanglewood, Riverway and Post Oak",24000,Robbery,64,78,93,32,85,235,78.3,45.3,32.8,-8.6,9,266.7,325,387.5,354.2,326.2
18F30,18,3.80008564,"The Richmond Strip, Briargrove, Post Oak Estates and Westhaven",36000,Robbery,211,194,186,81,175,591,197,-11.8,-17.1,-5.9,-11,586.1,538.9,516.7,486.1,547.2
18F40,18,2.9060249,"Rosewood General Hospital, Woodlake and Briarmeadow",35000,Robbery,149,192,167,60,150,508,169.3,12.1,0.7,-10.2,-11,425.7,548.6,477.1,428.6,483.7
18F50,18,2.96939217,"Tanglewild, Sharpstown Mall and Regency Square",20000,Robbery,135,143,155,77,169,433,144.3,14.8,25.2,9,17,675,715,775,845,721.5
18F60,18,3.62528697,Sharpstown Country Club and Southway Center,28000,Robbery,142,118,107,32,93,367,122.3,-24.6,-34.5,-13.1,-24,507.1,421.4,382.1,332.1,436.8
19G10,19,2.74020376,Concourse South and Westwood Mall,31000,Robbery,257,295,246,117,257,798,266,-4.3,0,4.5,-3,829,951.6,793.5,829,858.1
19G20,19,3.29219023,"Catalina Square, Bellaire West, Imperial Point",25000,Robbery,97,83,97,17,73,277,92.3,0,-24.7,-24.7,-21,388,332,388,292,369.2
19G30,19,2.49064202,"Rodeo Square, Wildflower Green, Braewood Glen",18000,Robbery,64,41,49,17,40,154,51.3,-23.4,-37.5,-18.4,-22,355.6,227.8,272.2,222.2,285
19G40,19,4.56425364,"Huntington Village, Wellington Park, Leawood, Keegans Glen",37000,Robbery,155,117,112,47,109,384,128,-27.7,-29.7,-2.7,-15,418.9,316.2,302.7,294.6,345.9
19G50,19,2.30578624,"Forum Park, Stancliff and Southwest Park",18000,Robbery,120,129,101,41,99,350,116.7,-15.8,-17.5,-2,-15,666.7,716.7,561.1,550,648.3
20G10,20,3.06600809,"Westchase, Woodchase Village and Point West",29000,Robbery,200,236,204,82,207,640,213.3,2,3.5,1.5,-3,689.7,813.8,703.4,713.8,735.5
20G20,20,3.27621655,"Lakeside Estates, City West Place, Rivercrest and Briargrove Park",18000,Robbery,48,36,26,13,29,110,36.7,-45.8,-39.6,11.5,-21,266.7,200,144.4,161.1,203.9
20G30,20,3.97953501,"West Houston Medical Center, Andrau Airport, Westchase and Westchase Mall",26000,Robbery,120,132,94,51,105,346,115.3,-21.7,-12.5,11.7,-9,461.5,507.7,361.5,403.8,443.5
20G40,20,4.16594899,"Lakeview Forest, Lakeside Place, Ashford Village and Southlake",28000,Robbery,82,76,73,21,64,231,77,-11,-22,-12.3,-17,292.9,271.4,260.7,228.6,275
20G70,20,2.38283582,Westpark Village and Ashford Point,21000,Robbery,51,48,51,19,48,150,50,0,-5.9,-5.9,-4,242.9,228.6,242.9,228.6,238.1
20G80,20,25.33626534,City Limits,37000,Robbery,77,92,72,21,55,241,80.3,-6.5,-28.6,-23.6,-32,208.1,248.6,194.6,148.6,217
21I10,21,0.00549966,Hobby Airport,0,Robbery,0,0,1,0,1,1,0.3,NA,NA,0,233,NA,NA,NA,NA,NA
21I50,21,14.61100076,Hobby Airport,0,Robbery,3,3,2,0,2,8,2.7,-33.3,-33.3,0,-26,NA,NA,NA,NA,NA
22B10,22,3.28874287,"Willowbrook, Willow Chase Park and Centerfield",8000,Robbery,74,74,55,17,47,203,67.7,-25.7,-36.5,-14.5,-31,925,925,687.5,587.5,846.2
5F20,5,5.94082911,Spring Branch and Schwartz Park,42000,Robbery,152,184,139,35,103,475,158.3,-8.6,-32.2,-25.9,-35,361.9,438.1,331,245.2,376.9
4F10,4,4.13606469,"Timber Oaks, Shadow Oaks and Long Point Acres",23000,Robbery,63,62,58,20,54,183,61,-7.9,-14.3,-6.9,-11,273.9,269.6,252.2,234.8,265.2
20G50,20,5.88593521,"Nottingham, Yorkshire, Wilchester, Town and Country Village and Memorial City Shopping Center",30000,Robbery,37,34,32,11,30,103,34.3,-13.5,-18.9,-6.2,-13,123.3,113.3,106.7,100,114.3
4F20,4,5.85840284,"Claymore Park, Westbranch, Spring Shadows and Kempwood Forest",28000,Robbery,45,56,45,18,45,146,48.7,0,0,0,-8,160.7,200,160.7,160.7,173.9
20G60,20,4.54207617,"Barkers Landing, Fleetwood, Thornwood and Darrel Tully Stadium",23000,Robbery,33,35,32,17,32,100,33.3,-3,-3,0,-4,143.5,152.2,139.1,139.1,144.8
4F30,4,26.30690179,"Addicks Reservoir Area, Claymore Park, Brittmore Village, Park Ten Place and Mayde Creek Farms",18000,Robbery,26,34,28,4,19,88,29.3,7.7,-26.9,-32.1,-35,144.4,188.9,155.6,105.6,162.8
24C10,24,5.44044978,Kingwood,13000,Robbery,9,8,10,1,7,27,9,11.1,-22.2,-30,-22,69.2,61.5,76.9,53.8,69.2
24C20,24,6.8291794,Kingwood,18000,Robbery,5,2,5,0,3,12,4,0,-40,-40,-25,27.8,11.1,27.8,16.7,22.2
24C30,24,9.78735527,Kingwood,29000,Robbery,2,5,4,1,2,11,3.7,100,0,-50,-46,6.9,17.2,13.8,6.9,12.8
24C40,24,35.7992771,Kingwood,6000,Robbery,2,4,6,0,2,12,4,200,0,-66.7,-50,33.3,66.7,100,33.3,66.7
24C50,24,7.51791807,Kingwood,5000,Robbery,9,8,4,4,6,21,7,-55.6,-33.3,50,-14,180,160,80,120,140
24C60,24,4.86823328,Kingwood,21000,Robbery,3,5,0,2,2,8,2.7,-100,-33.3,NA,-26,14.3,23.8,0,9.5,12.9
HCC5,NA,NA,NA,NA,Robbery,1,0,0,0,0,1,0.3,-100,-100,NA,-100,NA,NA,NA,NA,NA
HCC7,NA,NA,NA,NA,Robbery,1,2,0,0,0,3,1,-100,-100,NA,-100,NA,NA,NA,NA,NA
HCSO,NA,NA,NA,NA,Robbery,31,27,5,1,2,63,21,-83.9,-93.5,-60,-90,NA,NA,NA,NA,NA
OOJ,NA,NA,NA,NA,Robbery,27,32,3,1,2,62,20.7,-88.9,-92.6,-33.3,-90,NA,NA,NA,NA,NA
UH-3PD,NA,NA,NA,NA,Robbery,0,1,0,0,0,1,0.3,NA,NA,NA,-100,NA,NA,NA,NA,NA
Unknown,NA,NA,NA,NA,Robbery,1,1,1,0,0,3,1,0,-100,-100,-100,NA,NA,NA,NA,NA
