type,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Other,65804,97675,102312,15433,102570,265791,88597,55.5,55.9,0.3,16,2855.4,4238.3,4439.5,4450.7,3844.4
Property,104220,99826,97437,16417,98086,301483,100494.3,-6.5,-5.9,0.7,-2,4522.3,4331.6,4228,4256.1,4360.6
Violent,57067,59332,55856,8262,55092,172255,57418.3,-2.1,-3.5,-1.4,-4,2476.2,2574.5,2423.7,2390.5,2491.5
