category_name,month,count
Robbery,2019-01-01,764
Robbery,2019-02-01,564
Robbery,2019-03-01,660
Robbery,2019-04-01,727
Robbery,2019-05-01,864
Robbery,2019-06-01,754
Robbery,2019-07-01,837
Robbery,2019-08-01,822
Robbery,2019-09-01,713
Robbery,2019-10-01,732
Robbery,2019-11-01,863
Robbery,2019-12-01,900
Robbery,2020-01-01,916
Robbery,2020-02-01,723
Robbery,2020-03-01,684
Robbery,2020-04-01,574
Robbery,2020-05-01,691
Robbery,2020-06-01,743
Robbery,2020-07-01,734
Robbery,2020-08-01,694
Robbery,2020-09-01,695
Robbery,2020-10-01,735
Robbery,2020-11-01,764
Robbery,2020-12-01,863
Robbery,2021-01-01,798
Robbery,2021-02-01,649
Robbery,2021-03-01,606
Robbery,2021-04-01,585
Robbery,2021-05-01,743
Robbery,2021-06-01,592
Robbery,2021-07-01,655
Robbery,2021-08-01,632
Robbery,2021-09-01,590
Robbery,2021-10-01,635
Robbery,2021-11-01,609
Robbery,2021-12-01,708
Robbery,2022-01-01,681
Robbery,2022-02-01,514
