category_name,month,count
Auto Theft,2019-01-01,1020
Auto Theft,2019-02-01,946
Auto Theft,2019-03-01,1019
Auto Theft,2019-04-01,1056
Auto Theft,2019-05-01,1128
Auto Theft,2019-06-01,1152
Auto Theft,2019-07-01,1210
Auto Theft,2019-08-01,1229
Auto Theft,2019-09-01,1242
Auto Theft,2019-10-01,1265
Auto Theft,2019-11-01,1176
Auto Theft,2019-12-01,1202
Auto Theft,2020-01-01,1180
Auto Theft,2020-02-01,1168
Auto Theft,2020-03-01,1079
Auto Theft,2020-04-01,1119
Auto Theft,2020-05-01,1242
Auto Theft,2020-06-01,1422
Auto Theft,2020-07-01,1410
Auto Theft,2020-08-01,1366
Auto Theft,2020-09-01,1310
Auto Theft,2020-10-01,1419
Auto Theft,2020-11-01,1157
Auto Theft,2020-12-01,1290
Auto Theft,2021-01-01,1460
Auto Theft,2021-02-01,1165
Auto Theft,2021-03-01,1113
Auto Theft,2021-04-01,1275
Auto Theft,2021-05-01,1406
Auto Theft,2021-06-01,1394
Auto Theft,2021-07-01,1298
Auto Theft,2021-08-01,1387
Auto Theft,2021-09-01,1438
Auto Theft,2021-10-01,1352
Auto Theft,2021-11-01,1372
Auto Theft,2021-12-01,1316
Auto Theft,2022-01-01,1440
Auto Theft,2022-02-01,1188
