category_name,month,count
Burglary,2019-01-01,1298
Burglary,2019-02-01,1195
Burglary,2019-03-01,1285
Burglary,2019-04-01,1349
Burglary,2019-05-01,1555
Burglary,2019-06-01,1460
Burglary,2019-07-01,1511
Burglary,2019-08-01,1447
Burglary,2019-09-01,1475
Burglary,2019-10-01,1394
Burglary,2019-11-01,1453
Burglary,2019-12-01,1479
Burglary,2020-01-01,1474
Burglary,2020-02-01,1150
Burglary,2020-03-01,1200
Burglary,2020-04-01,1102
Burglary,2020-05-01,1244
Burglary,2020-06-01,1270
Burglary,2020-07-01,1341
Burglary,2020-08-01,1368
Burglary,2020-09-01,1214
Burglary,2020-10-01,1352
Burglary,2020-11-01,1300
Burglary,2020-12-01,1358
Burglary,2021-01-01,1258
Burglary,2021-02-01,1248
Burglary,2021-03-01,1013
Burglary,2021-04-01,1034
Burglary,2021-05-01,1187
Burglary,2021-06-01,1083
Burglary,2021-07-01,1159
Burglary,2021-08-01,1144
Burglary,2021-09-01,1139
Burglary,2021-10-01,1236
Burglary,2021-11-01,1178
Burglary,2021-12-01,1231
Burglary,2022-01-01,1069
Burglary,2022-02-01,985
