beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
23J50,23,2.12389492,Intercontinental Airport,0,Sexual Assault,0,1,0,0,0,1,0.3,NA,NA,NA,-100,NA,NA,NA,NA,NA
1A10,1,1.74646692,Downtown Central Business District,17359,Sexual Assault,27,25,33,4,28,85,28.3,22.2,3.7,-15.2,-1,155.5,144,190.1,161.3,163
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27449,Sexual Assault,31,24,27,8,31,82,27.3,-12.9,0,14.8,14,112.9,87.4,98.4,112.9,99.5
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",26972,Sexual Assault,16,21,14,3,14,51,17,-12.5,-12.5,0,-18,59.3,77.9,51.9,51.9,63
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",6765,Sexual Assault,2,1,0,0,0,3,1,-100,-100,NA,-100,29.6,14.8,0,0,14.8
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26355,Sexual Assault,10,13,13,6,17,36,12,30,70,30.8,42,37.9,49.3,49.3,64.5,45.5
2A10,2,3.30928608,Irvington and Ryon,18357,Sexual Assault,13,18,21,1,16,52,17.3,61.5,23.1,-23.8,-8,70.8,98.1,114.4,87.2,94.2
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",10730,Sexual Assault,5,5,5,2,6,15,5,0,20,20,20,46.6,46.6,46.6,55.9,46.6
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",30794,Sexual Assault,8,6,7,3,9,21,7,-12.5,12.5,28.6,29,26,19.5,22.7,29.2,22.7
2A40,2,1.60546103,Old Sixth Ward and the First Ward,7770,Sexual Assault,9,5,2,3,5,16,5.3,-77.8,-44.4,150,-6,115.8,64.4,25.7,64.4,68.2
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",28700,Sexual Assault,15,14,15,2,16,44,14.7,0,6.7,6.7,9,52.3,48.8,52.3,55.7,51.2
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21326,Sexual Assault,3,5,9,1,7,17,5.7,200,133.3,-22.2,23,14.1,23.4,42.2,32.8,26.7
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",33931,Sexual Assault,24,43,33,6,25,100,33.3,37.5,4.2,-24.2,-25,70.7,126.7,97.3,73.7,98.1
3B30,3,5.310372,"White Oak Acres, Brook Hollow, Oak Forest, Garden Oaks and Shepherd Park Plaza",23113,Sexual Assault,8,2,7,0,5,17,5.7,-12.5,-37.5,-28.6,-12,34.6,8.7,30.3,21.6,24.7
3B40,3,3.40013561,"Independence Heights, Melrose and Graceland",13257,Sexual Assault,20,20,17,3,11,57,19,-15,-45,-35.3,-42,150.9,150.9,128.2,83,143.3
3B50,3,3.85259517,"Northline Mall, Stratton Place, Oakwood, Colonial Gardens, Lindale and Junction City",19512,Sexual Assault,27,18,18,3,19,63,21,-33.3,-29.6,5.6,-10,138.4,92.3,92.3,97.4,107.6
5F10,5,3.25978513,Afton Village and Pine Terrace,13902,Sexual Assault,10,5,11,1,9,26,8.7,10,-10,-18.2,3,71.9,36,79.1,64.7,62.6
