date,offense_type,count,day,,
10/24/21,"Murder, non-negligent",2,Sunday,1,
10/23/21,"Murder, non-negligent",1,Saturday,6,
10/17/21,"Murder, non-negligent",5,Sunday,1,
10/16/21,"Murder, non-negligent",1,Saturday,6,
10/10/21,"Murder, non-negligent",1,Sunday,1,
10/9/21,"Murder, non-negligent",2,Saturday,6,
10/3/21,"Murder, non-negligent",2,Sunday,1,
10/2/21,"Murder, non-negligent",1,Saturday,6,
9/26/21,"Murder, non-negligent",3,Sunday,1,
9/25/21,"Murder, non-negligent",1,Saturday,6,
9/19/21,"Murder, non-negligent",1,Sunday,1,
9/18/21,"Murder, non-negligent",1,Saturday,6,
9/12/21,"Murder, non-negligent",2,Sunday,1,
9/11/21,"Murder, non-negligent",3,Saturday,6,
9/5/21,"Murder, non-negligent",6,Sunday,1,
9/4/21,"Murder, non-negligent",3,Saturday,6,
8/29/21,"Murder, non-negligent",1,Sunday,7,
8/22/21,"Murder, non-negligent",3,Sunday,1,
8/21/21,"Murder, non-negligent",3,Saturday,6,
8/15/21,"Murder, non-negligent",2,Sunday,7,
8/8/21,"Murder, non-negligent",1,Sunday,1,
8/7/21,"Murder, non-negligent",2,Saturday,13,
7/25/21,"Murder, non-negligent",1,Sunday,1,
7/24/21,"Murder, non-negligent",1,Saturday,6,
7/18/21,"Murder, non-negligent",2,Sunday,1,
7/17/21,"Murder, non-negligent",1,Saturday,6,
7/11/21,"Murder, non-negligent",2,Sunday,1,
7/10/21,"Murder, non-negligent",3,Saturday,7,
7/3/21,"Murder, non-negligent",1,Saturday,7,
6/26/21,"Murder, non-negligent",2,Saturday,6,
6/20/21,"Murder, non-negligent",2,Sunday,1,
6/19/21,"Murder, non-negligent",3,Saturday,6,
6/13/21,"Murder, non-negligent",2,Sunday,1,
6/12/21,"Murder, non-negligent",2,Saturday,7,
6/5/21,"Murder, non-negligent",1,Saturday,6,
5/30/21,"Murder, non-negligent",4,Sunday,1,
5/29/21,"Murder, non-negligent",7,Saturday,7,
5/22/21,"Murder, non-negligent",1,Saturday,6,
5/16/21,"Murder, non-negligent",2,Sunday,8,
5/8/21,"Murder, non-negligent",2,Saturday,6,
5/2/21,"Murder, non-negligent",2,Sunday,7,
4/25/21,"Murder, non-negligent",2,Sunday,1,
4/24/21,"Murder, non-negligent",2,Saturday,6,
4/18/21,"Murder, non-negligent",2,Sunday,1,
4/17/21,"Murder, non-negligent",2,Saturday,6,
4/11/21,"Murder, non-negligent",2,Sunday,1,
4/10/21,"Murder, non-negligent",3,Saturday,6,
4/4/21,"Murder, non-negligent",3,Sunday,7,
3/28/21,"Murder, non-negligent",1,Sunday,8,
3/20/21,"Murder, non-negligent",1,Saturday,7,
3/13/21,"Murder, non-negligent",3,Saturday,7,
3/6/21,"Murder, non-negligent",2,Saturday,6,
2/28/21,"Murder, non-negligent",1,Sunday,1,
2/27/21,"Murder, non-negligent",1,Saturday,7,
2/20/21,"Murder, non-negligent",2,Saturday,6,
2/14/21,"Murder, non-negligent",1,Sunday,7,
2/7/21,"Murder, non-negligent",2,Sunday,1,
2/6/21,"Murder, non-negligent",4,Saturday,6,
1/31/21,"Murder, non-negligent",1,Sunday,7,
1/24/21,"Murder, non-negligent",2,Sunday,8,
1/16/21,"Murder, non-negligent",1,Saturday,6,
1/10/21,"Murder, non-negligent",2,Sunday,1,
1/9/21,"Murder, non-negligent",3,Saturday,6,
1/3/21,"Murder, non-negligent",3,Sunday,1,
1/2/21,"Murder, non-negligent",1,Saturday,6,
12/27/20,"Murder, non-negligent",1,Sunday,7,
12/20/20,"Murder, non-negligent",2,Sunday,1,
12/19/20,"Murder, non-negligent",1,Saturday,7,
12/12/20,"Murder, non-negligent",5,Saturday,13,
11/29/20,"Murder, non-negligent",2,Sunday,1,
11/28/20,"Murder, non-negligent",2,Saturday,6,
11/22/20,"Murder, non-negligent",1,Sunday,1,
11/21/20,"Murder, non-negligent",2,Saturday,7,
11/14/20,"Murder, non-negligent",1,Saturday,6,
11/8/20,"Murder, non-negligent",1,Sunday,1,
11/7/20,"Murder, non-negligent",2,Saturday,7,
10/31/20,"Murder, non-negligent",2,Saturday,6,
10/25/20,"Murder, non-negligent",2,Sunday,1,
10/24/20,"Murder, non-negligent",1,Saturday,6,
10/18/20,"Murder, non-negligent",3,Sunday,7,
10/11/20,"Murder, non-negligent",2,Sunday,1,
10/10/20,"Murder, non-negligent",1,Saturday,7,
10/3/20,"Murder, non-negligent",3,Saturday,6,
9/27/20,"Murder, non-negligent",4,Sunday,1,
9/26/20,"Murder, non-negligent",1,Saturday,6,
9/20/20,"Murder, non-negligent",4,Sunday,1,
9/19/20,"Murder, non-negligent",2,Saturday,6,
9/13/20,"Murder, non-negligent",3,Sunday,1,
9/12/20,"Murder, non-negligent",3,Saturday,6,
9/6/20,"Murder, non-negligent",1,Sunday,1,
9/5/20,"Murder, non-negligent",2,Saturday,6,
8/30/20,"Murder, non-negligent",1,Sunday,7,
8/23/20,"Murder, non-negligent",2,Sunday,1,
8/22/20,"Murder, non-negligent",1,Saturday,6,
8/16/20,"Murder, non-negligent",3,Sunday,1,
8/15/20,"Murder, non-negligent",3,Saturday,7,
8/8/20,"Murder, non-negligent",2,Saturday,6,
8/2/20,"Murder, non-negligent",1,Sunday,7,
