beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,projected22,last12mos,inc_19to21,inc_19to22sofar,inc_21to22sofar,inc_3yearto22sofar,rate19,rate20,rate21,rate22,rate_last12,rate_multiyear
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",38268,Theft,1288,1270,1359,277,1714,68185,5.5,33.1,26.1,31,3365.7,3318.7,3551.3,4478.9,178177.6,3411.9
3B30,3,5.310372,"White Oak Acres, Brook Hollow, Oak Forest, Garden Oaks and Shepherd Park Plaza",22824,Theft,659,514,487,59,365,68185,-26.1,-44.6,-25.1,-34,2887.3,2252,2133.7,1599.2,298742.6,2424.3
3B40,3,3.40013561,"Independence Heights, Melrose and Graceland",12862,Theft,493,484,471,83,513,68185,-4.5,4.1,8.9,6,3833,3763,3661.9,3988.5,530127.5,3752.7
3B50,3,3.85259517,"Northline Mall, Stratton Place, Oakwood, Colonial Gardens, Lindale and Junction City",19168,Theft,1322,1282,862,144,891,68185,-34.8,-32.6,3.4,-23,6896.9,6688.2,4497.1,4648.4,355723.1,6027.4
5F10,5,3.25978513,Afton Village and Pine Terrace,15059,Theft,541,644,555,107,662,68185,2.6,22.4,19.3,14,3592.5,4276.5,3685.5,4396,452785.7,3851.5
5F30,5,8.70689439,"Fairbanks, Carverdale, Fawndale and Northwest Crossing",21841,Theft,1705,1464,1506,234,1448,68185,-11.7,-15.1,-3.9,-7,7806.4,6703,6895.3,6629.7,312188.1,7134.9
6B10,6,5.50084827,"York Plaza, Pembrook Place and Hawthorne Place",34063,Theft,725,795,633,107,662,68185,-12.7,-8.7,4.6,-8,2128.4,2333.9,1858.3,1943.5,200173.2,2106.9
6B20,6,6.12869477,"Highland Heights, Oakdale and Melrose Gardens",19990,Theft,479,442,418,75,464,68185,-12.7,-3.1,11,4,2396.2,2211.1,2091,2321.2,341095.5,2232.8
6B30,6,7.2300685,"Woodland Trails, Oaks of Inwood, Bayou Bend, Cole Creek Manor and Inwood Forest",38727,Theft,661,678,628,83,513,68185,-5,-22.4,-18.3,-22,1706.8,1750.7,1621.6,1324.7,176065.8,1693
6B40,6,5.544689,"Highland Gardens, Highland Heights and North Plaza",21964,Theft,567,534,533,82,507,68185,-6,-10.6,-4.9,-7,2581.5,2431.3,2426.7,2308.3,310439.8,2479.8
22B30,22,2.8264671,Aldine and Imperial Valley,18271,Theft,514,606,581,88,544,68185,13,5.8,-6.4,-4,2813.2,3316.7,3179.9,2977.4,373187,3103.3
22B20,22,4.61158268,Greenspoint,24930,Theft,1048,1168,1344,246,1522,68185,28.2,45.2,13.2,28,4203.8,4685.1,5391.1,6105.1,273505.8,4760
7C10,7,3.47828324,"Fifth Ward, North Park and Pinecrest",15300,Theft,400,375,369,61,377,68185,-7.8,-5.8,2.2,-1,2614.4,2451,2411.8,2464.1,445653.6,2492.4
7C20,7,7.08575157,"Huntington Place, Willshire Place, Kashmere Gardens and Liberty Gardens",19766,Theft,599,606,560,87,538,68185,-6.5,-10.2,-3.9,-9,3030.5,3065.9,2833.1,2721.8,344961,2976.5
7C30,7,4.51719841,"Camden Woods, Archers Acres and Croyden Gardens",18329,Theft,394,447,475,66,408,68185,20.6,3.6,-14.1,-7,2149.6,2438.8,2591.5,2226,372006.1,2393.3
7C40,7,3.36786526,Keith-Weiss Park and Farrington Place,9582,Theft,224,174,193,42,260,68185,-13.8,16.1,34.7,32,2337.7,1815.9,2014.2,2713.4,711594.7,2055.9
22B40,22,13.03325001,"Intercontinental Airport, Northwood, Lakeview Park and Glen Lee",15143,Theft,749,719,1069,185,1144,68185,42.7,52.7,7,35,4946.2,4748.1,7059.4,7554.6,450274.1,5584.5
8C10,8,3.69037316,"Tidwell Park, Shady Oak and Buckingham Place",11769,Theft,507,473,348,60,371,68185,-31.4,-26.8,6.6,-16,4307.9,4019,2956.9,3152.3,579361,3761.3
8C20,8,3.36154214,"Houston Gardens, Rosewood and Homestead",7771,Theft,144,173,156,21,130,68185,8.3,-9.7,-16.7,-18,1853,2226.2,2007.5,1672.9,877428.9,2028.9
8C30,8,4.6258259,"Parkhurst, East Houston and Clairmont Place",9225,Theft,240,284,251,44,272,68185,4.6,13.3,8.4,5,2601.6,3078.6,2720.9,2948.5,739132.8,2800.4
8C40,8,4.97945551,"Lake Houston, Greenriver, Knoll and Lake Forest",7363,Theft,108,103,117,17,105,68185,8.3,-2.8,-10.3,-4,1466.8,1398.9,1589,1426,926049.2,1484.9
8C50,8,3.31739498,"Park North, Forest Green, Kentshire Place, Glenwood Forest and Dorchester",6853,Theft,250,209,215,18,111,68185,-14,-55.6,-48.4,-51,3648,3049.8,3137.3,1619.7,994965.7,3278.4
8C60,8,5.79693312,"Edgeworth, Northwood Manor and Scenic Woods",19339,Theft,340,374,281,28,173,68185,-17.4,-49.1,-38.4,-48,1758.1,1933.9,1453,894.6,352577.7,1715
9C10,9,5.21185619,"Port of Houston, Clinton Park, Pleasantville and Fidelity Manor",6208,Theft,90,76,86,13,80,68185,-4.4,-11.1,-7,-5,1449.7,1224.2,1385.3,1288.7,1098340.9,1353.1
9C20,9,7.5383173,Denver Harbor and Houston Harbor,16859,Theft,304,359,267,46,285,68185,-12.2,-6.2,6.7,-8,1803.2,2129.4,1583.7,1690.5,404442.7,1838.8
9C30,9,8.13353768,"City Park East, Wynnewood Acres and Wallisville Gardens",9391,Theft,521,434,392,75,464,68185,-24.8,-10.9,18.4,3,5547.9,4621.4,4174.2,4940.9,726067.5,4781.2
9C40,9,10.42549456,"Greens Bayou Estates, Shady Brook, Northshore",24349,Theft,745,826,773,129,798,68185,3.8,7.1,3.2,2,3059.7,3392.3,3174.7,3277.3,280032,3208.9
10H10,10,2.81830654,Oak Lawn and Ranger,10984,Theft,216,240,230,54,334,68185,6.5,54.6,45.2,46,1966.5,2185,2094,3040.8,620766.6,2081.8
10H20,10,1.75743169,Eastwood and Broadmoor,10612,Theft,290,257,202,36,223,68185,-30.3,-23.1,10.4,-11,2732.8,2421.8,1903.5,2101.4,642527.3,2352.7
10H30,10,1.02691154,Near East End,3326,Theft,674,430,498,94,582,68185,-26.1,-13.6,16.9,9,20264.6,12928.4,14972.9,17498.5,2050060.1,16055.3
10H40,10,0.99627062,Midtown,6926,Theft,1288,819,766,169,1046,68185,-40.5,-18.8,36.6,9,18596.6,11825,11059.8,15102.5,984478.8,13827.1
10H50,10,2.30843079,the University of Houston area,12720,Theft,570,534,497,103,637,68185,-12.8,11.8,28.2,19,4481.1,4198.1,3907.2,5007.9,536045.6,4195.5
10H60,10,3.08931006,"University Oaks, Riverside Terrace and the Texas Southern University area",17373,Theft,555,559,665,112,693,68185,19.8,24.9,4.2,17,3194.6,3217.6,3827.8,3988.9,392476.8,3413.3
10H70,10,3.52217952,"Texas Medical Center, Hermann Park, Houston Zoo and Miller Outdoor Theatre",17327,Theft,1036,975,862,186,1151,68185,-16.8,11.1,33.5,20,5979.1,5627.1,4974.9,6642.8,393518.8,5527
10H80,10,2.73862779,"Southampton, Rice University area, Shadow Lawn and Broad Acres",17807,Theft,700,515,501,123,761,68185,-28.4,8.7,51.9,33,3931,2892.1,2813.5,4273.6,382911.2,3212.2
11H10,11,5.31502815,"Mason Park, Forest Hill, Sunnyland and Central Park",28837,Theft,686,727,585,88,544,68185,-14.7,-20.7,-7,-18,2378.9,2521.1,2028.6,1886.5,236449.7,2309.5
11H20,11,3.9311161,"Harrisburg, Manchester and Pecan Park",18586,Theft,243,272,261,47,291,68185,7.4,19.8,11.5,12,1307.4,1463.5,1404.3,1565.7,366862.2,1391.7
11H30,11,2.84278059,Meadow Brook and Park Place,15413,Theft,396,509,293,39,241,68185,-26,-39.1,-17.7,-40,2569.3,3302.4,1901,1563.6,442386.3,2590.9
11H40,11,6.14001938,Allendale and Oak Meadows,9881,Theft,98,130,102,6,37,68185,4.1,-62.2,-63.7,-66,991.8,1315.7,1032.3,374.5,690061.7,1113.2
