beat,district,area_sq_mi,placename,population,type,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",26382,Property,2052,1682,1690,279,1736,5424,1808,-17.6,-15.4,2.7,-4,7778,6375.6,6405.9,6580.2,6853.2
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",26382,Violent,354,307,413,56,399,1074,358,16.7,12.7,-3.4,11,1341.8,1163.7,1565.5,1512.4,1357
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",19898,Other,371,495,645,102,644,1511,503.7,73.9,73.6,-0.2,28,1864.5,2487.7,3241.5,3236.5,2531.4
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",19898,Property,1062,1117,1152,203,1168,3331,1110.3,8.5,10,1.4,5,5337.2,5613.6,5789.5,5869.9,5580
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",19898,Violent,212,206,241,32,235,659,219.7,13.7,10.8,-2.5,7,1065.4,1035.3,1211.2,1181,1104.1
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",38268,Other,1122,1768,1889,276,1914,4779,1593,68.4,70.6,1.3,20,2932,4620,4936.2,5001.6,4162.7
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",38268,Property,1970,1939,2024,399,2073,5933,1977.7,2.7,5.2,2.4,5,5147.9,5066.9,5289,5417.1,5168
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",38268,Violent,957,1055,1016,161,1024,3028,1009.3,6.2,7,0.8,1,2500.8,2756.9,2655,2675.9,2637.5
3B30,3,5.310372,"White Oak Acres, Brook Hollow, Oak Forest, Garden Oaks and Shepherd Park Plaza",22824,Other,344,497,553,79,579,1394,464.7,60.8,68.3,4.7,25,1507.2,2177.5,2422.9,2536.8,2036
3B30,3,5.310372,"White Oak Acres, Brook Hollow, Oak Forest, Garden Oaks and Shepherd Park Plaza",22824,Property,845,719,684,92,668,2248,749.3,-19.1,-20.9,-2.3,-11,3702.2,3150.2,2996.8,2926.7,3282.9
3B30,3,5.310372,"White Oak Acres, Brook Hollow, Oak Forest, Garden Oaks and Shepherd Park Plaza",22824,Violent,221,230,227,32,229,678,226,2.7,3.6,0.9,1,968.3,1007.7,994.6,1003.3,990.2
3B40,3,3.40013561,"Independence Heights, Melrose and Graceland",12862,Other,678,1058,1134,130,1117,2870,956.7,67.3,64.7,-1.5,17,5271.3,8225.8,8816.7,8684.5,7438.2
3B40,3,3.40013561,"Independence Heights, Melrose and Graceland",12862,Property,800,812,814,110,804,2426,808.7,1.8,0.5,-1.2,-1,6219.9,6313.2,6328.7,6251,6287.5
3B40,3,3.40013561,"Independence Heights, Melrose and Graceland",12862,Violent,651,659,619,68,585,1929,643,-4.9,-10.1,-5.5,-9,5061.4,5123.6,4812.6,4548.3,4999.2
3B50,3,3.85259517,"Northline Mall, Stratton Place, Oakwood, Colonial Gardens, Lindale and Junction City",19168,Other,728,1319,1268,217,1301,3315,1105,74.2,78.7,2.6,18,3798,6881.3,6615.2,6787.4,5764.8
3B50,3,3.85259517,"Northline Mall, Stratton Place, Oakwood, Colonial Gardens, Lindale and Junction City",19168,Property,1689,1633,1252,213,1249,4574,1524.7,-25.9,-26.1,-0.2,-18,8811.6,8519.4,6531.7,6516.1,7954.4
3B50,3,3.85259517,"Northline Mall, Stratton Place, Oakwood, Colonial Gardens, Lindale and Junction City",19168,Violent,790,782,732,108,726,2304,768,-7.3,-8.1,-0.8,-5,4121.5,4079.7,3818.9,3787.6,4006.7
5F10,5,3.25978513,Afton Village and Pine Terrace,15059,Other,362,541,519,84,522,1422,474,43.4,44.2,0.6,10,2403.9,3592.5,3446.4,3466.4,3147.6
5F10,5,3.25978513,Afton Village and Pine Terrace,15059,Property,765,854,768,144,797,2387,795.7,0.4,4.2,3.8,0,5080,5671,5099.9,5292.5,5283.9
5F10,5,3.25978513,Afton Village and Pine Terrace,15059,Violent,292,248,287,49,307,827,275.7,-1.7,5.1,7,11,1939,1646.9,1905.8,2038.6,1830.8
5F30,5,8.70689439,"Fairbanks, Carverdale, Fawndale and Northwest Crossing",21841,Other,962,1297,1291,170,1270,3550,1183.3,34.2,32,-1.6,7,4404.6,5938.4,5910.9,5814.8,5417.8
5F30,5,8.70689439,"Fairbanks, Carverdale, Fawndale and Northwest Crossing",21841,Property,2236,2013,2019,309,2028,6268,2089.3,-9.7,-9.3,0.4,-3,10237.6,9216.6,9244.1,9285.3,9566
5F30,5,8.70689439,"Fairbanks, Carverdale, Fawndale and Northwest Crossing",21841,Violent,686,719,737,106,735,2142,714,7.4,7.1,-0.3,3,3140.9,3292,3374.4,3365.2,3269.1
6B10,6,5.50084827,"York Plaza, Pembrook Place and Hawthorne Place",34063,Other,814,1381,1486,253,1480,3681,1227,82.6,81.8,-0.4,21,2389.7,4054.3,4362.5,4344.9,3602.1
6B10,6,5.50084827,"York Plaza, Pembrook Place and Hawthorne Place",34063,Property,1213,1311,1121,179,1098,3645,1215,-7.6,-9.5,-2.1,-10,3561,3848.8,3291,3223.4,3566.9
6B10,6,5.50084827,"York Plaza, Pembrook Place and Hawthorne Place",34063,Violent,919,1001,1002,139,992,2922,974,9,7.9,-1,2,2697.9,2938.7,2941.6,2912.3,2859.4
6B20,6,6.12869477,"Highland Heights, Oakdale and Melrose Gardens",19990,Other,719,1108,1160,143,1127,2987,995.7,61.3,56.7,-2.8,13,3596.8,5542.8,5802.9,5637.8,4981
6B20,6,6.12869477,"Highland Heights, Oakdale and Melrose Gardens",19990,Property,785,759,664,132,668,2208,736,-15.4,-14.9,0.6,-9,3927,3796.9,3321.7,3341.7,3681.8
6B20,6,6.12869477,"Highland Heights, Oakdale and Melrose Gardens",19990,Violent,783,822,669,81,646,2274,758,-14.6,-17.5,-3.4,-15,3917,4112.1,3346.7,3231.6,3791.9
6B30,6,7.2300685,"Woodland Trails, Oaks of Inwood, Bayou Bend, Cole Creek Manor and Inwood Forest",38727,Other,889,1306,1307,197,1317,3502,1167.3,47,48.1,0.8,13,2295.6,3372.3,3374.9,3400.7,3014.2
6B30,6,7.2300685,"Woodland Trails, Oaks of Inwood, Bayou Bend, Cole Creek Manor and Inwood Forest",38727,Property,1078,1066,923,143,927,3067,1022.3,-14.4,-14,0.4,-9,2783.6,2752.6,2383.4,2393.7,2639.8
6B30,6,7.2300685,"Woodland Trails, Oaks of Inwood, Bayou Bend, Cole Creek Manor and Inwood Forest",38727,Violent,1026,1071,887,127,869,2984,994.7,-13.5,-15.3,-2,-13,2649.3,2765.5,2290.4,2243.9,2568.5
6B40,6,5.544689,"Highland Gardens, Highland Heights and North Plaza",21964,Other,868,1380,1377,229,1368,3625,1208.3,58.6,57.6,-0.7,13,3951.9,6283,6269.3,6228.4,5501.3
6B40,6,5.544689,"Highland Gardens, Highland Heights and North Plaza",21964,Property,915,879,832,126,833,2626,875.3,-9.1,-9,0.1,-5,4165.9,4002,3788,3792.6,3985.2
6B40,6,5.544689,"Highland Gardens, Highland Heights and North Plaza",21964,Violent,914,1025,852,97,778,2791,930.3,-6.8,-14.9,-8.7,-16,4161.4,4666.7,3879.1,3542.2,4235.6
22B30,22,2.8264671,Aldine and Imperial Valley,18271,Other,640,829,888,137,870,2357,785.7,38.8,35.9,-2,11,3502.8,4537.2,4860.2,4761.6,4300.3
22B30,22,2.8264671,Aldine and Imperial Valley,18271,Property,902,1042,987,158,981,2931,977,9.4,8.8,-0.6,0,4936.8,5703,5402,5369.2,5347.3
22B30,22,2.8264671,Aldine and Imperial Valley,18271,Violent,713,640,647,99,635,2000,666.7,-9.3,-10.9,-1.9,-5,3902.4,3502.8,3541.1,3475.5,3649
22B20,22,4.61158268,Greenspoint,24930,Other,1487,2064,2081,313,2087,5632,1877.3,39.9,40.3,0.3,11,5964.7,8279.2,8347.4,8371.4,7530.3
22B20,22,4.61158268,Greenspoint,24930,Property,1650,1754,1966,351,2047,5370,1790,19.2,24.1,4.1,14,6618.5,7035.7,7886.1,8211,7180.1
22B20,22,4.61158268,Greenspoint,24930,Violent,1488,1580,1388,199,1359,4456,1485.3,-6.7,-8.7,-2.1,-9,5968.7,6337.7,5567.6,5451.3,5957.9
7C10,7,3.47828324,"Fifth Ward, North Park and Pinecrest",15300,Other,669,939,1015,173,1038,2623,874.3,51.7,55.2,2.3,19,4372.5,6137.3,6634,6784.3,5714.4
7C10,7,3.47828324,"Fifth Ward, North Park and Pinecrest",15300,Property,646,615,573,100,588,1834,611.3,-11.3,-9,2.6,-4,4222.2,4019.6,3745.1,3843.1,3995.4
7C10,7,3.47828324,"Fifth Ward, North Park and Pinecrest",15300,Violent,647,674,563,93,555,1884,628,-13,-14.2,-1.4,-12,4228.8,4405.2,3679.7,3627.5,4104.6
7C20,7,7.08575157,"Huntington Place, Willshire Place, Kashmere Gardens and Liberty Gardens",19766,Other,1289,1929,1915,293,1943,5133,1711,48.6,50.7,1.5,14,6521.3,9759.2,9688.4,9830,8656.3
7C20,7,7.08575157,"Huntington Place, Willshire Place, Kashmere Gardens and Liberty Gardens",19766,Property,1043,1026,1052,150,1017,3121,1040.3,0.9,-2.5,-3.3,-2,5276.7,5190.7,5322.3,5145.2,5263.1
7C20,7,7.08575157,"Huntington Place, Willshire Place, Kashmere Gardens and Liberty Gardens",19766,Violent,1437,1363,1250,171,1242,4050,1350,-13,-13.6,-0.6,-8,7270.1,6895.7,6324,6283.5,6829.9
7C30,7,4.51719841,"Camden Woods, Archers Acres and Croyden Gardens",18329,Other,710,1218,1302,166,1288,3230,1076.7,83.4,81.4,-1.1,20,3873.6,6645.2,7103.5,7027.1,5874.3
7C30,7,4.51719841,"Camden Woods, Archers Acres and Croyden Gardens",18329,Property,708,765,741,112,716,2214,738,4.7,1.1,-3.4,-3,3862.7,4173.7,4042.8,3906.4,4026.4
7C30,7,4.51719841,"Camden Woods, Archers Acres and Croyden Gardens",18329,Violent,697,770,800,72,737,2267,755.7,14.8,5.7,-7.9,-2,3802.7,4201,4364.7,4021,4123
