hour,count,time
0,90,12 a.m.
1,62,1 a.m.
2,64,2 a.m.
3,41,3 a.m.
4,32,4 a.m.
5,22,5 a.m.
6,36,6 a.m.
7,31,7 a.m.
8,25,8 a.m.
9,39,9 a.m.
10,24,10 a.m.
11,34,11 a.m.
12,50,12 p.m.
13,41,1 p.m.
14,51,2 p.m.
15,37,3 p.m.
16,46,4 p.m.
17,40,5 p.m.
18,56,6 p.m.
19,67,7 p.m.
20,60,8 p.m.
21,82,9 p.m.
22,69,10 p.m.
23,69,11 p.m.
